#Mapping quality	mapping quality
5.0	54.0
6.0	44.0
7.0	27.0
8.0	9.0
9.0	65.0
10.0	80.0
11.0	132.0
12.0	73.0
13.0	119.0
14.0	172.0
15.0	269.0
16.0	355.0
17.0	219.0
18.0	215.0
19.0	118.0
20.0	139.0
21.0	175.0
22.0	95.0
23.0	102.0
24.0	167.0
25.0	112.0
26.0	159.0
27.0	58.0
28.0	73.0
29.0	37.0
30.0	45.0
31.0	24.0
32.0	53.0
33.0	95.0
34.0	50.0
35.0	130.0
36.0	40.0
37.0	154.0
38.0	127.0
39.0	895.0
40.0	700.0
41.0	31.0
42.0	28.0
43.0	19.0
44.0	30.0
45.0	58.0
46.0	27.0
47.0	66.0
48.0	58.0
49.0	130.0
50.0	97.0
51.0	115.0
52.0	139.0
53.0	96.0
54.0	92.0
55.0	105.0
56.0	151.0
57.0	606.0
58.0	1118.0
59.0	9318.0
60.0	56383.0
