#Coverage	Number of genomic locations
0.0	157964.0
1.0	147.0
2.0	218.0
3.0	67.0
4.0	251.0
5.0	84.0
6.0	236.0
7.0	162.0
8.0	251.0
9.0	137.0
10.0	312.0
11.0	97.0
12.0	235.0
13.0	105.0
14.0	166.0
15.0	60.0
16.0	211.0
17.0	23.0
18.0	114.0
19.0	57.0
20.0	61.0
21.0	39.0
22.0	31.0
23.0	37.0
24.0	62.0
25.0	65.0
26.0	38.0
27.0	28.0
28.0	20.0
29.0	19.0
30.0	110.0
31.0	52.0
32.0	41.0
33.0	28.0
34.0	37.0
35.0	32.0
36.0	29.0
37.0	35.0
38.0	3.0
39.0	22.0
40.0	18.0
41.0	39.0
42.0	34.0
43.0	7.0
44.0	16.0
45.0	33.0
46.0	17.0
47.0	7.0
48.0	10.0
49.0	3.0
50.0	1.0
51.0	10.0
52.0	34.0
53.0	30.0
54.0	24.0
55.0	23.0
56.0	12.0
57.0	19.0
58.0	45.0
59.0	58.0
60.0	33.0
61.0	24.0
62.0	57.0
63.0	45.0
64.0	65.0
65.0	50.0
66.0	81.0
67.0	25.0
68.0	33.0
69.0	34.0
70.0	34.0
71.0	35.0
72.0	27.0
73.0	42.0
74.0	47.0
75.0	25.0
76.0	74.0
77.0	55.0
78.0	22.0
79.0	55.0
80.0	64.0
81.0	52.0
82.0	64.0
83.0	43.0
84.0	67.0
85.0	62.0
86.0	59.0
87.0	63.0
88.0	63.0
89.0	37.0
90.0	22.0
91.0	41.0
92.0	30.0
93.0	25.0
94.0	16.0
95.0	19.0
96.0	11.0
97.0	20.0
98.0	22.0
99.0	16.0
100.0	26.0
101.0	29.0
102.0	15.0
103.0	12.0
104.0	20.0
105.0	22.0
106.0	23.0
107.0	34.0
108.0	9.0
109.0	21.0
110.0	12.0
111.0	17.0
112.0	20.0
113.0	26.0
114.0	7.0
115.0	3.0
116.0	9.0
117.0	13.0
118.0	4.0
119.0	8.0
120.0	11.0
121.0	16.0
122.0	9.0
123.0	2.0
124.0	20.0
125.0	8.0
126.0	10.0
127.0	5.0
128.0	10.0
129.0	5.0
130.0	1.0
131.0	1.0
132.0	1.0
133.0	2.0
135.0	2.0
136.0	1.0
137.0	9.0
138.0	4.0
139.0	6.0
140.0	1.0
141.0	3.0
143.0	1.0
144.0	1.0
146.0	1.0
148.0	2.0
149.0	33.0
151.0	4.0
153.0	5.0
154.0	16.0
155.0	10.0
156.0	1.0
157.0	1.0
158.0	7.0
159.0	16.0
160.0	1.0
162.0	2.0
163.0	17.0
165.0	2.0
166.0	1.0
167.0	1.0
168.0	8.0
169.0	1.0
170.0	1.0
171.0	2.0
172.0	1.0
173.0	3.0
175.0	5.0
176.0	1.0
177.0	3.0
178.0	3.0
185.0	1.0
186.0	1.0
187.0	4.0
188.0	3.0
189.0	2.0
190.0	1.0
191.0	2.0
192.0	4.0
194.0	3.0
197.0	2.0
198.0	3.0
199.0	2.0
201.0	1.0
202.0	6.0
204.0	2.0
205.0	3.0
206.0	6.0
207.0	3.0
208.0	2.0
209.0	2.0
210.0	3.0
211.0	2.0
213.0	1.0
214.0	7.0
215.0	6.0
216.0	14.0
217.0	1.0
218.0	2.0
219.0	2.0
221.0	13.0
223.0	15.0
224.0	2.0
225.0	3.0
226.0	2.0
227.0	4.0
228.0	8.0
229.0	1.0
230.0	14.0
232.0	7.0
233.0	7.0
234.0	7.0
235.0	3.0
236.0	1.0
237.0	11.0
238.0	6.0
239.0	5.0
240.0	5.0
241.0	4.0
242.0	7.0
243.0	1.0
244.0	10.0
245.0	12.0
246.0	8.0
247.0	4.0
248.0	5.0
249.0	1.0
252.0	3.0
253.0	2.0
254.0	6.0
255.0	4.0
256.0	2.0
258.0	2.0
259.0	1.0
260.0	3.0
261.0	2.0
262.0	11.0
263.0	3.0
264.0	5.0
265.0	2.0
266.0	3.0
267.0	2.0
268.0	3.0
269.0	2.0
270.0	2.0
271.0	5.0
272.0	1.0
273.0	3.0
274.0	2.0
275.0	6.0
276.0	1.0
277.0	7.0
278.0	3.0
279.0	2.0
280.0	7.0
281.0	8.0
282.0	7.0
283.0	9.0
284.0	6.0
285.0	6.0
286.0	4.0
287.0	2.0
289.0	1.0
290.0	3.0
291.0	5.0
292.0	10.0
293.0	7.0
294.0	2.0
295.0	1.0
296.0	5.0
297.0	5.0
298.0	7.0
299.0	5.0
300.0	1.0
301.0	9.0
302.0	2.0
303.0	5.0
304.0	7.0
305.0	1.0
306.0	10.0
307.0	2.0
308.0	6.0
309.0	5.0
310.0	5.0
312.0	5.0
313.0	9.0
314.0	14.0
315.0	6.0
316.0	4.0
317.0	8.0
318.0	2.0
319.0	3.0
320.0	7.0
321.0	5.0
322.0	7.0
323.0	9.0
324.0	11.0
325.0	8.0
326.0	2.0
327.0	8.0
328.0	7.0
329.0	2.0
330.0	6.0
331.0	10.0
332.0	9.0
333.0	8.0
334.0	7.0
335.0	8.0
336.0	14.0
337.0	11.0
338.0	1.0
339.0	12.0
340.0	3.0
341.0	8.0
342.0	7.0
343.0	6.0
344.0	10.0
345.0	5.0
346.0	9.0
347.0	12.0
348.0	5.0
349.0	8.0
350.0	6.0
351.0	2.0
352.0	2.0
353.0	11.0
