#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	0.0
21.0	0.0
22.0	0.0
23.0	0.0
24.0	0.0
25.0	0.0
26.0	0.0
27.0	0.0
28.0	0.0
29.0	0.0
30.0	0.0
31.0	0.0
32.0	0.0
33.0	0.0
34.0	4.760997905160922E-5
35.0	0.0
36.0	4.760997905160922E-5
37.0	1.9043991620643687E-4
38.0	4.2848981146448295E-4
39.0	6.66539706722529E-4
40.0	8.093696438773567E-4
41.0	8.093696438773567E-4
42.0	5.237097695677014E-4
43.0	7.617596648257475E-4
44.0	0.0023804989525804607
45.0	0.003332698533612645
46.0	0.004999047800418968
47.0	0.0070938868786897735
48.0	0.00847457627118644
49.0	0.009617215768425062
50.0	0.012045324700057132
51.0	0.017472862311940583
52.0	0.018377451913921157
53.0	0.025995048562178633
54.0	0.031184536278804038
55.0	0.036707293848790706
56.0	0.04499143020377071
57.0	0.05032374785755094
58.0	0.05927442391925347
59.0	0.061892972767091985
60.0	0.06436869167777566
61.0	0.06179775280898877
62.0	0.0661302609026852
63.0	0.06570177109122072
64.0	0.05994096362597601
65.0	0.06008379356313083
66.0	0.04437250047609978
67.0	0.03694534374404875
68.0	0.033374595315178064
69.0	0.026518758331746335
70.0	0.022233860217101505
71.0	0.01580651304513426
72.0	0.012854694343934488
73.0	0.009379165873167016
74.0	0.007379546752999429
75.0	0.005856027423347934
76.0	0.00304703865930299
77.0	0.0022852789944772423
78.0	0.0020472290992191965
79.0	9.998095600837935E-4
80.0	3.332698533612645E-4
81.0	9.521995810321844E-5
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
