#Coverage	Number of genomic locations
0.0	457286.0
1.0	3303.0
2.0	3336.0
3.0	2744.0
4.0	2173.0
5.0	2299.0
6.0	1860.0
7.0	1985.0
8.0	2122.0
9.0	2160.0
10.0	1764.0
11.0	1828.0
12.0	1892.0
13.0	1776.0
14.0	2499.0
15.0	2489.0
16.0	2328.0
17.0	2648.0
18.0	3280.0
19.0	3642.0
20.0	4420.0
21.0	6129.0
22.0	7250.0
23.0	9154.0
24.0	11791.0
25.0	14612.0
26.0	18469.0
27.0	23027.0
28.0	29090.0
29.0	34965.0
30.0	42794.0
31.0	51040.0
32.0	60864.0
33.0	68794.0
34.0	78935.0
35.0	90055.0
36.0	99817.0
37.0	111088.0
38.0	123459.0
39.0	133935.0
40.0	142518.0
41.0	151505.0
42.0	158435.0
43.0	166795.0
44.0	171589.0
45.0	175325.0
46.0	177567.0
47.0	177946.0
48.0	177369.0
49.0	175847.0
50.0	171918.0
51.0	166825.0
52.0	161247.0
53.0	153636.0
54.0	146868.0
55.0	138591.0
56.0	129741.0
57.0	121367.0
58.0	113876.0
59.0	105047.0
60.0	96339.0
61.0	90007.0
62.0	80661.0
63.0	72866.0
64.0	64674.0
65.0	58760.0
66.0	51550.0
67.0	46351.0
68.0	41393.0
69.0	36082.0
70.0	31176.0
71.0	27227.0
72.0	23707.0
73.0	19990.0
74.0	17161.0
75.0	14795.0
76.0	12150.0
77.0	10777.0
78.0	8952.0
79.0	7595.0
80.0	6183.0
81.0	5321.0
82.0	4378.0
83.0	3451.0
84.0	3007.0
85.0	2508.0
86.0	2090.0
87.0	1657.0
88.0	1366.0
89.0	1172.0
90.0	952.0
91.0	916.0
92.0	713.0
93.0	604.0
94.0	649.0
95.0	528.0
96.0	412.0
97.0	350.0
98.0	355.0
99.0	282.0
100.0	285.0
101.0	241.0
102.0	212.0
103.0	162.0
104.0	179.0
105.0	175.0
106.0	119.0
107.0	140.0
108.0	136.0
109.0	157.0
110.0	159.0
111.0	121.0
112.0	145.0
113.0	136.0
114.0	149.0
115.0	155.0
116.0	141.0
117.0	168.0
118.0	162.0
119.0	178.0
120.0	123.0
121.0	152.0
122.0	158.0
123.0	159.0
124.0	168.0
125.0	192.0
126.0	156.0
127.0	189.0
128.0	188.0
129.0	137.0
130.0	219.0
131.0	211.0
132.0	207.0
133.0	193.0
134.0	215.0
135.0	217.0
136.0	269.0
137.0	185.0
138.0	183.0
139.0	221.0
