#Insert size (bp)	insert size
2.0	1.0
3.0	2.0
4.0	1.0
6.0	1.0
7.0	1.0
8.0	2.0
9.0	7.0
10.0	1.0
12.0	1.0
14.0	4.0
15.0	3.0
16.0	1.0
17.0	3.0
19.0	49.0
20.0	42.0
21.0	11.0
22.0	9.0
23.0	2.0
24.0	9.0
25.0	1.0
26.0	2.0
27.0	7.0
28.0	4.0
29.0	3.0
30.0	1.0
31.0	7.0
32.0	7.0
33.0	6.0
34.0	11.0
35.0	24.0
36.0	20.0
37.0	4.0
38.0	4.0
39.0	3.0
40.0	13.0
41.0	10.0
42.0	16.0
43.0	19.0
44.0	15.0
45.0	14.0
46.0	19.0
47.0	8.0
48.0	7.0
49.0	2.0
50.0	10.0
51.0	10.0
52.0	22.0
53.0	12.0
54.0	23.0
55.0	22.0
56.0	13.0
57.0	23.0
58.0	14.0
59.0	10.0
60.0	10.0
61.0	8.0
62.0	14.0
63.0	31.0
64.0	27.0
65.0	16.0
66.0	18.0
67.0	15.0
68.0	14.0
69.0	14.0
70.0	10.0
71.0	11.0
72.0	15.0
73.0	31.0
74.0	23.0
75.0	23.0
76.0	18.0
77.0	29.0
78.0	10.0
79.0	10.0
80.0	12.0
81.0	24.0
82.0	23.0
83.0	27.0
84.0	28.0
85.0	23.0
86.0	24.0
87.0	21.0
88.0	13.0
89.0	14.0
90.0	11.0
91.0	16.0
92.0	18.0
93.0	19.0
94.0	26.0
95.0	32.0
96.0	31.0
97.0	18.0
98.0	20.0
99.0	18.0
100.0	15.0
101.0	20.0
102.0	18.0
103.0	20.0
104.0	29.0
105.0	29.0
106.0	23.0
107.0	37.0
108.0	21.0
109.0	29.0
110.0	17.0
111.0	25.0
112.0	22.0
113.0	28.0
114.0	33.0
115.0	32.0
116.0	38.0
117.0	25.0
118.0	27.0
119.0	30.0
120.0	22.0
121.0	27.0
122.0	36.0
123.0	30.0
124.0	33.0
125.0	34.0
126.0	56.0
127.0	43.0
128.0	32.0
129.0	40.0
130.0	39.0
131.0	31.0
132.0	34.0
133.0	37.0
134.0	31.0
135.0	41.0
136.0	42.0
137.0	44.0
138.0	31.0
139.0	43.0
140.0	35.0
141.0	28.0
142.0	45.0
143.0	33.0
144.0	43.0
