#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	0.0
21.0	0.0
22.0	0.0
23.0	0.0
24.0	0.0
25.0	0.0
26.0	0.0
27.0	0.0
28.0	0.0
29.0	0.0
30.0	0.0
31.0	0.0
32.0	0.0
33.0	0.0
34.0	0.0
35.0	0.0
36.0	0.0
37.0	6.431695394906098E-5
38.0	5.788525855415488E-4
39.0	6.431695394906097E-4
40.0	0.0010290712631849757
41.0	7.718034473887317E-4
42.0	8.361204013377926E-4
43.0	5.145356315924878E-4
44.0	0.0014149729868793413
45.0	0.0025083612040133784
46.0	0.004116285052739903
47.0	0.005852842809364548
48.0	0.008039619243632622
49.0	0.008940056598919477
50.0	0.010676614355544123
51.0	0.014921533316182144
52.0	0.017108309750450218
53.0	0.022253666066375098
54.0	0.02971443272446617
55.0	0.03543864162593259
56.0	0.04045536403395935
57.0	0.047144327244661687
58.0	0.052997170054026245
59.0	0.05859274504759455
60.0	0.059557499356830454
61.0	0.06631077952148187
62.0	0.06470285567275534
63.0	0.06733985078466684
64.0	0.06560329302804219
65.0	0.060586570620015434
66.0	0.04997427321842038
67.0	0.04103421661950091
68.0	0.03672498070491381
69.0	0.028942629277077435
70.0	0.02527656290198096
71.0	0.018137381013635195
72.0	0.015500385901723696
73.0	0.011962953434525341
74.0	0.008940056598919475
75.0	0.006688963210702341
76.0	0.003022896835605866
77.0	0.002251093388217134
78.0	0.0012863390789812196
79.0	9.647543092359145E-4
80.0	4.502186776434269E-4
81.0	6.431695394906098E-5
82.0	0.0
83.0	6.431695394906098E-5
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
