#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	0.0
21.0	0.0
22.0	0.0
23.0	0.0
24.0	0.0
25.0	0.0
26.0	2.2439838792198115E-6
27.0	2.2439838792198115E-6
28.0	4.487967758439623E-6
29.0	4.487967758439623E-6
30.0	0.0
31.0	8.975935516879244E-6
32.0	1.009792745648915E-5
33.0	3.5903742067516984E-5
34.0	4.375768564478633E-5
35.0	5.161162922205567E-5
36.0	7.62954518934736E-5
37.0	1.0658923426294104E-4
38.0	1.5483488766616696E-4
39.0	2.0756850882783256E-4
40.0	3.5006148515829064E-4
41.0	4.2972291287059395E-4
42.0	5.385561310127548E-4
43.0	6.967569944977515E-4
44.0	8.572018418619682E-4
45.0	0.0010232566489242342
46.0	0.001263362924000754
47.0	0.001536006965325961
48.0	0.0017963090953154594
49.0	0.002196860217756196
50.0	0.002515505928605409
51.0	0.003324462117064151
52.0	0.0033513899236147894
53.0	0.004744903912610291
54.0	0.006123832006390865
55.0	0.00774286637524796
56.0	0.010046315827267097
57.0	0.0135693705176422
58.0	0.018338958252923913
59.0	0.024847633494600972
60.0	0.0331526178315935
61.0	0.04243597913992586
62.0	0.05413274511035913
63.0	0.06571618989489181
64.0	0.07601158793275228
65.0	0.08328882765306213
66.0	0.08685339604520281
67.0	0.08694091141649239
68.0	0.08210624814871331
69.0	0.07286888850990494
70.0	0.06135500722562809
71.0	0.0486821082677342
72.0	0.03613262842319741
73.0	0.025380579665915684
74.0	0.01606916855909307
75.0	0.009980118302830113
76.0	0.0057737705212325754
77.0	0.003407489520595284
78.0	0.0018860684504842518
79.0	9.402292453931011E-4
80.0	5.228482438582162E-4
81.0	2.176664362843217E-4
82.0	8.302740353113303E-5
83.0	1.90738629733684E-5
84.0	1.3463903275318867E-5
85.0	8.975935516879244E-6
86.0	4.487967758439623E-6
87.0	2.2439838792198115E-6
88.0	0.0
89.0	1.1219919396099058E-6
90.0	1.1219919396099058E-6
91.0	1.1219919396099058E-6
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	7.85394357726934E-6
