#Coverage	Number of genomic locations
0.0	302173.0
1.0	7197.0
2.0	4741.0
3.0	2922.0
4.0	2340.0
5.0	2092.0
6.0	1800.0
7.0	2065.0
8.0	2339.0
9.0	2342.0
10.0	2044.0
11.0	2074.0
12.0	2214.0
13.0	2325.0
14.0	2576.0
15.0	2730.0
16.0	2796.0
17.0	2904.0
18.0	3552.0
19.0	4046.0
20.0	5227.0
21.0	5892.0
22.0	6957.0
23.0	8181.0
24.0	9662.0
25.0	11639.0
26.0	13018.0
27.0	14861.0
28.0	17071.0
29.0	19500.0
30.0	22035.0
31.0	24251.0
32.0	26976.0
33.0	31140.0
34.0	33756.0
35.0	38150.0
36.0	42211.0
37.0	46185.0
38.0	49913.0
39.0	53865.0
40.0	59211.0
41.0	64734.0
42.0	69628.0
43.0	72760.0
44.0	76475.0
45.0	80010.0
46.0	84575.0
47.0	88715.0
48.0	93042.0
49.0	97065.0
50.0	100385.0
51.0	102780.0
52.0	104615.0
53.0	106863.0
54.0	109530.0
55.0	110916.0
56.0	111923.0
57.0	112740.0
58.0	112900.0
59.0	112841.0
60.0	111605.0
61.0	110904.0
62.0	109677.0
63.0	106740.0
64.0	105066.0
65.0	102974.0
66.0	100445.0
67.0	98544.0
68.0	95324.0
69.0	91470.0
70.0	89531.0
71.0	85669.0
72.0	82635.0
73.0	80288.0
74.0	76869.0
75.0	73872.0
76.0	70666.0
77.0	67505.0
78.0	63881.0
79.0	60120.0
80.0	57249.0
81.0	54213.0
82.0	51362.0
83.0	49340.0
84.0	46020.0
85.0	43162.0
86.0	40988.0
87.0	38765.0
88.0	36568.0
89.0	34499.0
90.0	32545.0
91.0	30637.0
92.0	29073.0
93.0	27333.0
94.0	25556.0
95.0	24395.0
96.0	23034.0
97.0	21266.0
98.0	19676.0
99.0	18928.0
100.0	17884.0
101.0	16684.0
102.0	15665.0
103.0	14999.0
104.0	14067.0
105.0	12857.0
106.0	12140.0
107.0	11462.0
108.0	10817.0
109.0	10081.0
110.0	9444.0
111.0	8855.0
112.0	8349.0
113.0	7774.0
114.0	7393.0
115.0	6706.0
116.0	6505.0
117.0	6083.0
118.0	5505.0
119.0	5275.0
120.0	5027.0
121.0	4832.0
122.0	4582.0
123.0	4332.0
124.0	3938.0
125.0	3729.0
126.0	3521.0
127.0	3345.0
128.0	2987.0
129.0	2922.0
130.0	2753.0
131.0	2530.0
132.0	2371.0
133.0	2162.0
134.0	2091.0
135.0	2033.0
136.0	1851.0
137.0	1738.0
138.0	1702.0
139.0	1509.0
140.0	1453.0
141.0	1386.0
142.0	1292.0
143.0	1277.0
144.0	1173.0
145.0	1082.0
146.0	1035.0
147.0	930.0
148.0	916.0
149.0	878.0
150.0	771.0
151.0	787.0
152.0	639.0
153.0	711.0
154.0	702.0
155.0	684.0
156.0	594.0
157.0	585.0
158.0	606.0
159.0	559.0
160.0	557.0
161.0	484.0
162.0	469.0
163.0	416.0
164.0	382.0
165.0	372.0
166.0	368.0
167.0	339.0
168.0	335.0
169.0	339.0
170.0	345.0
171.0	342.0
172.0	323.0
173.0	263.0
174.0	241.0
175.0	268.0
176.0	242.0
177.0	218.0
178.0	206.0
179.0	206.0
180.0	194.0
181.0	198.0
182.0	206.0
183.0	200.0
184.0	195.0
185.0	182.0
186.0	201.0
187.0	199.0
188.0	150.0
189.0	234.0
190.0	152.0
191.0	156.0
192.0	170.0
193.0	146.0
194.0	133.0
195.0	123.0
196.0	114.0
197.0	121.0
198.0	121.0
199.0	107.0
200.0	111.0
201.0	91.0
202.0	88.0
203.0	82.0
204.0	125.0
205.0	127.0
206.0	129.0
207.0	87.0
208.0	115.0
209.0	115.0
210.0	87.0
211.0	96.0
212.0	89.0
213.0	103.0
214.0	96.0
215.0	83.0
216.0	108.0
217.0	80.0
218.0	77.0
219.0	78.0
220.0	63.0
221.0	61.0
222.0	66.0
223.0	62.0
224.0	68.0
225.0	66.0
226.0	73.0
227.0	63.0
228.0	64.0
229.0	53.0
230.0	63.0
231.0	69.0
232.0	56.0
233.0	52.0
234.0	78.0
235.0	61.0
236.0	54.0
237.0	52.0
238.0	38.0
239.0	45.0
240.0	62.0
241.0	35.0
242.0	43.0
243.0	42.0
244.0	35.0
245.0	38.0
246.0	38.0
247.0	33.0
248.0	25.0
249.0	33.0
250.0	35.0
251.0	27.0
252.0	27.0
253.0	37.0
254.0	30.0
255.0	22.0
256.0	19.0
257.0	22.0
258.0	18.0
259.0	31.0
260.0	24.0
261.0	28.0
262.0	16.0
263.0	19.0
264.0	5.0
265.0	18.0
266.0	11.0
267.0	22.0
268.0	20.0
269.0	13.0
270.0	23.0
271.0	28.0
272.0	25.0
273.0	21.0
274.0	23.0
275.0	16.0
276.0	11.0
277.0	12.0
278.0	22.0
279.0	17.0
280.0	22.0
281.0	10.0
282.0	15.0
283.0	15.0
284.0	16.0
285.0	12.0
286.0	11.0
287.0	8.0
288.0	15.0
289.0	8.0
290.0	8.0
291.0	4.0
292.0	3.0
293.0	3.0
294.0	4.0
295.0	6.0
296.0	10.0
297.0	12.0
298.0	10.0
299.0	5.0
300.0	9.0
301.0	8.0
302.0	5.0
303.0	4.0
304.0	4.0
305.0	5.0
306.0	6.0
307.0	5.0
308.0	7.0
309.0	10.0
310.0	9.0
311.0	8.0
312.0	5.0
313.0	3.0
315.0	4.0
316.0	6.0
317.0	6.0
318.0	15.0
319.0	16.0
320.0	10.0
321.0	6.0
322.0	7.0
323.0	9.0
324.0	17.0
325.0	20.0
326.0	13.0
327.0	12.0
328.0	10.0
329.0	5.0
330.0	11.0
331.0	5.0
332.0	11.0
333.0	3.0
