#Coverage	Number of genomic locations
0.0	159648.0
1.0	314.0
2.0	521.0
3.0	79.0
4.0	257.0
5.0	119.0
6.0	57.0
7.0	41.0
8.0	271.0
9.0	50.0
10.0	250.0
11.0	27.0
12.0	206.0
13.0	72.0
14.0	144.0
15.0	53.0
16.0	39.0
17.0	9.0
18.0	69.0
19.0	30.0
20.0	91.0
21.0	33.0
22.0	34.0
23.0	6.0
24.0	35.0
25.0	18.0
26.0	7.0
27.0	2.0
28.0	8.0
29.0	7.0
30.0	13.0
31.0	7.0
32.0	26.0
33.0	28.0
35.0	6.0
36.0	14.0
37.0	22.0
38.0	27.0
43.0	26.0
45.0	3.0
46.0	16.0
47.0	5.0
48.0	3.0
49.0	8.0
50.0	56.0
51.0	20.0
52.0	36.0
53.0	28.0
54.0	20.0
55.0	12.0
56.0	15.0
57.0	31.0
58.0	54.0
59.0	34.0
60.0	27.0
61.0	48.0
62.0	76.0
63.0	76.0
64.0	51.0
65.0	49.0
66.0	78.0
67.0	81.0
68.0	67.0
69.0	66.0
70.0	58.0
71.0	64.0
72.0	39.0
73.0	27.0
74.0	39.0
75.0	62.0
76.0	23.0
77.0	20.0
78.0	34.0
79.0	32.0
80.0	33.0
81.0	35.0
82.0	66.0
83.0	52.0
84.0	21.0
85.0	8.0
86.0	13.0
87.0	9.0
88.0	8.0
89.0	6.0
90.0	5.0
91.0	35.0
92.0	7.0
93.0	7.0
94.0	8.0
95.0	7.0
96.0	8.0
97.0	3.0
98.0	5.0
99.0	2.0
100.0	2.0
101.0	11.0
104.0	9.0
105.0	1.0
109.0	1.0
111.0	1.0
112.0	4.0
116.0	2.0
118.0	2.0
119.0	4.0
120.0	1.0
122.0	1.0
123.0	1.0
124.0	1.0
127.0	1.0
128.0	1.0
130.0	1.0
131.0	2.0
132.0	5.0
135.0	1.0
136.0	1.0
138.0	1.0
139.0	6.0
140.0	1.0
141.0	1.0
143.0	1.0
144.0	2.0
147.0	5.0
151.0	1.0
152.0	1.0
153.0	2.0
156.0	1.0
157.0	1.0
158.0	5.0
159.0	3.0
160.0	1.0
162.0	1.0
163.0	4.0
164.0	6.0
165.0	2.0
166.0	3.0
167.0	7.0
168.0	6.0
169.0	2.0
170.0	2.0
171.0	5.0
172.0	9.0
173.0	2.0
174.0	13.0
175.0	2.0
176.0	16.0
177.0	10.0
178.0	10.0
179.0	7.0
180.0	19.0
181.0	1.0
182.0	1.0
183.0	2.0
184.0	3.0
185.0	2.0
186.0	2.0
188.0	12.0
189.0	1.0
190.0	1.0
191.0	8.0
192.0	3.0
193.0	3.0
194.0	6.0
195.0	3.0
196.0	2.0
197.0	6.0
199.0	5.0
200.0	2.0
201.0	3.0
202.0	5.0
203.0	4.0
204.0	4.0
205.0	4.0
206.0	3.0
207.0	4.0
208.0	6.0
209.0	2.0
210.0	1.0
211.0	3.0
212.0	1.0
213.0	5.0
214.0	3.0
215.0	2.0
216.0	1.0
217.0	4.0
218.0	5.0
219.0	8.0
220.0	2.0
221.0	3.0
222.0	9.0
223.0	4.0
224.0	4.0
225.0	3.0
226.0	5.0
227.0	7.0
228.0	5.0
229.0	3.0
230.0	1.0
231.0	6.0
232.0	3.0
233.0	6.0
234.0	6.0
235.0	3.0
236.0	4.0
237.0	6.0
238.0	5.0
239.0	4.0
240.0	7.0
241.0	8.0
242.0	4.0
243.0	7.0
244.0	14.0
245.0	8.0
246.0	8.0
247.0	1.0
248.0	4.0
249.0	3.0
250.0	5.0
251.0	5.0
252.0	4.0
253.0	11.0
254.0	12.0
255.0	8.0
256.0	12.0
257.0	5.0
258.0	9.0
259.0	5.0
260.0	8.0
261.0	9.0
262.0	8.0
263.0	3.0
264.0	7.0
265.0	10.0
266.0	8.0
268.0	6.0
269.0	7.0
270.0	6.0
271.0	6.0
272.0	9.0
273.0	8.0
274.0	14.0
275.0	6.0
276.0	8.0
277.0	11.0
278.0	14.0
279.0	7.0
280.0	6.0
281.0	7.0
282.0	11.0
283.0	9.0
284.0	15.0
285.0	13.0
286.0	11.0
287.0	14.0
288.0	13.0
289.0	14.0
290.0	9.0
291.0	11.0
292.0	11.0
293.0	11.0
294.0	13.0
295.0	14.0
296.0	9.0
297.0	16.0
298.0	10.0
299.0	9.0
300.0	11.0
301.0	11.0
302.0	15.0
303.0	14.0
304.0	18.0
305.0	16.0
306.0	29.0
307.0	16.0
308.0	18.0
309.0	14.0
310.0	14.0
311.0	7.0
312.0	15.0
313.0	14.0
314.0	7.0
315.0	25.0
316.0	19.0
317.0	15.0
318.0	26.0
319.0	23.0
320.0	25.0
321.0	31.0
322.0	17.0
323.0	19.0
324.0	26.0
325.0	22.0
326.0	27.0
327.0	27.0
328.0	30.0
329.0	28.0
330.0	28.0
331.0	37.0
332.0	23.0
333.0	23.0
334.0	19.0
335.0	17.0
336.0	17.0
337.0	30.0
338.0	19.0
339.0	13.0
340.0	19.0
341.0	23.0
342.0	14.0
343.0	19.0
344.0	15.0
345.0	19.0
346.0	17.0
347.0	12.0
348.0	12.0
349.0	8.0
350.0	13.0
351.0	12.0
352.0	7.0
353.0	11.0
354.0	13.0
355.0	15.0
356.0	17.0
357.0	10.0
358.0	10.0
359.0	18.0
360.0	6.0
361.0	7.0
362.0	9.0
363.0	5.0
364.0	9.0
365.0	6.0
366.0	9.0
367.0	2.0
368.0	4.0
369.0	2.0
370.0	1.0
372.0	1.0
373.0	5.0
374.0	4.0
375.0	1.0
376.0	2.0
377.0	2.0
378.0	1.0
379.0	5.0
380.0	1.0
381.0	1.0
382.0	2.0
383.0	1.0
384.0	1.0
386.0	7.0
387.0	2.0
388.0	1.0
391.0	1.0
398.0	1.0
399.0	2.0
400.0	5.0
401.0	3.0
402.0	1.0
403.0	3.0
404.0	1.0
405.0	2.0
406.0	1.0
407.0	1.0
408.0	1.0
409.0	2.0
410.0	5.0
411.0	3.0
412.0	1.0
413.0	2.0
414.0	1.0
416.0	1.0
417.0	1.0
421.0	3.0
422.0	3.0
423.0	1.0
424.0	1.0
425.0	2.0
427.0	2.0
428.0	9.0
430.0	3.0
432.0	1.0
434.0	2.0
435.0	1.0
436.0	4.0
437.0	1.0
438.0	3.0
439.0	3.0
441.0	4.0
442.0	4.0
443.0	5.0
444.0	3.0
445.0	3.0
446.0	7.0
447.0	1.0
448.0	1.0
449.0	3.0
450.0	1.0
451.0	3.0
452.0	3.0
454.0	4.0
456.0	5.0
457.0	4.0
458.0	10.0
459.0	2.0
460.0	3.0
461.0	3.0
462.0	6.0
463.0	5.0
464.0	3.0
465.0	6.0
466.0	4.0
467.0	3.0
468.0	4.0
469.0	8.0
470.0	4.0
471.0	7.0
472.0	5.0
473.0	2.0
474.0	3.0
475.0	7.0
476.0	3.0
477.0	5.0
478.0	1.0
479.0	1.0
480.0	2.0
481.0	5.0
482.0	3.0
483.0	3.0
484.0	2.0
485.0	2.0
486.0	4.0
487.0	1.0
488.0	4.0
490.0	4.0
493.0	4.0
494.0	2.0
497.0	2.0
499.0	4.0
500.0	5.0
501.0	2.0
502.0	2.0
503.0	1.0
504.0	2.0
505.0	2.0
506.0	6.0
507.0	2.0
508.0	3.0
509.0	3.0
510.0	1.0
511.0	2.0
512.0	5.0
513.0	4.0
514.0	4.0
515.0	3.0
516.0	3.0
517.0	1.0
518.0	8.0
519.0	4.0
520.0	4.0
521.0	3.0
524.0	3.0
525.0	3.0
526.0	2.0
527.0	12.0
528.0	3.0
529.0	1.0
530.0	6.0
531.0	2.0
532.0	7.0
533.0	5.0
534.0	5.0
536.0	2.0
537.0	3.0
538.0	2.0
539.0	7.0
540.0	2.0
541.0	2.0
542.0	2.0
543.0	4.0
544.0	1.0
545.0	3.0
546.0	5.0
547.0	3.0
548.0	9.0
549.0	2.0
550.0	6.0
551.0	6.0
552.0	7.0
553.0	6.0
554.0	1.0
555.0	7.0
556.0	1.0
557.0	10.0
558.0	4.0
559.0	8.0
560.0	2.0
561.0	2.0
562.0	2.0
563.0	2.0
564.0	4.0
565.0	3.0
566.0	2.0
567.0	1.0
568.0	8.0
569.0	5.0
570.0	4.0
571.0	5.0
572.0	7.0
573.0	2.0
574.0	3.0
575.0	2.0
576.0	4.0
577.0	1.0
578.0	2.0
579.0	5.0
580.0	2.0
582.0	2.0
583.0	1.0
584.0	3.0
585.0	1.0
586.0	3.0
587.0	4.0
588.0	5.0
589.0	5.0
590.0	2.0
591.0	8.0
592.0	5.0
593.0	4.0
594.0	4.0
595.0	1.0
596.0	3.0
598.0	3.0
599.0	5.0
600.0	6.0
601.0	2.0
602.0	4.0
603.0	2.0
604.0	3.0
605.0	1.0
607.0	3.0
608.0	4.0
609.0	3.0
610.0	8.0
611.0	4.0
612.0	4.0
613.0	8.0
614.0	8.0
615.0	7.0
616.0	2.0
617.0	4.0
618.0	3.0
619.0	2.0
620.0	3.0
621.0	2.0
622.0	3.0
623.0	9.0
624.0	6.0
626.0	2.0
627.0	3.0
628.0	2.0
629.0	3.0
630.0	5.0
631.0	6.0
632.0	4.0
633.0	3.0
634.0	8.0
635.0	9.0
636.0	1.0
637.0	3.0
638.0	4.0
639.0	1.0
640.0	3.0
641.0	1.0
642.0	2.0
644.0	4.0
645.0	3.0
646.0	2.0
647.0	3.0
648.0	3.0
649.0	3.0
650.0	3.0
651.0	7.0
652.0	6.0
653.0	1.0
654.0	2.0
655.0	1.0
657.0	4.0
658.0	3.0
659.0	4.0
660.0	5.0
662.0	3.0
663.0	2.0
664.0	1.0
665.0	1.0
666.0	4.0
667.0	2.0
668.0	4.0
669.0	2.0
671.0	3.0
672.0	3.0
673.0	1.0
674.0	4.0
675.0	2.0
676.0	4.0
677.0	1.0
678.0	3.0
679.0	9.0
680.0	4.0
681.0	5.0
682.0	1.0
683.0	9.0
684.0	2.0
685.0	2.0
686.0	3.0
687.0	1.0
688.0	1.0
689.0	4.0
691.0	2.0
693.0	2.0
694.0	1.0
696.0	3.0
699.0	1.0
701.0	2.0
702.0	2.0
710.0	1.0
714.0	1.0
720.0	1.0
722.0	1.0
723.0	2.0
724.0	1.0
725.0	4.0
726.0	1.0
727.0	4.0
728.0	3.0
729.0	2.0
730.0	1.0
731.0	3.0
732.0	3.0
733.0	1.0
734.0	3.0
735.0	1.0
736.0	1.0
737.0	4.0
738.0	3.0
740.0	4.0
741.0	7.0
742.0	2.0
743.0	1.0
744.0	1.0
746.0	1.0
747.0	2.0
749.0	1.0
754.0	3.0
755.0	1.0
756.0	1.0
758.0	1.0
759.0	2.0
762.0	1.0
775.0	1.0
777.0	1.0
782.0	1.0
784.0	1.0
