#Coverage	Number of genomic locations
0.0	304649.0
1.0	4923.0
2.0	3279.0
3.0	2123.0
4.0	1989.0
5.0	1977.0
6.0	1680.0
7.0	1467.0
8.0	1587.0
9.0	1568.0
10.0	1679.0
11.0	1380.0
12.0	1147.0
13.0	1186.0
14.0	1433.0
15.0	1212.0
16.0	1299.0
17.0	1328.0
18.0	1480.0
19.0	1735.0
20.0	2000.0
21.0	2224.0
22.0	2063.0
23.0	2424.0
24.0	2738.0
25.0	3396.0
26.0	3565.0
27.0	4335.0
28.0	4876.0
29.0	5826.0
30.0	6799.0
31.0	8621.0
32.0	10027.0
33.0	11924.0
34.0	14419.0
35.0	17222.0
36.0	20386.0
37.0	23885.0
38.0	28405.0
39.0	32215.0
40.0	36909.0
41.0	42974.0
42.0	48956.0
43.0	55938.0
44.0	62533.0
45.0	69033.0
46.0	76929.0
47.0	82643.0
48.0	87814.0
49.0	94586.0
50.0	102339.0
51.0	107171.0
52.0	112650.0
53.0	118479.0
54.0	120918.0
55.0	125279.0
56.0	127905.0
57.0	129586.0
58.0	131321.0
59.0	130676.0
60.0	130485.0
61.0	131710.0
62.0	130244.0
63.0	129107.0
64.0	126531.0
65.0	124907.0
66.0	121712.0
67.0	120016.0
68.0	115480.0
69.0	111882.0
70.0	109176.0
71.0	105633.0
72.0	100319.0
73.0	96503.0
74.0	93037.0
75.0	89803.0
76.0	85628.0
77.0	82637.0
78.0	77949.0
79.0	74057.0
80.0	68775.0
81.0	66149.0
82.0	62384.0
83.0	58154.0
84.0	53778.0
85.0	50808.0
86.0	46904.0
87.0	43706.0
88.0	40445.0
89.0	37158.0
90.0	34788.0
91.0	31518.0
92.0	28914.0
93.0	26709.0
94.0	23497.0
95.0	22330.0
96.0	19854.0
97.0	18022.0
98.0	16393.0
99.0	14835.0
100.0	13163.0
101.0	12091.0
102.0	10550.0
103.0	9656.0
104.0	8759.0
105.0	7628.0
106.0	6907.0
107.0	6270.0
108.0	5511.0
109.0	5138.0
110.0	4726.0
111.0	4161.0
112.0	3741.0
113.0	3290.0
114.0	2971.0
115.0	2808.0
116.0	2446.0
117.0	2204.0
118.0	2021.0
119.0	1756.0
120.0	1563.0
121.0	1433.0
122.0	1213.0
123.0	1064.0
124.0	981.0
125.0	931.0
126.0	802.0
127.0	696.0
128.0	644.0
129.0	558.0
130.0	514.0
131.0	493.0
132.0	495.0
133.0	368.0
134.0	339.0
135.0	306.0
136.0	271.0
137.0	264.0
138.0	250.0
139.0	268.0
140.0	216.0
141.0	249.0
142.0	273.0
143.0	281.0
144.0	282.0
145.0	254.0
146.0	277.0
147.0	259.0
148.0	254.0
149.0	257.0
150.0	268.0
151.0	238.0
152.0	229.0
153.0	250.0
154.0	255.0
155.0	313.0
156.0	297.0
157.0	224.0
158.0	312.0
159.0	252.0
160.0	337.0
161.0	305.0
162.0	251.0
163.0	248.0
164.0	226.0
165.0	233.0
166.0	251.0
167.0	264.0
168.0	225.0
169.0	249.0
170.0	275.0
171.0	221.0
172.0	188.0
173.0	286.0
174.0	235.0
175.0	281.0
176.0	243.0
177.0	268.0
178.0	278.0
179.0	293.0
180.0	284.0
181.0	276.0
182.0	271.0
183.0	283.0
184.0	281.0
185.0	289.0
186.0	270.0
187.0	252.0
188.0	319.0
189.0	274.0
190.0	279.0
191.0	328.0
192.0	333.0
193.0	316.0
194.0	330.0
195.0	262.0
196.0	316.0
197.0	287.0
198.0	307.0
199.0	335.0
200.0	377.0
201.0	340.0
202.0	380.0
203.0	318.0
204.0	335.0
205.0	321.0
206.0	323.0
207.0	386.0
208.0	401.0
209.0	353.0
