#Duplication rate	Coverage
1.0	18486.0
2.0	13055.0
3.0	8097.0
4.0	4807.0
5.0	2781.0
6.0	1503.0
7.0	862.0
8.0	459.0
9.0	322.0
10.0	168.0
11.0	145.0
12.0	128.0
13.0	96.0
14.0	56.0
15.0	50.0
16.0	54.0
17.0	42.0
18.0	27.0
19.0	22.0
20.0	14.0
21.0	11.0
22.0	10.0
23.0	11.0
24.0	9.0
25.0	2.0
26.0	5.0
27.0	6.0
28.0	4.0
29.0	5.0
30.0	3.0
31.0	1.0
32.0	2.0
33.0	0.0
34.0	1.0
35.0	0.0
36.0	1.0
37.0	2.0
38.0	3.0
39.0	2.0
40.0	0.0
41.0	1.0
42.0	0.0
43.0	1.0
44.0	0.0
45.0	1.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	43.0
