#Coverage (X)	Coverage
1.0	99.73068574644265
2.0	99.55784227027897
3.0	99.32470455824424
4.0	99.20545595841038
5.0	99.12774338773214
6.0	99.0473510732374
7.0	98.92542272958705
8.0	98.865128493716
9.0	98.7740172039553
10.0	98.6065332154246
11.0	98.50604282230618
12.0	98.45378781788462
13.0	98.37607524720637
14.0	98.31444113942707
15.0	98.26352600691374
16.0	98.22466972157461
17.0	98.16973497333655
18.0	98.11078060937375
19.0	98.06790470830988
20.0	97.99689149717287
21.0	97.95401559610902
22.0	97.88970174451322
23.0	97.8387866119999
24.0	97.77581263231235
25.0	97.70211967735885
26.0	97.653884288662
27.0	97.61904761904762
28.0	97.59359005279096
29.0	97.57617171798375
30.0	97.54267492027762
31.0	97.5185572259292
32.0	97.4917597877643
33.0	97.44888388670043
34.0	97.430125679985
35.0	97.40600798563658
36.0	97.37519093174693
37.0	97.33231503068306
38.0	97.31087708015114
39.0	97.277380282445
40.0	97.24656322855535
41.0	97.23450438138114
42.0	97.20770694321622
43.0	97.17956963314307
44.0	97.15813168261114
45.0	97.13267411635448
46.0	97.10453680628132
47.0	97.08443872765764
48.0	97.04692231422676
49.0	97.0187850041536
50.0	96.9919875659887
51.0	96.971889487365
