#Mapping quality	mapping quality
1.0	3.0
2.0	168.0
3.0	913.0
4.0	257.0
5.0	129.0
6.0	100.0
7.0	176.0
8.0	127.0
9.0	252.0
10.0	108.0
11.0	173.0
12.0	105.0
13.0	103.0
14.0	95.0
15.0	146.0
16.0	82.0
17.0	375.0
18.0	464.0
19.0	382.0
20.0	283.0
21.0	369.0
22.0	529.0
23.0	550.0
24.0	475.0
25.0	647.0
26.0	543.0
27.0	1039.0
28.0	1327.0
29.0	837.0
30.0	919.0
31.0	1252.0
32.0	1451.0
33.0	1102.0
34.0	1101.0
35.0	1511.0
36.0	1998.0
37.0	2645.0
38.0	4194.0
39.0	5255.0
40.0	8563.0
41.0	949.0
42.0	986.0
43.0	1183.0
44.0	972.0
45.0	896.0
46.0	1006.0
47.0	1151.0
48.0	1291.0
49.0	1433.0
50.0	1924.0
51.0	2061.0
52.0	2146.0
53.0	2390.0
54.0	2614.0
55.0	2966.0
56.0	3579.0
57.0	4278.0
58.0	6369.0
59.0	243381.0
60.0	4709187.0
