#Duplication rate	Coverage
1.0	10821.0
2.0	6392.0
3.0	4122.0
4.0	2786.0
5.0	1987.0
6.0	1518.0
7.0	1181.0
8.0	869.0
9.0	693.0
10.0	555.0
11.0	479.0
12.0	373.0
13.0	308.0
14.0	225.0
15.0	189.0
16.0	165.0
17.0	166.0
18.0	130.0
19.0	117.0
20.0	104.0
21.0	76.0
22.0	61.0
23.0	48.0
24.0	51.0
25.0	47.0
26.0	42.0
27.0	28.0
28.0	22.0
29.0	22.0
30.0	14.0
31.0	25.0
32.0	19.0
33.0	9.0
34.0	6.0
35.0	4.0
36.0	14.0
37.0	7.0
38.0	10.0
39.0	5.0
40.0	6.0
41.0	7.0
42.0	5.0
43.0	10.0
44.0	5.0
45.0	6.0
46.0	4.0
47.0	3.0
48.0	6.0
49.0	5.0
50.0	58.0
