#Insert size (bp)	insert size
2.0	2.0
3.0	2.0
4.0	6.0
6.0	2.0
7.0	1.0
8.0	1.0
9.0	6.0
10.0	1.0
13.0	1.0
14.0	3.0
15.0	2.0
17.0	1.0
19.0	99.0
20.0	48.0
21.0	4.0
22.0	15.0
24.0	17.0
25.0	1.0
26.0	2.0
27.0	5.0
28.0	5.0
29.0	4.0
30.0	2.0
31.0	5.0
32.0	4.0
33.0	5.0
34.0	9.0
35.0	17.0
36.0	21.0
37.0	2.0
38.0	8.0
39.0	10.0
40.0	15.0
41.0	8.0
42.0	13.0
43.0	16.0
44.0	27.0
45.0	23.0
46.0	28.0
47.0	17.0
48.0	15.0
49.0	10.0
50.0	27.0
51.0	22.0
52.0	20.0
53.0	16.0
54.0	29.0
55.0	32.0
56.0	11.0
57.0	20.0
58.0	21.0
59.0	18.0
60.0	9.0
61.0	15.0
62.0	28.0
63.0	23.0
64.0	23.0
65.0	28.0
66.0	20.0
67.0	13.0
68.0	10.0
69.0	11.0
70.0	17.0
71.0	21.0
72.0	22.0
73.0	48.0
74.0	31.0
75.0	31.0
76.0	24.0
77.0	39.0
78.0	15.0
79.0	16.0
80.0	22.0
81.0	15.0
82.0	31.0
83.0	44.0
84.0	80.0
85.0	22.0
86.0	31.0
87.0	26.0
88.0	17.0
89.0	28.0
90.0	25.0
91.0	28.0
92.0	26.0
93.0	33.0
94.0	45.0
95.0	29.0
96.0	35.0
97.0	37.0
98.0	23.0
99.0	28.0
100.0	22.0
101.0	26.0
102.0	19.0
103.0	52.0
104.0	34.0
105.0	47.0
106.0	37.0
107.0	28.0
108.0	34.0
109.0	25.0
110.0	29.0
111.0	42.0
112.0	34.0
113.0	38.0
114.0	35.0
115.0	47.0
116.0	42.0
117.0	50.0
118.0	39.0
119.0	35.0
120.0	37.0
121.0	39.0
122.0	34.0
123.0	58.0
124.0	42.0
125.0	41.0
126.0	55.0
127.0	44.0
128.0	49.0
129.0	41.0
130.0	48.0
131.0	42.0
132.0	27.0
133.0	40.0
134.0	48.0
135.0	47.0
136.0	64.0
137.0	57.0
138.0	51.0
139.0	55.0
140.0	48.0
141.0	51.0
142.0	51.0
143.0	49.0
144.0	57.0
145.0	51.0
146.0	68.0
147.0	67.0
148.0	121.0
149.0	57.0
150.0	49.0
151.0	53.0
152.0	51.0
153.0	44.0
154.0	43.0
155.0	54.0
156.0	69.0
157.0	73.0
158.0	69.0
159.0	67.0
160.0	91.0
161.0	53.0
162.0	45.0
163.0	66.0
164.0	56.0
165.0	45.0
166.0	67.0
167.0	54.0
168.0	72.0
169.0	50.0
170.0	67.0
171.0	68.0
172.0	64.0
173.0	60.0
174.0	77.0
175.0	50.0
176.0	62.0
177.0	79.0
178.0	100.0
179.0	99.0
180.0	78.0
181.0	57.0
182.0	51.0
183.0	71.0
184.0	97.0
185.0	74.0
186.0	86.0
187.0	62.0
188.0	76.0
189.0	89.0
190.0	101.0
191.0	71.0
192.0	60.0
193.0	70.0
194.0	65.0
195.0	62.0
196.0	75.0
197.0	96.0
198.0	108.0
199.0	80.0
200.0	102.0
201.0	102.0
202.0	85.0
203.0	93.0
204.0	76.0
205.0	77.0
206.0	73.0
207.0	117.0
208.0	100.0
209.0	116.0
210.0	135.0
211.0	89.0
212.0	89.0
213.0	139.0
214.0	92.0
215.0	116.0
216.0	108.0
217.0	114.0
218.0	111.0
219.0	106.0
220.0	128.0
221.0	122.0
222.0	101.0
223.0	91.0
224.0	83.0
225.0	96.0
226.0	94.0
227.0	129.0
228.0	115.0
229.0	117.0
230.0	117.0
231.0	128.0
232.0	129.0
233.0	122.0
234.0	97.0
235.0	112.0
236.0	103.0
237.0	80.0
238.0	127.0
239.0	131.0
240.0	119.0
241.0	129.0
242.0	122.0
243.0	120.0
244.0	133.0
245.0	129.0
246.0	130.0
247.0	125.0
248.0	134.0
249.0	161.0
