#Mapping quality	mapping quality
1.0	1.0
8.0	28.0
9.0	158.0
10.0	306.0
11.0	315.0
12.0	256.0
13.0	164.0
14.0	166.0
15.0	228.0
16.0	182.0
17.0	131.0
18.0	123.0
19.0	161.0
20.0	189.0
21.0	153.0
22.0	212.0
23.0	181.0
24.0	165.0
25.0	136.0
26.0	106.0
27.0	98.0
28.0	99.0
29.0	21.0
30.0	54.0
31.0	14.0
32.0	33.0
33.0	27.0
34.0	58.0
35.0	75.0
36.0	107.0
37.0	204.0
38.0	280.0
39.0	820.0
40.0	254.0
41.0	22.0
42.0	57.0
43.0	55.0
44.0	66.0
45.0	35.0
46.0	47.0
47.0	77.0
48.0	48.0
49.0	61.0
50.0	55.0
51.0	68.0
52.0	109.0
53.0	94.0
54.0	151.0
55.0	222.0
56.0	280.0
57.0	389.0
58.0	642.0
59.0	12671.0
60.0	53980.0
