#Coverage	Number of genomic locations
0.0	201.0
1.0	129.0
2.0	174.0
3.0	89.0
4.0	58.0
5.0	60.0
6.0	91.0
7.0	45.0
8.0	68.0
9.0	125.0
10.0	75.0
11.0	39.0
12.0	58.0
13.0	46.0
14.0	38.0
15.0	29.0
16.0	41.0
17.0	44.0
18.0	32.0
19.0	53.0
20.0	32.0
21.0	48.0
22.0	38.0
23.0	47.0
24.0	55.0
25.0	36.0
26.0	26.0
27.0	19.0
28.0	13.0
29.0	25.0
30.0	18.0
31.0	20.0
32.0	32.0
33.0	14.0
34.0	18.0
35.0	23.0
36.0	32.0
37.0	16.0
38.0	25.0
39.0	23.0
40.0	9.0
41.0	20.0
42.0	21.0
43.0	16.0
44.0	19.0
45.0	21.0
46.0	15.0
47.0	28.0
48.0	21.0
49.0	20.0
50.0	15.0
51.0	28.0
52.0	15.0
53.0	13.0
54.0	11.0
55.0	32.0
56.0	27.0
57.0	19.0
58.0	29.0
59.0	21.0
60.0	30.0
61.0	49.0
62.0	11.0
63.0	19.0
64.0	19.0
65.0	20.0
66.0	23.0
67.0	26.0
68.0	37.0
69.0	34.0
70.0	30.0
71.0	26.0
72.0	31.0
73.0	27.0
74.0	16.0
75.0	39.0
76.0	24.0
77.0	17.0
78.0	20.0
79.0	38.0
80.0	27.0
81.0	30.0
82.0	29.0
83.0	28.0
84.0	27.0
85.0	28.0
86.0	25.0
87.0	35.0
88.0	28.0
89.0	31.0
90.0	31.0
91.0	42.0
92.0	53.0
93.0	22.0
94.0	30.0
95.0	27.0
96.0	45.0
97.0	39.0
98.0	41.0
99.0	28.0
100.0	48.0
101.0	37.0
102.0	49.0
103.0	42.0
104.0	39.0
105.0	36.0
106.0	27.0
107.0	29.0
108.0	24.0
109.0	38.0
110.0	34.0
111.0	29.0
112.0	27.0
113.0	34.0
114.0	54.0
115.0	38.0
116.0	39.0
117.0	28.0
118.0	32.0
119.0	30.0
120.0	29.0
121.0	31.0
122.0	25.0
123.0	28.0
124.0	38.0
125.0	35.0
126.0	42.0
127.0	27.0
128.0	34.0
129.0	27.0
130.0	19.0
131.0	30.0
132.0	20.0
133.0	23.0
134.0	19.0
135.0	17.0
136.0	13.0
137.0	13.0
138.0	24.0
139.0	34.0
140.0	31.0
141.0	41.0
142.0	26.0
143.0	43.0
144.0	42.0
145.0	34.0
146.0	24.0
147.0	42.0
148.0	28.0
149.0	49.0
150.0	44.0
151.0	46.0
152.0	46.0
153.0	54.0
154.0	67.0
155.0	63.0
156.0	82.0
157.0	77.0
158.0	54.0
159.0	54.0
160.0	56.0
161.0	65.0
162.0	76.0
163.0	96.0
164.0	106.0
165.0	127.0
166.0	97.0
167.0	112.0
168.0	114.0
169.0	142.0
170.0	149.0
171.0	192.0
172.0	204.0
173.0	214.0
174.0	190.0
175.0	238.0
176.0	221.0
177.0	232.0
178.0	261.0
179.0	272.0
180.0	312.0
181.0	353.0
182.0	366.0
183.0	424.0
184.0	410.0
185.0	461.0
186.0	457.0
187.0	467.0
188.0	468.0
189.0	525.0
190.0	536.0
191.0	476.0
192.0	569.0
193.0	606.0
194.0	609.0
195.0	629.0
196.0	634.0
197.0	690.0
198.0	713.0
199.0	702.0
200.0	721.0
201.0	726.0
202.0	709.0
203.0	764.0
204.0	819.0
205.0	815.0
206.0	863.0
207.0	915.0
208.0	815.0
209.0	765.0
210.0	905.0
211.0	944.0
212.0	981.0
213.0	998.0
214.0	998.0
215.0	922.0
216.0	1005.0
217.0	972.0
218.0	967.0
219.0	1004.0
220.0	980.0
221.0	956.0
222.0	857.0
223.0	921.0
224.0	888.0
225.0	950.0
226.0	888.0
227.0	922.0
228.0	909.0
229.0	898.0
230.0	852.0
231.0	833.0
232.0	791.0
233.0	739.0
234.0	638.0
235.0	644.0
236.0	630.0
237.0	584.0
238.0	581.0
239.0	534.0
240.0	498.0
241.0	536.0
242.0	470.0
243.0	497.0
244.0	440.0
245.0	435.0
246.0	428.0
247.0	393.0
248.0	381.0
249.0	383.0
250.0	373.0
251.0	395.0
252.0	364.0
253.0	400.0
254.0	355.0
255.0	378.0
256.0	319.0
257.0	336.0
258.0	329.0
259.0	281.0
260.0	291.0
261.0	295.0
262.0	254.0
263.0	212.0
264.0	250.0
265.0	235.0
266.0	203.0
267.0	183.0
268.0	163.0
269.0	154.0
270.0	128.0
271.0	109.0
272.0	130.0
273.0	81.0
274.0	92.0
275.0	89.0
276.0	92.0
277.0	102.0
278.0	96.0
279.0	100.0
280.0	74.0
281.0	67.0
282.0	60.0
283.0	93.0
284.0	81.0
285.0	62.0
286.0	52.0
287.0	61.0
288.0	42.0
289.0	34.0
290.0	27.0
291.0	36.0
292.0	28.0
293.0	28.0
294.0	29.0
295.0	11.0
296.0	19.0
297.0	20.0
298.0	17.0
299.0	12.0
300.0	17.0
301.0	12.0
302.0	9.0
303.0	16.0
304.0	18.0
305.0	20.0
306.0	17.0
307.0	27.0
308.0	21.0
309.0	24.0
310.0	32.0
311.0	30.0
312.0	29.0
313.0	31.0
314.0	19.0
315.0	30.0
316.0	33.0
317.0	36.0
318.0	34.0
319.0	30.0
320.0	52.0
321.0	42.0
322.0	54.0
323.0	48.0
324.0	55.0
325.0	47.0
326.0	44.0
327.0	47.0
328.0	40.0
329.0	53.0
330.0	43.0
331.0	53.0
332.0	48.0
333.0	50.0
334.0	53.0
335.0	47.0
336.0	46.0
337.0	33.0
338.0	51.0
339.0	52.0
340.0	42.0
341.0	40.0
342.0	56.0
343.0	48.0
344.0	43.0
345.0	54.0
346.0	52.0
347.0	39.0
348.0	32.0
349.0	40.0
350.0	34.0
351.0	32.0
352.0	35.0
353.0	37.0
354.0	40.0
355.0	46.0
356.0	45.0
357.0	35.0
358.0	32.0
359.0	44.0
360.0	46.0
361.0	34.0
362.0	42.0
363.0	40.0
364.0	50.0
365.0	50.0
366.0	46.0
367.0	49.0
368.0	44.0
369.0	45.0
370.0	27.0
371.0	38.0
372.0	52.0
373.0	40.0
374.0	43.0
375.0	49.0
376.0	47.0
377.0	54.0
378.0	75.0
379.0	59.0
380.0	54.0
381.0	57.0
382.0	68.0
383.0	66.0
384.0	59.0
385.0	71.0
386.0	60.0
387.0	60.0
388.0	71.0
389.0	68.0
390.0	81.0
391.0	79.0
392.0	54.0
393.0	65.0
394.0	44.0
395.0	57.0
396.0	68.0
397.0	49.0
398.0	60.0
399.0	61.0
400.0	54.0
401.0	60.0
402.0	59.0
403.0	59.0
404.0	61.0
405.0	66.0
406.0	63.0
407.0	65.0
408.0	39.0
409.0	48.0
