#Insert size (bp)	insert size
19.0	245.0
20.0	47.0
21.0	54.0
22.0	27.0
23.0	3.0
24.0	4.0
25.0	3.0
26.0	3.0
27.0	13.0
28.0	26.0
29.0	29.0
30.0	44.0
31.0	44.0
32.0	61.0
33.0	105.0
34.0	96.0
35.0	135.0
36.0	94.0
37.0	76.0
38.0	69.0
39.0	95.0
40.0	117.0
41.0	169.0
42.0	224.0
43.0	273.0
44.0	323.0
45.0	284.0
46.0	160.0
47.0	123.0
48.0	106.0
49.0	135.0
50.0	187.0
51.0	241.0
52.0	259.0
53.0	257.0
54.0	334.0
55.0	301.0
56.0	250.0
57.0	162.0
58.0	135.0
59.0	155.0
60.0	228.0
61.0	261.0
62.0	329.0
63.0	348.0
64.0	344.0
65.0	351.0
66.0	294.0
67.0	221.0
68.0	206.0
69.0	177.0
70.0	232.0
71.0	281.0
72.0	355.0
73.0	354.0
74.0	413.0
75.0	423.0
76.0	362.0
77.0	322.0
78.0	206.0
79.0	193.0
80.0	233.0
81.0	280.0
82.0	335.0
83.0	370.0
84.0	426.0
85.0	456.0
86.0	434.0
87.0	347.0
88.0	273.0
89.0	231.0
90.0	233.0
91.0	297.0
92.0	341.0
93.0	448.0
94.0	463.0
95.0	506.0
96.0	503.0
97.0	426.0
98.0	367.0
99.0	284.0
100.0	235.0
101.0	303.0
102.0	358.0
103.0	397.0
104.0	517.0
105.0	547.0
106.0	588.0
107.0	503.0
108.0	449.0
109.0	348.0
110.0	359.0
111.0	353.0
112.0	341.0
113.0	446.0
114.0	560.0
115.0	583.0
116.0	597.0
117.0	579.0
118.0	533.0
119.0	435.0
120.0	370.0
121.0	363.0
122.0	380.0
123.0	398.0
124.0	556.0
125.0	639.0
126.0	669.0
127.0	645.0
128.0	589.0
129.0	557.0
130.0	476.0
131.0	436.0
132.0	467.0
133.0	539.0
134.0	535.0
135.0	696.0
136.0	716.0
137.0	639.0
138.0	691.0
139.0	616.0
140.0	537.0
141.0	527.0
142.0	484.0
143.0	515.0
144.0	582.0
145.0	711.0
146.0	786.0
147.0	847.0
148.0	813.0
149.0	790.0
150.0	651.0
151.0	562.0
152.0	565.0
153.0	580.0
154.0	666.0
155.0	762.0
156.0	808.0
157.0	923.0
158.0	904.0
159.0	808.0
160.0	791.0
161.0	683.0
162.0	641.0
163.0	683.0
164.0	657.0
165.0	794.0
166.0	919.0
167.0	940.0
168.0	1028.0
169.0	999.0
170.0	928.0
171.0	848.0
172.0	809.0
173.0	777.0
174.0	724.0
175.0	855.0
176.0	939.0
177.0	1024.0
178.0	1095.0
