seq_name	chromosome_score	plasmid_score	virus_score
JAJIWD010000010.1	0.4839	0.5114	0.0048
JAJIWD010000011.1	0.0091	0.9705	0.0204
JAJIWD010000012.1	0.4232	0.5619	0.0149
JAJIWD010000013.1	0.4422	0.5181	0.0397
JAJIWD010000014.1	0.3677	0.6197	0.0127
JAJIWD010000015.1	0.5329	0.4468	0.0203
JAJIWD010000016.1	0.2305	0.3865	0.3830
JAJIWD010000017.1	0.4361	0.4906	0.0733
JAJIWD010000018.1	0.4687	0.4634	0.0679
JAJIWD010000001.1	0.0032	0.8727	0.1241
JAJIWD010000019.1	0.5399	0.4508	0.0093
JAJIWD010000020.1	0.5470	0.2768	0.1762
JAJIWD010000021.1	0.1469	0.7984	0.0547
JAJIWD010000022.1	0.3970	0.5784	0.0247
JAJIWD010000023.1	0.0353	0.9109	0.0537
JAJIWD010000024.1	0.2967	0.4306	0.2727
JAJIWD010000025.1	0.4125	0.3740	0.2135
JAJIWD010000026.1	0.0116	0.8317	0.1567
JAJIWD010000027.1	0.5724	0.3982	0.0294
JAJIWD010000028.1	0.5099	0.4564	0.0337
JAJIWD010000002.1	0.4381	0.5048	0.0572
JAJIWD010000029.1	0.3268	0.6528	0.0203
JAJIWD010000030.1	0.4863	0.4991	0.0147
JAJIWD010000031.1	0.5346	0.4449	0.0205
JAJIWD010000032.1	0.4356	0.5422	0.0222
JAJIWD010000033.1	0.5101	0.4646	0.0253
JAJIWD010000034.1	0.0870	0.8508	0.0622
JAJIWD010000035.1	0.4231	0.2109	0.3660
JAJIWD010000036.1	0.6345	0.3231	0.0424
JAJIWD010000037.1	0.0222	0.7965	0.1813
JAJIWD010000038.1	0.4761	0.5128	0.0111
JAJIWD010000003.1	0.4367	0.5499	0.0134
JAJIWD010000039.1	0.5367	0.4495	0.0137
JAJIWD010000040.1	0.3942	0.5601	0.0457
JAJIWD010000041.1	0.4929	0.4783	0.0288
JAJIWD010000042.1	0.1644	0.7494	0.0862
JAJIWD010000043.1	0.2850	0.6506	0.0644
JAJIWD010000044.1	0.2667	0.5673	0.1660
JAJIWD010000045.1	0.3992	0.5967	0.0042
JAJIWD010000046.1	0.4270	0.5473	0.0257
JAJIWD010000047.1	0.6273	0.2050	0.1677
JAJIWD010000048.1	0.4582	0.5146	0.0272
JAJIWD010000004.1	0.4441	0.3119	0.2440
JAJIWD010000049.1	0.3060	0.3013	0.3927
JAJIWD010000050.1	0.5640	0.4247	0.0113
JAJIWD010000051.1	0.4068	0.4678	0.1254
JAJIWD010000052.1	0.5237	0.4483	0.0280
JAJIWD010000053.1	0.0007	0.9379	0.0614
JAJIWD010000054.1	0.2954	0.3729	0.3317
JAJIWD010000055.1	0.2651	0.2364	0.4984
JAJIWD010000056.1	0.4255	0.5628	0.0117
JAJIWD010000057.1	0.3732	0.5641	0.0626
JAJIWD010000058.1	0.2250	0.5745	0.2006
JAJIWD010000005.1	0.0071	0.8293	0.1636
JAJIWD010000059.1	0.7914	0.1424	0.0663
JAJIWD010000060.1	0.5206	0.4675	0.0120
JAJIWD010000061.1	0.6402	0.1841	0.1757
JAJIWD010000062.1	0.3747	0.2243	0.4010
JAJIWD010000063.1	0.6379	0.1980	0.1641
JAJIWD010000064.1	0.4374	0.5077	0.0549
JAJIWD010000065.1	0.4748	0.5173	0.0079
JAJIWD010000066.1	0.3549	0.5962	0.0489
JAJIWD010000067.1	0.4578	0.5199	0.0222
JAJIWD010000068.1	0.0866	0.5937	0.3197
JAJIWD010000006.1	0.2218	0.5826	0.1956
JAJIWD010000069.1	0.0091	0.8510	0.1399
JAJIWD010000070.1	0.5389	0.4562	0.0049
JAJIWD010000071.1	0.6284	0.3664	0.0052
JAJIWD010000072.1	0.5509	0.3369	0.1122
JAJIWD010000073.1	0.3909	0.6079	0.0012
JAJIWD010000074.1	0.0002	0.8051	0.1947
JAJIWD010000075.1	0.4519	0.5138	0.0343
JAJIWD010000076.1	0.4107	0.3163	0.2730
JAJIWD010000077.1	0.5805	0.4089	0.0106
JAJIWD010000078.1	0.4537	0.5230	0.0233
JAJIWD010000007.1	0.5050	0.4713	0.0236
JAJIWD010000079.1	0.5271	0.4450	0.0279
JAJIWD010000080.1	0.4273	0.5679	0.0048
JAJIWD010000081.1	0.5120	0.4830	0.0049
JAJIWD010000082.1	0.7023	0.0826	0.2151
JAJIWD010000083.1	0.5625	0.4280	0.0095
JAJIWD010000084.1	0.5176	0.4622	0.0202
JAJIWD010000085.1	0.2524	0.5754	0.1722
JAJIWD010000086.1	0.5184	0.4018	0.0798
JAJIWD010000087.1	0.4728	0.4786	0.0486
JAJIWD010000088.1	0.3530	0.6417	0.0053
JAJIWD010000008.1	0.5156	0.4767	0.0077
JAJIWD010000089.1	0.1143	0.8278	0.0579
JAJIWD010000090.1	0.4253	0.5500	0.0246
JAJIWD010000091.1	0.0863	0.8141	0.0996
JAJIWD010000092.1	0.7778	0.2208	0.0014
JAJIWD010000093.1	0.3869	0.6052	0.0079
JAJIWD010000094.1	0.2595	0.2991	0.4414
JAJIWD010000095.1	0.5246	0.2982	0.1772
JAJIWD010000096.1	0.4053	0.5744	0.0203
JAJIWD010000097.1	0.4892	0.5019	0.0089
JAJIWD010000098.1	0.4622	0.2116	0.3261
JAJIWD010000009.1	0.5083	0.4550	0.0367
