seq_name	chromosome_score	plasmid_score	virus_score
JAJITJ010000097.1	0.5860	0.4136	0.0004
JAJITJ010000098.1	0.5906	0.3916	0.0177
JAJITJ010000099.1	0.4848	0.5073	0.0079
JAJITJ010000100.1	0.5157	0.2763	0.2079
JAJITJ010000101.1	0.1143	0.8278	0.0579
JAJITJ010000102.1	0.5212	0.4508	0.0280
JAJITJ010000103.1	0.4204	0.5767	0.0029
JAJITJ010000104.1	0.4009	0.3398	0.2593
JAJITJ010000105.1	0.4758	0.5061	0.0180
JAJITJ010000106.1	0.4791	0.3799	0.1411
JAJITJ010000009.1	0.4232	0.5619	0.0149
JAJITJ010000107.1	0.6331	0.2245	0.1424
JAJITJ010000108.1	0.7834	0.2152	0.0014
JAJITJ010000109.1	0.4376	0.4896	0.0727
JAJITJ010000110.1	0.1925	0.6197	0.1879
JAJITJ010000111.1	0.0928	0.7549	0.1523
JAJITJ010000112.1	0.3846	0.6095	0.0058
JAJITJ010000113.1	0.4051	0.5686	0.0263
JAJITJ010000114.1	0.2595	0.2991	0.4414
JAJITJ010000115.1	0.3423	0.6476	0.0102
JAJITJ010000010.1	0.4520	0.5105	0.0375
JAJITJ010000011.1	0.3819	0.6058	0.0122
JAJITJ010000012.1	0.5178	0.4602	0.0220
JAJITJ010000013.1	0.5572	0.4343	0.0085
JAJITJ010000014.1	0.4016	0.4347	0.1637
JAJITJ010000015.1	0.6323	0.3555	0.0122
JAJITJ010000016.1	0.1077	0.7854	0.1069
JAJITJ010000017.1	0.1367	0.4213	0.4420
JAJITJ010000018.1	0.4262	0.5079	0.0659
JAJITJ010000001.1	0.0032	0.8727	0.1241
JAJITJ010000019.1	0.6778	0.3177	0.0045
JAJITJ010000020.1	0.1469	0.7984	0.0547
JAJITJ010000021.1	0.3980	0.5773	0.0247
JAJITJ010000022.1	0.2967	0.4306	0.2727
JAJITJ010000023.1	0.4125	0.3740	0.2135
JAJITJ010000024.1	0.4702	0.5236	0.0062
JAJITJ010000025.1	0.3555	0.5559	0.0885
JAJITJ010000026.1	0.0116	0.8317	0.1567
JAJITJ010000027.1	0.5726	0.3980	0.0294
JAJITJ010000028.1	0.3302	0.6495	0.0202
JAJITJ010000002.1	0.4384	0.4450	0.1166
JAJITJ010000029.1	0.3329	0.6060	0.0611
JAJITJ010000030.1	0.5101	0.4646	0.0253
JAJITJ010000031.1	0.5334	0.4572	0.0094
JAJITJ010000032.1	0.0222	0.7965	0.1813
JAJITJ010000033.1	0.6105	0.3871	0.0024
JAJITJ010000034.1	0.3432	0.6399	0.0169
JAJITJ010000035.1	0.3407	0.6571	0.0023
JAJITJ010000036.1	0.4597	0.5250	0.0153
JAJITJ010000037.1	0.3305	0.6262	0.0432
JAJITJ010000038.1	0.5750	0.3308	0.0942
JAJITJ010000003.1	0.2721	0.4903	0.2376
JAJITJ010000039.1	0.2667	0.5673	0.1660
JAJITJ010000040.1	0.5434	0.4496	0.0071
JAJITJ010000041.1	0.3504	0.6351	0.0145
JAJITJ010000042.1	0.4111	0.5836	0.0053
JAJITJ010000043.1	0.4246	0.5518	0.0235
JAJITJ010000044.1	0.5618	0.4232	0.0151
JAJITJ010000045.1	0.6273	0.2050	0.1677
JAJITJ010000046.1	0.4557	0.5169	0.0274
JAJITJ010000047.1	0.4953	0.4828	0.0219
JAJITJ010000048.1	0.1161	0.5904	0.2934
JAJITJ010000004.1	0.0071	0.8321	0.1607
JAJITJ010000049.1	0.5891	0.3993	0.0116
JAJITJ010000050.1	0.4559	0.5331	0.0110
JAJITJ010000051.1	0.4068	0.4678	0.1254
JAJITJ010000052.1	0.2700	0.7200	0.0100
JAJITJ010000053.1	0.4932	0.4960	0.0108
JAJITJ010000054.1	0.5693	0.4145	0.0162
JAJITJ010000055.1	0.6700	0.2565	0.0735
JAJITJ010000056.1	0.5197	0.4501	0.0302
JAJITJ010000057.1	0.0006	0.9441	0.0553
JAJITJ010000058.1	0.4216	0.5684	0.0101
JAJITJ010000059.1	0.2250	0.5745	0.2006
JAJITJ010000060.1	0.7852	0.1411	0.0738
JAJITJ010000061.1	0.3747	0.2243	0.4010
JAJITJ010000062.1	0.5157	0.4541	0.0301
JAJITJ010000063.1	0.4361	0.5606	0.0033
JAJITJ010000064.1	0.4221	0.5236	0.0543
