seq_name	chromosome_score	plasmid_score	virus_score
JBHJCA010000001.1	0.4819	0.4896	0.0286
JBHJCA010000002.1	0.4366	0.5380	0.0254
JBHJCA010000003.1	0.4044	0.5740	0.0216
JBHJCA010000004.1	0.4993	0.4778	0.0229
JBHJCA010000005.1	0.4040	0.5828	0.0132
JBHJCA010000006.1	0.4757	0.5007	0.0236
JBHJCA010000007.1	0.4717	0.5101	0.0182
JBHJCA010000008.1	0.4969	0.4669	0.0363
JBHJCA010000009.1	0.4520	0.5118	0.0361
JBHJCA010000010.1	0.4676	0.5137	0.0188
JBHJCA010000011.1	0.5129	0.4624	0.0247
JBHJCA010000012.1	0.4026	0.5706	0.0268
JBHJCA010000013.1	0.4382	0.5232	0.0387
JBHJCA010000014.1	0.4709	0.5037	0.0254
JBHJCA010000015.1	0.5065	0.4558	0.0377
JBHJCA010000016.1	0.4498	0.5268	0.0234
JBHJCA010000017.1	0.4188	0.4951	0.0861
JBHJCA010000018.1	0.5266	0.4579	0.0155
JBHJCA010000019.1	0.5458	0.4285	0.0257
JBHJCA010000020.1	0.5229	0.4625	0.0146
JBHJCA010000021.1	0.4193	0.5673	0.0133
JBHJCA010000022.1	0.4183	0.5731	0.0087
JBHJCA010000023.1	0.4386	0.5193	0.0421
JBHJCA010000024.1	0.3429	0.6404	0.0167
JBHJCA010000025.1	0.6777	0.2960	0.0263
JBHJCA010000026.1	0.5405	0.4538	0.0057
JBHJCA010000027.1	0.3819	0.5874	0.0307
JBHJCA010000028.1	0.5414	0.4181	0.0405
JBHJCA010000029.1	0.4078	0.5803	0.0119
JBHJCA010000030.1	0.4249	0.5512	0.0240
JBHJCA010000031.1	0.3599	0.6325	0.0076
JBHJCA010000032.1	0.6265	0.3640	0.0095
JBHJCA010000033.1	0.4366	0.5340	0.0294
JBHJCA010000034.1	0.3222	0.6397	0.0381
JBHJCA010000035.1	0.6042	0.3762	0.0196
JBHJCA010000036.1	0.4554	0.5171	0.0275
JBHJCA010000037.1	0.0069	0.8296	0.1635
JBHJCA010000038.1	0.4895	0.4819	0.0286
JBHJCA010000039.1	0.5523	0.4361	0.0116
JBHJCA010000040.1	0.3166	0.4115	0.2719
JBHJCA010000041.1	0.4530	0.4955	0.0515
JBHJCA010000042.1	0.0015	0.8008	0.1976
JBHJCA010000043.1	0.0131	0.8896	0.0973
JBHJCA010000044.1	0.0841	0.7927	0.1232
JBHJCA010000045.1	0.0001	0.9452	0.0547
JBHJCA010000046.1	0.5285	0.3387	0.1328
JBHJCA010000047.1	0.0032	0.8178	0.1790
JBHJCA010000048.1	0.0004	0.9635	0.0361
JBHJCA010000049.1	0.1249	0.8452	0.0300
JBHJCA010000050.1	0.0033	0.7339	0.2628
JBHJCA010000051.1	0.1132	0.6738	0.2130
JBHJCA010000052.1	0.0687	0.5966	0.3347
JBHJCA010000053.1	0.5099	0.4721	0.0180
JBHJCA010000054.1	0.0000	0.9964	0.0036
JBHJCA010000055.1	0.0532	0.5420	0.4049
JBHJCA010000056.1	0.1791	0.2569	0.5640
JBHJCA010000057.1	0.0002	0.7840	0.2158
JBHJCA010000058.1	0.0079	0.2325	0.7596
JBHJCA010000059.1	0.0306	0.6602	0.3091
JBHJCA010000060.1	0.0102	0.6418	0.3479
JBHJCA010000061.1	0.0064	0.9769	0.0167
JBHJCA010000062.1	0.8902	0.1017	0.0082
JBHJCA010000063.1	0.3997	0.5895	0.0108
JBHJCA010000064.1	0.1085	0.8797	0.0118
JBHJCA010000065.1	0.0306	0.6442	0.3252
JBHJCA010000066.1	0.1295	0.7303	0.1402
JBHJCA010000067.1	0.3075	0.6261	0.0664
JBHJCA010000068.1	0.1117	0.7969	0.0914
JBHJCA010000069.1	0.5184	0.4082	0.0734
JBHJCA010000070.1	0.0079	0.9109	0.0812
JBHJCA010000071.1	0.5316	0.2533	0.2152
JBHJCA010000072.1	0.2955	0.6072	0.0973
JBHJCA010000073.1	0.2568	0.7130	0.0301
JBHJCA010000074.1	0.2931	0.6850	0.0219
JBHJCA010000075.1	0.6200	0.3380	0.0421
JBHJCA010000076.1	0.2090	0.7259	0.0651
JBHJCA010000077.1	0.2873	0.6012	0.1116
JBHJCA010000078.1	0.4098	0.5202	0.0700
JBHJCA010000079.1	0.4742	0.3320	0.1938
JBHJCA010000080.1	0.2758	0.4505	0.2737
JBHJCA010000081.1	0.3628	0.5014	0.1358
JBHJCA010000082.1	0.2944	0.2596	0.4460
JBHJCA010000083.1	0.3989	0.4204	0.1807
JBHJCA010000084.1	0.3669	0.3871	0.2459
JBHJCA010000085.1	0.6749	0.2844	0.0407
JBHJCA010000086.1	0.2540	0.6176	0.1284
JBHJCA010000087.1	0.4022	0.4782	0.1195
JBHJCA010000088.1	0.5529	0.3516	0.0955
JBHJCA010000089.1	0.2442	0.2962	0.4596
JBHJCA010000090.1	0.3416	0.4236	0.2348
JBHJCA010000091.1	0.2344	0.3607	0.4049
JBHJCA010000092.1	0.2874	0.5174	0.1952
JBHJCA010000093.1	0.2082	0.3984	0.3934
JBHJCA010000094.1	0.3880	0.3242	0.2878
JBHJCA010000095.1	0.8567	0.0891	0.0543
JBHJCA010000096.1	0.5178	0.2673	0.2149
JBHJCA010000097.1	0.2483	0.5714	0.1803
JBHJCA010000098.1	0.4114	0.4529	0.1357
JBHJCA010000099.1	0.3885	0.3153	0.2962
JBHJCA010000100.1	0.4313	0.3507	0.2180
JBHJCA010000101.1	0.3626	0.2492	0.3883
JBHJCA010000102.1	0.4062	0.3756	0.2182
JBHJCA010000103.1	0.4517	0.2850	0.2633
JBHJCA010000104.1	0.3790	0.1815	0.4395
JBHJCA010000105.1	0.2953	0.3294	0.3753
JBHJCA010000106.1	0.6674	0.2133	0.1194
JBHJCA010000107.1	0.3436	0.3355	0.3209
JBHJCA010000108.1	0.4368	0.3381	0.2251
JBHJCA010000109.1	0.5431	0.1229	0.3340
JBHJCA010000110.1	0.4184	0.0825	0.4991
JBHJCA010000111.1	0.4197	0.2905	0.2898
JBHJCA010000112.1	0.4646	0.1058	0.4296
JBHJCA010000113.1	0.5891	0.1978	0.2131
JBHJCA010000114.1	0.1572	0.1609	0.6820
JBHJCA010000115.1	0.1840	0.2021	0.6139
JBHJCA010000116.1	0.3733	0.0843	0.5424
JBHJCA010000117.1	0.4110	0.1908	0.3983
JBHJCA010000118.1	0.5455	0.2279	0.2265
JBHJCA010000119.1	0.4849	0.2173	0.2978
JBHJCA010000120.1	0.1915	0.2321	0.5764
JBHJCA010000121.1	0.2406	0.1343	0.6251
JBHJCA010000122.1	0.2042	0.1061	0.6897
JBHJCA010000123.1	0.1704	0.2718	0.5578
JBHJCA010000124.1	0.5191	0.1244	0.3565
JBHJCA010000125.1	0.2570	0.1148	0.6282
JBHJCA010000126.1	0.3744	0.1128	0.5128
JBHJCA010000127.1	0.3493	0.1918	0.4589
JBHJCA010000128.1	0.3747	0.0851	0.5402
JBHJCA010000129.1	0.3785	0.1747	0.4468
JBHJCA010000130.1	0.4667	0.1802	0.3531
JBHJCA010000131.1	0.3094	0.0848	0.6058
JBHJCA010000132.1	0.2897	0.1211	0.5892
