gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
JAWUDW010000029.1|provirus_2_17695_1	2	91	90	-1	0.656	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
JAWUDW010000029.1|provirus_2_17695_2	169	912	744	1	0.578	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
JAWUDW010000029.1|provirus_2_17695_3	2667	2882	216	1	0.611	11	GGAGG	GENOMAD.096365.VV	3.199e-18	79	0	0	0	2773	Inoviridae	NA	NA	NA	NA
JAWUDW010000029.1|provirus_2_17695_4	2879	3052	174	1	0.546	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
JAWUDW010000029.1|provirus_2_17695_5	3045	3221	177	1	0.565	11	AGxAGG/AGGxGG	GENOMAD.185254.VV	3.756e-18	78	0	0	0	1	NA	NA	NA	NA	NA
JAWUDW010000029.1|provirus_2_17695_6	3175	4254	1080	1	0.578	11	None	GENOMAD.222675.VP	1.814e-232	713	0	0	0	2773	Inoviridae	NA	NA	NA	NA
JAWUDW010000029.1|provirus_2_17695_7	4251	4547	297	1	0.566	11	GGA/GAG/AGG	GENOMAD.222243.VP	5.055e-49	169	0	0	1	2773	Inoviridae	NA	NA	PF02303	Helix-destabilising protein
JAWUDW010000029.1|provirus_2_17695_8	4551	4802	252	1	0.639	11	GGA/GAG/AGG	GENOMAD.148914.VV	4.547e-20	85	0	0	1	1	NA	NA	NA	PF17091	Inovirus G7P protein
JAWUDW010000029.1|provirus_2_17695_9	4830	4958	129	1	0.581	11	AGGAG	GENOMAD.112093.VV	2.595e-14	66	0	0	0	1	NA	NA	NA	NA	NA
JAWUDW010000029.1|provirus_2_17695_10	5557	5841	285	1	0.635	11	None	GENOMAD.227990.VV	1.618e-27	107	0	0	0	1	NA	NA	NA	NA	NA
JAWUDW010000029.1|provirus_2_17695_11	5793	6074	282	1	0.571	11	GGAG/GAGG	GENOMAD.097192.VV	1.524e-12	64	0	0	0	2773	Inoviridae	NA	NA	NA	NA
JAWUDW010000029.1|provirus_2_17695_12	6209	6529	321	1	0.583	11	GGAG/GAGG	GENOMAD.214060.VP	4.995e-45	158	0	0	0	2773	Inoviridae	NA	NA	NA	NA
JAWUDW010000029.1|provirus_2_17695_13	6531	7853	1323	1	0.613	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
JAWUDW010000029.1|provirus_2_17695_14	7883	8275	393	1	0.583	11	GGAGG	GENOMAD.141606.VV	9.358e-50	173	0	0	0	16538	Coriovirus Cf1c	NA	NA	PF13511	NA
JAWUDW010000029.1|provirus_2_17695_15	8314	9105	792	-1	0.596	11	GGA/GAG/AGG	GENOMAD.212325.VP	5.964e-65	224	0	0	1	2773	Inoviridae	NA	NA	PF12375;PF12472	Phage protein; Phage related protein
JAWUDW010000029.1|provirus_2_17695_16	9472	9657	186	1	0.581	11	AGGAG	GENOMAD.173850.VV	1.559e-20	85	0	0	0	1	NA	NA	NA	NA	NA
JAWUDW010000029.1|provirus_2_17695_17	9654	9794	141	1	0.574	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
JAWUDW010000029.1|provirus_2_17695_18	9958	10503	546	1	0.575	11	AGGA/GGAG/GAGG	GENOMAD.225571.VP	9.639e-116	366	0	0	0	1	NA	NA	NA	PF23343	Replication-associated protein ORF2/G2P
JAWUDW010000029.1|provirus_2_17695_19	10834	11130	297	1	0.636	11	GGA/GAG/AGG	GENOMAD.156834.VV	2.269e-49	170	0	0	1	1	NA	NA	NA	PF02303	Helix-destabilising protein
JAWUDW010000029.1|provirus_2_17695_20	11134	11337	204	1	0.593	11	GGA/GAG/AGG	GENOMAD.209539.VP	8.779e-29	109	0	0	0	2773	Inoviridae	NA	NA	NA	NA
JAWUDW010000029.1|provirus_2_17695_21	11349	11579	231	1	0.645	11	AGGAG	GENOMAD.220643.VP	6.838e-28	107	0	0	1	2773	Inoviridae	NA	NA	PF05356	Inovirus Coat protein B
JAWUDW010000029.1|provirus_2_17695_22	11717	13162	1446	1	0.594	11	GGA/GAG/AGG	GENOMAD.083062.VV	1.605e-84	291	0	0	0	2773	Inoviridae	NA	NA	NA	NA
JAWUDW010000029.1|provirus_2_17695_23	13162	13491	330	1	0.561	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
JAWUDW010000029.1|provirus_2_17695_24	13491	14684	1194	1	0.614	11	GGAG/GAGG	GENOMAD.080742.VV	4.361e-95	318	0	0	1	18256	Scuticavirus SMA6	NA	NA	K10954	zona occludens toxin
JAWUDW010000029.1|provirus_2_17695_25	14686	15333	648	1	0.634	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
JAWUDW010000029.1|provirus_2_17695_26	15737	16582	846	-1	0.671	11	3Base/5BMM	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
JAWUDW010000029.1|provirus_2_17695_27	16670	17695	1026	1	0.659	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
