seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
JAJIUS010000035.1	2596	No terminal repeats	3	11	1.0000	NA	2	4.4475	T_virB5	NA
JAJIUS010000115.1	13735	No terminal repeats	15	11	1.0000	NA	3	11.4351	MOBH;T_virB6;B_traI	NA
JAJIUS010000029.1	32367	No terminal repeats	42	11	1.0000	NA	10	27.8806	virb4;T_virB5;T_virB6;T_virB9;T_virB10;T_virB1;t4cp2	NA
JAJIUS010000074.1	14865	No terminal repeats	13	11	1.0000	NA	1	4.1647	NA	NA
JAJIUS010000052.1	24009	No terminal repeats	29	11	1.0000	NA	1	14.8616	NA	NA
JAJIUS010000018.1	17297	No terminal repeats	20	11	1.0000	NA	1	5.3424	NA	NF012171
JAJIUS010000001.1	13948	No terminal repeats	14	11	1.0000	NA	3	8.9774	MOBP1;I_traY	NA
JAJIUS010000053.1	47995	No terminal repeats	49	11	1.0000	NA	17	31.9994	MOBH;G_tfc19;G_tfc18;G_tfc22;G_tfc23;G_tfc24;virb4;G_tfc15;G_tfc14;G_tfc13;G_tfc12;G_tfc11;G_tfc10;G_tfc9;G_tfc8;G_tfc7;t4cp1;G_tfc5;T_virB1;G_tfc3;G_tfc2	NF033134
JAJIUS010000049.1	7927	No terminal repeats	10	11	0.9999	NA	1	8.5656	NA	NA
JAJIUS010000044.1	15635	No terminal repeats	19	11	0.9999	NA	3	7.5692	I_traV	NA
JAJIUS010000071.1	12158	No terminal repeats	10	11	0.9999	NA	0	4.9816	NA	NA
JAJIUS010000039.1	85068	No terminal repeats	83	11	0.9999	NA	9	23.3515	T_virB10;T_virB9;T_virB8;T_virB6;T_virB5;T_virB3;T_virB2	NF000272
JAJIUS010000068.1	54977	No terminal repeats	60	11	0.9998	NA	6	19.0417	I_traK;I_traI;I_traM;I_traN;traU	NA
JAJIUS010000108.1	4193	No terminal repeats	3	11	0.9998	NA	0	3.4366	NA	NA
JAJIUS010000060.1	40795	No terminal repeats	31	11	0.9998	NA	0	6.3270	NA	NA
JAJIUS010000059.1	5210	No terminal repeats	6	11	0.9997	NA	0	1.3688	NA	NA
JAJIUS010000113.1	69091	No terminal repeats	76	11	0.9997	NA	3	13.6305	I_trbA;I_traW;I_traY	NA
JAJIUS010000031.1	7823	No terminal repeats	8	11	0.9996	NA	2	5.1548	T_virB6;T_virB6	NA
JAJIUS010000057.1	82368	No terminal repeats	79	11	0.9993	NA	1	1.2165	NA	NA
JAJIUS010000087.1	62483	No terminal repeats	61	11	0.9992	NA	0	0.6677	NA	NA
JAJIUS010000063.1	12630	No terminal repeats	12	11	0.9991	NA	0	0.6240	NA	NA
JAJIUS010000114.1	14415	No terminal repeats	14	11	0.9988	NA	5	7.5758	virb4;T_virB3;T_virB2;T_virB9;T_virB8	NA
JAJIUS010000117.1	21910	No terminal repeats	19	11	0.9964	NA	1	0.8364	NA	NA
JAJIUS010000006.1	15261	No terminal repeats	14	11	0.9940	NA	0	0.3959	NA	NA
JAJIUS010000014.1	14779	No terminal repeats	17	11	0.9625	NA	0	0.5447	NA	NA
