Genome	Gaps	Linear Coverage
66b	446	1.000
DC99P1A1_contig	15282	0.997
DC99P1B1_contig	14921	0.997
REPEATS	94955	0.982
Tu_10_contig	160698	0.970
VTM10_contig	160982	0.970
VTM12_contig	159924	0.970
VTM15_contig	160973	0.970
VTM16_contig	158394	0.970
VTM4_contig	166121	0.969
X13_contig	18798	0.996
X22_contig	172114	0.968
X31_contig	180881	0.966
Xcv_DC_96_3_contig	174934	0.967
Xcv_DC_96_5_contig	171615	0.968
Xcv_DC_97_P1A_contig	16792	0.997
