seq_name	chromosome_score	plasmid_score	virus_score
JTEJ01000001.1	0.5188	0.4751	0.0061
JTEJ01000010.1	0.6373	0.3548	0.0080
JTEJ01000100.1	0.4143	0.5840	0.0017
JTEJ01000101.1	0.6349	0.3610	0.0041
JTEJ01000102.1	0.5592	0.4367	0.0041
JTEJ01000103.1	0.5248	0.4521	0.0231
JTEJ01000104.1	0.4087	0.5850	0.0063
JTEJ01000105.1	0.4780	0.4511	0.0709
JTEJ01000106.1	0.2500	0.6365	0.1135
JTEJ01000107.1	0.3953	0.5996	0.0051
JTEJ01000108.1	0.4017	0.5857	0.0126
JTEJ01000109.1	0.3191	0.6763	0.0046
JTEJ01000011.1	0.4246	0.5690	0.0064
JTEJ01000110.1	0.4748	0.4008	0.1244
JTEJ01000111.1	0.4699	0.4260	0.1041
JTEJ01000112.1	0.4601	0.5379	0.0020
JTEJ01000113.1	0.4223	0.5726	0.0050
JTEJ01000114.1	0.4262	0.5666	0.0072
JTEJ01000115.1	0.3277	0.5994	0.0729
JTEJ01000116.1	0.5814	0.4171	0.0015
JTEJ01000117.1	0.6406	0.3571	0.0023
JTEJ01000118.1	0.3385	0.4448	0.2167
JTEJ01000119.1	0.1871	0.6610	0.1520
JTEJ01000012.1	0.4046	0.5843	0.0111
JTEJ01000120.1	0.5129	0.4857	0.0014
JTEJ01000121.1	0.4846	0.5123	0.0031
JTEJ01000122.1	0.5465	0.4477	0.0058
JTEJ01000123.1	0.3074	0.6884	0.0042
JTEJ01000124.1	0.0054	0.8464	0.1482
JTEJ01000125.1	0.3103	0.6854	0.0043
JTEJ01000126.1	0.5395	0.4556	0.0049
JTEJ01000127.1	0.5672	0.4258	0.0070
JTEJ01000128.1	0.3327	0.6640	0.0033
JTEJ01000129.1	0.5499	0.4325	0.0175
JTEJ01000013.1	0.4752	0.5165	0.0083
JTEJ01000130.1	0.6416	0.3583	0.0001
JTEJ01000131.1	0.3332	0.6445	0.0223
JTEJ01000132.1	0.4550	0.5329	0.0121
JTEJ01000133.1	0.5914	0.3939	0.0147
JTEJ01000134.1	0.3630	0.6027	0.0343
JTEJ01000135.1	0.1751	0.7854	0.0394
JTEJ01000136.1	0.6621	0.3351	0.0029
JTEJ01000137.1	0.5781	0.4201	0.0018
JTEJ01000138.1	0.3829	0.5923	0.0248
JTEJ01000139.1	0.4255	0.5358	0.0387
JTEJ01000014.1	0.4612	0.5361	0.0027
