seq_name	chromosome_score	plasmid_score	virus_score
JAJIVS010000010.1	0.8350	0.1577	0.0073
JAJIVS010000011.1	0.9856	0.0127	0.0017
JAJIVS010000012.1	0.8603	0.1296	0.0102
JAJIVS010000013.1	0.9316	0.0639	0.0045
JAJIVS010000014.1	0.0000	0.9999	0.0000
JAJIVS010000015.1	0.2008	0.7713	0.0279
JAJIVS010000016.1	0.9748	0.0197	0.0055
JAJIVS010000017.1	0.0002	0.9996	0.0002
JAJIVS010000018.1	0.0297	0.9627	0.0076
JAJIVS010000019.1	0.9223	0.0749	0.0028
JAJIVS010000001.1	0.9825	0.0158	0.0017
JAJIVS010000020.1	0.9479	0.0483	0.0038
JAJIVS010000021.1	0.9711	0.0245	0.0043
JAJIVS010000022.1	0.0000	1.0000	0.0000
JAJIVS010000023.1	0.9530	0.0433	0.0038
JAJIVS010000024.1	0.9390	0.0574	0.0036
JAJIVS010000025.1	0.9503	0.0458	0.0038
JAJIVS010000026.1	0.9759	0.0222	0.0019
JAJIVS010000027.1	0.0095	0.9529	0.0377
JAJIVS010000028.1	0.9720	0.0255	0.0025
JAJIVS010000029.1	0.8949	0.0984	0.0067
JAJIVS010000002.1	0.2323	0.7587	0.0090
JAJIVS010000030.1	0.9801	0.0176	0.0023
JAJIVS010000031.1	0.0034	0.9947	0.0019
JAJIVS010000032.1	0.0000	0.9999	0.0001
JAJIVS010000033.1	0.3662	0.0231	0.6107
JAJIVS010000034.1	0.9046	0.0899	0.0055
JAJIVS010000035.1	0.9614	0.0359	0.0027
JAJIVS010000036.1	0.9639	0.0334	0.0027
JAJIVS010000037.1	0.0001	0.9998	0.0001
JAJIVS010000038.1	0.9674	0.0302	0.0024
JAJIVS010000039.1	0.9671	0.0305	0.0024
JAJIVS010000003.1	0.9063	0.0887	0.0050
JAJIVS010000040.1	0.9548	0.0420	0.0031
JAJIVS010000041.1	0.9833	0.0152	0.0015
JAJIVS010000042.1	0.9826	0.0157	0.0016
JAJIVS010000043.1	0.9802	0.0178	0.0020
JAJIVS010000044.1	0.6953	0.3001	0.0046
JAJIVS010000045.1	0.9270	0.0678	0.0052
JAJIVS010000046.1	0.9654	0.0317	0.0029
JAJIVS010000047.1	0.9532	0.0435	0.0033
JAJIVS010000048.1	0.0965	0.9001	0.0034
JAJIVS010000049.1	0.9732	0.0247	0.0021
JAJIVS010000004.1	0.9365	0.0582	0.0054
JAJIVS010000050.1	0.9815	0.0167	0.0018
JAJIVS010000051.1	0.2988	0.4519	0.2493
JAJIVS010000052.1	0.9616	0.0356	0.0028
JAJIVS010000053.1	0.9741	0.0235	0.0023
JAJIVS010000054.1	0.4310	0.4737	0.0953
JAJIVS010000055.1	0.0000	0.9999	0.0001
JAJIVS010000056.1	0.9964	0.0030	0.0006
JAJIVS010000057.1	0.0000	1.0000	0.0000
JAJIVS010000058.1	0.9929	0.0061	0.0010
JAJIVS010000059.1	0.1324	0.8464	0.0213
JAJIVS010000005.1	0.9728	0.0248	0.0024
JAJIVS010000060.1	0.9409	0.0542	0.0049
JAJIVS010000061.1	0.7974	0.1254	0.0771
JAJIVS010000062.1	0.8595	0.0556	0.0849
JAJIVS010000063.1	0.1949	0.7973	0.0079
JAJIVS010000064.1	0.9983	0.0013	0.0004
JAJIVS010000065.1	0.9602	0.0371	0.0027
JAJIVS010000066.1	0.0007	0.0075	0.9918
JAJIVS010000067.1	0.1925	0.6995	0.1081
JAJIVS010000068.1	0.9455	0.0508	0.0037
JAJIVS010000069.1	0.9896	0.0093	0.0010
JAJIVS010000006.1	0.9384	0.0588	0.0028
JAJIVS010000070.1	0.9341	0.0627	0.0032
JAJIVS010000071.1	0.9422	0.0528	0.0050
JAJIVS010000072.1	0.0000	1.0000	0.0000
JAJIVS010000073.1	0.6683	0.2546	0.0770
JAJIVS010000074.1	0.9061	0.0872	0.0067
JAJIVS010000075.1	0.9573	0.0397	0.0030
JAJIVS010000076.1	0.9273	0.0678	0.0049
JAJIVS010000077.1	0.9798	0.0185	0.0017
JAJIVS010000078.1	0.9789	0.0193	0.0017
JAJIVS010000079.1	0.9648	0.0325	0.0027
JAJIVS010000007.1	0.8447	0.1404	0.0149
JAJIVS010000080.1	0.9331	0.0623	0.0046
JAJIVS010000081.1	0.8331	0.0609	0.1060
JAJIVS010000082.1	0.2651	0.7204	0.0145
JAJIVS010000083.1	0.1801	0.8090	0.0109
JAJIVS010000084.1	0.7322	0.2471	0.0208
JAJIVS010000085.1	0.0000	1.0000	0.0000
JAJIVS010000086.1	0.8969	0.0950	0.0082
JAJIVS010000087.1	0.9494	0.0474	0.0032
JAJIVS010000088.1	0.0806	0.9126	0.0068
JAJIVS010000089.1	0.2012	0.7902	0.0086
JAJIVS010000008.1	0.9121	0.0829	0.0050
JAJIVS010000090.1	0.9806	0.0173	0.0021
JAJIVS010000091.1	0.9995	0.0004	0.0001
JAJIVS010000092.1	0.0002	0.9997	0.0001
JAJIVS010000093.1	0.9985	0.0013	0.0002
JAJIVS010000094.1	0.0000	0.9999	0.0001
JAJIVS010000095.1	0.7929	0.1288	0.0782
JAJIVS010000096.1	0.9316	0.0646	0.0038
JAJIVS010000009.1	0.9685	0.0285	0.0030
