seq_name	chromosome_score	plasmid_score	virus_score
JBHJCG010000001.1	0.4512	0.5241	0.0247
JBHJCG010000002.1	0.4867	0.4860	0.0273
JBHJCG010000003.1	0.4088	0.5661	0.0251
JBHJCG010000004.1	0.4556	0.4986	0.0458
JBHJCG010000005.1	0.4274	0.5430	0.0296
JBHJCG010000006.1	0.4594	0.5232	0.0174
JBHJCG010000007.1	0.5060	0.4773	0.0167
JBHJCG010000008.1	0.4899	0.4881	0.0220
JBHJCG010000009.1	0.4491	0.5311	0.0198
JBHJCG010000010.1	0.4893	0.4760	0.0347
JBHJCG010000011.1	0.4876	0.4562	0.0562
JBHJCG010000012.1	0.5831	0.4028	0.0142
JBHJCG010000013.1	0.5249	0.4603	0.0148
JBHJCG010000014.1	0.5363	0.4542	0.0095
JBHJCG010000015.1	0.4065	0.5103	0.0832
JBHJCG010000016.1	0.5316	0.4626	0.0058
JBHJCG010000017.1	0.4226	0.5269	0.0506
JBHJCG010000018.1	0.3435	0.6466	0.0099
JBHJCG010000019.1	0.5727	0.4112	0.0160
JBHJCG010000020.1	0.5294	0.4652	0.0054
JBHJCG010000021.1	0.4234	0.5251	0.0515
JBHJCG010000022.1	0.3674	0.5164	0.1162
JBHJCG010000023.1	0.4673	0.5163	0.0164
JBHJCG010000024.1	0.3611	0.6068	0.0321
JBHJCG010000025.1	0.0187	0.9250	0.0563
JBHJCG010000026.1	0.3979	0.4804	0.1216
JBHJCG010000027.1	0.4749	0.5091	0.0160
JBHJCG010000028.1	0.1349	0.7762	0.0888
JBHJCG010000029.1	0.0115	0.8566	0.1319
JBHJCG010000030.1	0.4426	0.5349	0.0225
JBHJCG010000031.1	0.4294	0.5668	0.0038
JBHJCG010000032.1	0.0038	0.7319	0.2643
JBHJCG010000033.1	0.0772	0.7389	0.1839
JBHJCG010000034.1	0.1088	0.8535	0.0377
JBHJCG010000035.1	0.0264	0.5982	0.3754
JBHJCG010000036.1	0.7125	0.2505	0.0370
JBHJCG010000037.1	0.3930	0.5759	0.0311
