seq_name	chromosome_score	plasmid_score	virus_score
JAJIWH010000009.1	0.9998	0.0002	0.0000
JAJIWH010000010.1	0.9880	0.0120	0.0000
JAJIWH010000011.1	0.5786	0.4202	0.0013
JAJIWH010000012.1	0.9999	0.0001	0.0000
JAJIWH010000013.1	0.7291	0.0977	0.1731
JAJIWH010000014.1	0.5368	0.2133	0.2499
JAJIWH010000015.1	0.7196	0.0335	0.2468
JAJIWH010000016.1	0.0001	0.9998	0.0000
JAJIWH010000017.1	1.0000	0.0000	0.0000
JAJIWH010000018.1	0.0067	0.9932	0.0000
JAJIWH010000001.1	0.0005	0.9995	0.0000
JAJIWH010000019.1	0.9997	0.0003	0.0000
JAJIWH010000020.1	1.0000	0.0000	0.0000
JAJIWH010000021.1	0.9999	0.0001	0.0000
JAJIWH010000022.1	0.9999	0.0001	0.0000
JAJIWH010000023.1	0.9957	0.0043	0.0000
JAJIWH010000024.1	0.9987	0.0013	0.0000
JAJIWH010000025.1	0.4504	0.0050	0.5445
JAJIWH010000026.1	0.9999	0.0001	0.0000
JAJIWH010000027.1	0.0005	0.9995	0.0000
JAJIWH010000002.1	0.0001	0.9999	0.0000
JAJIWH010000028.1	0.9999	0.0001	0.0000
JAJIWH010000029.1	0.9988	0.0012	0.0000
JAJIWH010000030.1	0.9995	0.0005	0.0000
JAJIWH010000031.1	0.8084	0.0679	0.1237
JAJIWH010000032.1	0.9999	0.0001	0.0000
JAJIWH010000033.1	0.9999	0.0001	0.0000
JAJIWH010000034.1	1.0000	0.0000	0.0000
JAJIWH010000035.1	0.0002	0.9997	0.0001
JAJIWH010000036.1	1.0000	0.0000	0.0000
JAJIWH010000037.1	0.0008	0.9991	0.0002
JAJIWH010000003.1	0.7202	0.0387	0.2411
JAJIWH010000038.1	0.6424	0.1171	0.2405
JAJIWH010000039.1	1.0000	0.0000	0.0000
JAJIWH010000040.1	0.0041	0.9959	0.0000
JAJIWH010000041.1	0.9819	0.0167	0.0014
JAJIWH010000042.1	0.9427	0.0245	0.0327
JAJIWH010000043.1	0.6345	0.0410	0.3245
JAJIWH010000044.1	1.0000	0.0000	0.0000
JAJIWH010000045.1	0.6331	0.1372	0.2297
JAJIWH010000046.1	0.9999	0.0000	0.0001
JAJIWH010000047.1	0.9998	0.0002	0.0000
JAJIWH010000004.1	0.0010	0.9990	0.0000
JAJIWH010000048.1	0.7501	0.2499	0.0000
JAJIWH010000049.1	0.8886	0.0561	0.0553
JAJIWH010000050.1	0.1714	0.8286	0.0000
JAJIWH010000051.1	0.9998	0.0002	0.0000
JAJIWH010000052.1	0.9773	0.0224	0.0004
JAJIWH010000053.1	1.0000	0.0000	0.0000
JAJIWH010000054.1	0.9438	0.0530	0.0032
JAJIWH010000055.1	0.6815	0.3185	0.0000
JAJIWH010000056.1	0.9998	0.0002	0.0000
JAJIWH010000057.1	0.0035	0.9964	0.0000
JAJIWH010000005.1	0.9998	0.0002	0.0000
JAJIWH010000058.1	1.0000	0.0000	0.0000
JAJIWH010000059.1	0.4380	0.0273	0.5347
JAJIWH010000060.1	0.7630	0.1044	0.1326
JAJIWH010000061.1	1.0000	0.0000	0.0000
JAJIWH010000062.1	0.9981	0.0019	0.0000
JAJIWH010000063.1	1.0000	0.0000	0.0000
JAJIWH010000064.1	1.0000	0.0000	0.0000
JAJIWH010000065.1	1.0000	0.0000	0.0000
JAJIWH010000066.1	0.0006	0.9990	0.0004
JAJIWH010000006.1	1.0000	0.0000	0.0000
JAJIWH010000067.1	0.9994	0.0006	0.0000
JAJIWH010000068.1	0.9995	0.0005	0.0000
JAJIWH010000069.1	0.0074	0.9926	0.0000
JAJIWH010000070.1	0.0000	0.0004	0.9995
JAJIWH010000071.1	0.0001	0.9999	0.0000
JAJIWH010000072.1	0.6151	0.0308	0.3542
JAJIWH010000073.1	0.0000	0.9999	0.0000
JAJIWH010000074.1	1.0000	0.0000	0.0000
JAJIWH010000075.1	0.9999	0.0001	0.0000
JAJIWH010000076.1	1.0000	0.0000	0.0000
JAJIWH010000007.1	0.9999	0.0001	0.0000
JAJIWH010000077.1	0.7193	0.0400	0.2408
JAJIWH010000078.1	1.0000	0.0000	0.0000
JAJIWH010000079.1	0.9997	0.0003	0.0000
JAJIWH010000080.1	0.7171	0.0422	0.2407
JAJIWH010000081.1	1.0000	0.0000	0.0000
JAJIWH010000082.1	0.9999	0.0001	0.0000
JAJIWH010000008.1	0.9998	0.0002	0.0000
