seq_name	chromosome_score	plasmid_score	virus_score
JBHJCI010000001.1	1.0000	0.0000	0.0000
JBHJCI010000002.1	0.9990	0.0010	0.0000
JBHJCI010000003.1	0.9999	0.0001	0.0000
JBHJCI010000004.1	0.9999	0.0001	0.0000
JBHJCI010000005.1	1.0000	0.0000	0.0000
JBHJCI010000006.1	0.9993	0.0007	0.0000
JBHJCI010000007.1	1.0000	0.0000	0.0000
JBHJCI010000008.1	1.0000	0.0000	0.0000
JBHJCI010000009.1	1.0000	0.0000	0.0000
JBHJCI010000010.1	1.0000	0.0000	0.0000
JBHJCI010000011.1	0.9998	0.0002	0.0000
JBHJCI010000012.1	1.0000	0.0000	0.0000
JBHJCI010000013.1	1.0000	0.0000	0.0000
JBHJCI010000014.1	0.9998	0.0002	0.0000
JBHJCI010000015.1	1.0000	0.0000	0.0000
JBHJCI010000016.1	1.0000	0.0000	0.0000
JBHJCI010000017.1	0.9999	0.0001	0.0000
JBHJCI010000018.1	1.0000	0.0000	0.0000
JBHJCI010000019.1	0.9999	0.0001	0.0000
JBHJCI010000020.1	1.0000	0.0000	0.0000
JBHJCI010000021.1	0.9999	0.0001	0.0000
JBHJCI010000022.1	0.9998	0.0002	0.0000
JBHJCI010000023.1	0.9999	0.0001	0.0000
JBHJCI010000024.1	0.9998	0.0002	0.0000
JBHJCI010000025.1	0.9969	0.0030	0.0000
JBHJCI010000026.1	0.2590	0.7410	0.0000
JBHJCI010000027.1	1.0000	0.0000	0.0000
JBHJCI010000028.1	0.9907	0.0092	0.0000
JBHJCI010000029.1	0.9989	0.0011	0.0000
JBHJCI010000030.1	0.0112	0.9888	0.0000
JBHJCI010000031.1	0.9691	0.0309	0.0000
JBHJCI010000032.1	0.0002	0.9998	0.0000
JBHJCI010000033.1	0.0003	0.9997	0.0000
JBHJCI010000034.1	1.0000	0.0000	0.0000
JBHJCI010000035.1	0.9999	0.0001	0.0000
JBHJCI010000036.1	0.0001	0.9999	0.0000
JBHJCI010000037.1	0.9544	0.0456	0.0000
JBHJCI010000038.1	0.7501	0.2499	0.0000
JBHJCI010000039.1	1.0000	0.0000	0.0000
JBHJCI010000040.1	0.9999	0.0000	0.0001
JBHJCI010000041.1	0.0002	0.9997	0.0000
JBHJCI010000042.1	0.0038	0.9962	0.0000
JBHJCI010000043.1	0.9480	0.0494	0.0027
JBHJCI010000044.1	0.0000	0.9999	0.0000
JBHJCI010000045.1	0.0001	0.9997	0.0002
JBHJCI010000046.1	0.0041	0.9959	0.0000
JBHJCI010000047.1	0.7869	0.2120	0.0011
JBHJCI010000048.1	0.0018	0.9982	0.0000
JBHJCI010000049.1	0.0000	0.0000	1.0000
JBHJCI010000050.1	0.6692	0.0014	0.3293
JBHJCI010000051.1	0.0018	0.9981	0.0001
JBHJCI010000052.1	0.9888	0.0111	0.0001
JBHJCI010000053.1	0.4859	0.5141	0.0000
JBHJCI010000054.1	0.0511	0.9488	0.0000
JBHJCI010000055.1	0.9819	0.0167	0.0014
JBHJCI010000056.1	0.0000	0.0000	1.0000
JBHJCI010000057.1	0.0091	0.9902	0.0007
JBHJCI010000058.1	0.7202	0.0387	0.2411
JBHJCI010000059.1	0.0010	0.9990	0.0000
JBHJCI010000060.1	0.0003	0.9996	0.0000
JBHJCI010000061.1	0.6519	0.1150	0.2330
JBHJCI010000062.1	0.0004	0.9995	0.0001
JBHJCI010000063.1	0.5582	0.0601	0.3817
JBHJCI010000064.1	0.4862	0.2099	0.3039
JBHJCI010000065.1	0.5368	0.2133	0.2499
JBHJCI010000066.1	0.5928	0.1768	0.2304
JBHJCI010000067.1	0.9647	0.0110	0.0243
JBHJCI010000068.1	0.7066	0.0298	0.2635
JBHJCI010000069.1	0.7940	0.0696	0.1364
JBHJCI010000070.1	0.7193	0.0400	0.2408
JBHJCI010000071.1	0.0005	0.9994	0.0001
JBHJCI010000072.1	0.9198	0.0405	0.0397
JBHJCI010000073.1	0.6364	0.0281	0.3354
JBHJCI010000074.1	0.1915	0.5190	0.2895
JBHJCI010000075.1	0.6828	0.0272	0.2900
JBHJCI010000076.1	0.7537	0.2444	0.0018
JBHJCI010000077.1	0.5813	0.4175	0.0012
JBHJCI010000078.1	0.7594	0.1093	0.1313
JBHJCI010000079.1	0.0248	0.0003	0.9748
JBHJCI010000080.1	0.6370	0.0273	0.3357
JBHJCI010000081.1	0.4628	0.2236	0.3135
JBHJCI010000082.1	0.0097	0.9903	0.0000
JBHJCI010000083.1	0.6364	0.0281	0.3354
JBHJCI010000084.1	0.8884	0.0841	0.0275
JBHJCI010000085.1	0.6306	0.1432	0.2263
JBHJCI010000086.1	0.6786	0.0324	0.2889
JBHJCI010000087.1	0.7664	0.0676	0.1660
JBHJCI010000088.1	0.6364	0.0281	0.3354
JBHJCI010000089.1	0.0143	0.9840	0.0017
JBHJCI010000090.1	0.6650	0.0294	0.3056
JBHJCI010000091.1	0.6428	0.0284	0.3288
JBHJCI010000092.1	0.7155	0.0440	0.2405
JBHJCI010000093.1	0.5680	0.1933	0.2386
JBHJCI010000094.1	0.6054	0.0303	0.3643
JBHJCI010000095.1	0.6828	0.0272	0.2900
JBHJCI010000096.1	0.6619	0.0310	0.3071
JBHJCI010000097.1	0.6536	0.0306	0.3158
JBHJCI010000098.1	0.6364	0.0281	0.3354
JBHJCI010000099.1	0.6097	0.0285	0.3618
JBHJCI010000100.1	0.7301	0.0562	0.2137
JBHJCI010000101.1	0.0015	0.9951	0.0033
JBHJCI010000102.1	0.6597	0.0309	0.3095
JBHJCI010000103.1	0.4535	0.2271	0.3194
JBHJCI010000104.1	0.6364	0.0281	0.3354
