seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
JBJGKY010000040.1	31428	DTR	40	11	1.0000	NA	10	24.4440	virb4;T_virB5;T_virB6;T_virB9;T_virB10;T_virB1;t4cp2	NA
JBJGKY010000053.1	14297	ITR	17	11	1.0000	NA	3	11.4351	B_traI;T_virB6;MOBH	NA
JBJGKY010000038.1	33529	ITR	32	11	1.0000	NA	2	19.5055	NA	NA
JBJGKY010000056.1	12418	ITR	10	11	1.0000	NA	0	4.9816	NA	NA
JBJGKY010000047.1	22241	No terminal repeats	26	11	0.9999	NA	3	9.9574	I_traV	NA
JBJGKY010000051.1	15113	No terminal repeats	14	11	0.9999	NA	2	8.6138	T_virB5	NA
JBJGKY010000043.1	23104	No terminal repeats	30	11	0.9999	NA	8	10.7445	T_virB10;T_virB9;T_virB8;T_virB6;T_virB5;T_virB3;T_virB2	NA
JBJGKY010000036.1	41035	No terminal repeats	31	11	0.9999	NA	0	6.3270	NA	NA
JBJGKY010000050.1	19092	No terminal repeats	16	11	0.9993	NA	0	2.4283	NA	NF033135
JBJGKY010000052.1	14824	No terminal repeats	16	11	0.9987	NA	0	2.5733	NA	NA
JBJGKY010000049.1	19335	No terminal repeats	18	11	0.9924	NA	3	2.8302	T_virB6;B_traI;B_traI	NA
JBJGKY010000046.1	22420	ITR	23	11	0.9898	NA	0	0.3959	NA	NA
JBJGKY010000063.1	5709	No terminal repeats	6	11	0.8491	NA	0	0.1657	NA	NA
