seq_name	n_genes	n_uscg	n_plasmid_hallmarks	n_virus_hallmarks	genetic_code	strand_switch_rate	coding_density	no_rbs_freq	sd_bacteroidetes_rbs_freq	sd_canonical_rbs_freq	tatata_rbs_freq	cc_marker_freq	cp_marker_freq	cv_marker_freq	pc_marker_freq	pp_marker_freq	pv_marker_freq	vc_marker_freq	vp_marker_freq	vv_marker_freq	c_marker_freq	p_marker_freq	v_marker_freq	median_c_spm	median_p_spm	median_v_spm	v_vs_c_score_logistic	v_vs_p_score_logistic	p_vs_c_score_logistic	gv_marker_freq	marker_enrichment_c	marker_enrichment_p	marker_enrichment_v
JTEL01000001.1	62	0	0	0	11	0.2623	0.8824	0.3226	0.0000	0.6774	0.0000	0.0323	0.3548	0.0000	0.0806	0.0000	0.0000	0.0323	0.0000	0.0000	0.3871	0.0806	0.0323	0.7740	0.6023	0.0000	0.0000	0.0000	0.0066	0.0000	7.0063	-14.5410	-81.9521
JTEL01000010.1	40	1	0	0	11	0.1538	0.8885	0.3750	0.0000	0.6250	0.0000	0.0500	0.1500	0.0500	0.0250	0.0000	0.0000	0.0500	0.0000	0.0000	0.2500	0.0250	0.0500	0.7445	0.5231	0.0000	0.0016	0.1094	0.0126	0.0000	5.8457	-14.7050	-27.0945
JTEL01000100.1	24	0	0	0	11	0.4348	0.8366	0.2917	0.0000	0.7083	0.0000	0.0417	0.3750	0.0000	0.0417	0.0000	0.0000	0.0000	0.0000	0.0417	0.4167	0.0417	0.0417	0.7081	0.6666	0.0000	0.0049	0.0178	0.2130	0.0000	0.8296	-4.3877	-30.3604
JTEL01000101.1	16	0	0	0	11	0.3333	0.8360	0.1250	0.0000	0.8750	0.0000	0.0000	0.2500	0.0000	0.0625	0.0000	0.0000	0.0000	0.0000	0.0000	0.2500	0.0625	0.0000	0.7449	0.6671	0.0000	0.0542	0.1001	0.3397	0.0000	1.3289	-1.3289	-14.5976
JTEL01000102.1	16	0	0	0	11	0.2667	0.8662	0.2500	0.0000	0.7500	0.0000	0.0000	0.0625	0.0000	0.3750	0.0000	0.0000	0.0000	0.0000	0.0000	0.0625	0.3750	0.0000	0.5730	0.8195	0.0000	0.0610	0.0125	0.8371	0.0000	-3.2741	3.2741	-20.6837
JTEL01000103.1	11	0	0	0	11	0.2000	0.9342	0.6364	0.0000	0.3636	0.0000	0.0909	0.4545	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5455	0.0000	0.0000	0.7632	0.6461	0.0000	0.0236	0.0949	0.1871	0.0000	2.9375	-2.9375	-17.0212
JTEL01000104.1	15	0	0	2	11	0.2143	0.9207	0.2000	0.0000	0.8000	0.0000	0.0667	0.2667	0.0000	0.0667	0.0000	0.0000	0.0000	0.0000	0.2000	0.3333	0.0667	0.2000	0.7471	0.3854	0.0000	0.1919	0.5975	0.1379	0.0000	-1.7601	-9.0391	-11.7759
JTEL01000105.1	15	0	0	0	11	0.3571	0.8260	0.2000	0.0000	0.8000	0.0000	0.0667	0.0667	0.0000	0.2000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1333	0.2000	0.0000	0.5164	0.8564	0.0000	0.1119	0.0613	0.6586	0.0000	-1.3142	1.3142	-12.3496
JTEL01000106.1	14	0	1	0	11	0.4615	0.7367	0.5000	0.0000	0.5000	0.0000	0.0000	0.3571	0.0000	0.2143	0.0000	0.0000	0.0000	0.0000	0.0000	0.3571	0.2143	0.0000	0.7501	0.6612	0.0000	0.0231	0.0122	0.6570	0.0000	-1.2998	1.2998	-23.8774
JTEL01000107.1	18	0	0	0	11	0.4118	0.8618	0.2778	0.0000	0.7222	0.0000	0.0000	0.4444	0.0000	0.0556	0.0000	0.0000	0.0000	0.0556	0.0000	0.4444	0.0556	0.0556	0.6496	0.6816	0.0000	0.0201	0.0224	0.4722	0.0000	-1.8436	-1.8722	-25.7591
