[2025-08-25 15:09:46] INFO: CheckM v1.2.4
[2025-08-25 15:09:46] INFO: checkm qa --out_format 8 checkm_out/Xanthomonas.ms checkm_out
[2025-08-25 15:09:46] INFO: CheckM data: /data/djs217/miniconda3/envs/checkm_env/checkm_data
[2025-08-25 15:09:46] INFO: [CheckM - qa] Tabulating genome statistics.
[2025-08-25 15:09:46] INFO: Calculating AAI between multi-copy marker genes.
[2025-08-25 15:09:46] INFO: Reading HMM info from file.
[2025-08-25 15:09:49] INFO: Parsing HMM hits to marker genes:
Bin Id	Gene Id	{Marker Id, Start position, End position}
GCA_000009165.1_ASM916v1_genomic	AM039952.1_1554	TIGR02350,3,601
GCA_000009165.1_ASM916v1_genomic	AM039952.1_3164	TIGR00528,3,358
GCA_000009165.1_ASM916v1_genomic	AM039952.1_2051	TIGR03300,8,402
GCA_000009165.1_ASM916v1_genomic	AM039952.1_2500	TIGR01189,12,204
GCA_000009165.1_ASM916v1_genomic	AM039952.1_2838	TIGR00515,7,293
GCA_000009165.1_ASM916v1_genomic	AM039952.1_1000	TIGR01079,3,102
GCA_000009165.1_ASM916v1_genomic	AM039952.1_3308	TIGR03302,12,258
GCA_000009165.1_ASM916v1_genomic	AM039952.1_822	TIGR00445,37,361
GCA_000009165.1_ASM916v1_genomic	AM039952.1_3310	TIGR00552,278,527
GCA_000009165.1_ASM916v1_genomic	AM039952.1_3024	TIGR01087,11,451
GCA_000009165.1_ASM916v1_genomic	AM039952.1_3152	TIGR02070,19,238
GCA_000009165.1_ASM916v1_genomic	AM039952.1_1476	TIGR01693,34,866
GCA_000009165.1_ASM916v1_genomic	AM039952.1_1382	TIGR04120,2,532	PF04675.9,3,166
GCA_000009165.1_ASM916v1_genomic	AM039952.1_1678	TIGR01364,5,360
GCA_000009165.1_ASM916v1_genomic	AM039952.1_2860	TIGR01461,42,197
GCA_000009165.1_ASM916v1_genomic	AM039952.1_3170	TIGR00508,6,428
GCA_000009165.1_ASM916v1_genomic	AM039952.1_3409	TIGR02041,6,551
GCA_000009165.1_ASM916v1_genomic	AM039952.1_2725	TIGR00064,273,545
GCA_000009165.1_ASM916v1_genomic	AM039952.1_783	TIGR02821,4,274
GCA_000009165.1_ASM916v1_genomic	AM039952.1_1037	TIGR02140,35,308
GCA_000009165.1_ASM916v1_genomic	AM039952.1_3781	TIGR03916,3,404
GCA_000009165.1_ASM916v1_genomic	AM039952.1_1137	TIGR03150,3,409
GCA_000009165.1_ASM916v1_genomic	AM039952.1_1491	TIGR00998,27,344
GCA_000009165.1_ASM916v1_genomic	AM039952.1_3238	TIGR02802,67,169
GCA_000009165.1_ASM916v1_genomic	AM039952.1_1669	TIGR01224,26,399
GCA_000009165.1_ASM916v1_genomic	AM039952.1_1049	TIGR01134,2,462
GCA_000009165.1_ASM916v1_genomic	AM039952.1_807	TIGR00387,46,456
GCA_000009165.1_ASM916v1_genomic	AM039952.1_4256	TIGR01410,2,79
GCA_000009165.1_ASM916v1_genomic	AM039952.1_952	TIGR00011,5,156
GCA_000009165.1_ASM916v1_genomic	AM039952.1_2861	TIGR01125,7,437
GCA_000009165.1_ASM916v1_genomic	AM039952.1_4	TIGR01059,15,814
GCA_000009165.1_ASM916v1_genomic	AM039952.1_1606	TIGR00974,19,284
GCA_000009165.1_ASM916v1_genomic	AM039952.1_2852	TIGR03533,9,290
GCA_000009165.1_ASM916v1_genomic	AM039952.1_1061	TIGR02181,16,94
GCA_000009165.1_ASM916v1_genomic	AM039952.1_3705	TIGR00068,17,171
GCA_000009165.1_ASM916v1_genomic	AM039952.1_3243	TIGR02799,16,138
GCA_000009165.1_ASM916v1_genomic	AM039952.1_1754	TIGR00438,18,203
GCA_000009165.1_ASM916v1_genomic	AM039952.1_3461	TIGR02074,69,756
GCA_000009165.1_ASM916v1_genomic	AM039952.1_1967	TIGR01400,20,261
GCA_000009165.1_ASM916v1_genomic	AM039952.1_188	TIGR01818,10,469
GCA_000009165.1_ASM916v1_genomic	AM039952.1_834	TIGR00586,7,132
GCA_000009165.1_ASM916v1_genomic	AM039952.1_4059	TIGR00742,13,324
GCA_000009165.1_ASM916v1_genomic	AM039952.1_948	TIGR01123,47,360
GCA_000009165.1_ASM916v1_genomic	AM039952.1_791	TIGR00326,16,360	TIGR00227,155,363
GCA_000009165.1_ASM916v1_genomic	AM039952.1_3074	TIGR00878,12,341
GCA_000009165.1_ASM916v1_genomic	AM039952.1_824	TIGR01133,18,366
GCA_000009165.1_ASM916v1_genomic	AM039952.1_1880	TIGR02448,2,98
GCA_000009165.1_ASM916v1_genomic	AM039952.1_3418	TIGR01136,8,303	TIGR01139,8,303
GCA_000009165.1_ASM916v1_genomic	AM039952.1_417	TIGR01404,3,343
GCA_000009165.1_ASM916v1_genomic	AM039952.1_956	TIGR01755,3,195
GCA_000009165.1_ASM916v1_genomic	AM039952.1_1607	TIGR02138,25,317
GCA_000009165.1_ASM916v1_genomic	AM039952.1_3543	TIGR00170,3,472
GCA_000009165.1_ASM916v1_genomic	AM039952.1_3144	TIGR02080,13,389
GCA_000009165.1_ASM916v1_genomic	AM039952.1_4215	TIGR02188,19,642
GCA_000009165.1_ASM916v1_genomic	AM039952.1_352	TIGR00110,18,606
GCA_000009165.1_ASM916v1_genomic	AM039952.1_3939	TIGR03723,3,317	TIGR00329,4,310
