seq_name	n_genes	n_uscg	n_plasmid_hallmarks	n_virus_hallmarks	genetic_code	strand_switch_rate	coding_density	no_rbs_freq	sd_bacteroidetes_rbs_freq	sd_canonical_rbs_freq	tatata_rbs_freq	cc_marker_freq	cp_marker_freq	cv_marker_freq	pc_marker_freq	pp_marker_freq	pv_marker_freq	vc_marker_freq	vp_marker_freq	vv_marker_freq	c_marker_freq	p_marker_freq	v_marker_freq	median_c_spm	median_p_spm	median_v_spm	v_vs_c_score_logistic	v_vs_p_score_logistic	p_vs_c_score_logistic	gv_marker_freq	marker_enrichment_c	marker_enrichment_p	marker_enrichment_v
JAWUDU010000010.1	143	3	0	0	11	0.2606	0.8660	0.2797	0.0000	0.7203	0.0000	0.0490	0.2308	0.0420	0.0210	0.0140	0.0070	0.0280	0.0000	0.0210	0.3217	0.0420	0.0490	0.8249	0.5206	0.0000	0.0000	0.0000	0.0000	0.0000	18.3551	-54.2159	-123.0269
JAWUDU010000011.1	139	0	0	0	11	0.2826	0.8327	0.2950	0.0000	0.7050	0.0000	0.0647	0.3669	0.0072	0.0360	0.0072	0.0000	0.0072	0.0000	0.0072	0.4388	0.0432	0.0144	0.7674	0.6359	0.0000	0.0000	0.0000	0.0000	0.0000	25.1771	-33.2220	-182.2019
JAWUDU010000012.1	113	0	3	0	11	0.3304	0.8724	0.3451	0.0000	0.6549	0.0000	0.0354	0.3451	0.0088	0.0619	0.0265	0.0000	0.0177	0.0000	0.0088	0.3894	0.0885	0.0265	0.7805	0.6019	0.0000	0.0000	0.0000	0.0006	0.0000	9.8026	-22.4412	-146.9278
JAWUDU010000013.1	120	0	2	3	11	0.3277	0.8520	0.2500	0.0000	0.7500	0.0000	0.0250	0.2583	0.0417	0.0500	0.0083	0.0000	0.0250	0.0000	0.0250	0.3250	0.0583	0.0500	0.8005	0.5614	0.0000	0.0000	0.0000	0.0000	0.0000	10.0275	-38.8038	-114.7879
JAWUDU010000014.1	116	1	3	0	11	0.2696	0.8549	0.3190	0.0000	0.6810	0.0000	0.1207	0.3017	0.0345	0.0172	0.0431	0.0000	0.0000	0.0000	0.0000	0.4569	0.0603	0.0000	0.8179	0.5752	0.0000	0.0000	0.0000	0.0000	0.0000	30.7714	-35.8249	-148.0846
JAWUDU010000015.1	120	0	0	0	11	0.3866	0.8398	0.2083	0.0000	0.7917	0.0000	0.0500	0.2417	0.0000	0.1250	0.0083	0.0000	0.0000	0.0000	0.0000	0.2917	0.1333	0.0000	0.6623	0.7492	0.0000	0.0000	0.0000	0.2723	0.0000	1.9658	-1.9658	-141.8592
JAWUDU010000016.1	97	1	0	0	11	0.1875	0.8697	0.2887	0.0000	0.7113	0.0000	0.0515	0.4021	0.0103	0.0515	0.0000	0.0000	0.0000	0.0000	0.0000	0.4639	0.0515	0.0000	0.7732	0.6341	0.0000	0.0000	0.0000	0.0001	0.0000	17.2056	-19.6107	-140.2107
JAWUDU010000017.1	115	1	0	0	11	0.3158	0.8184	0.2870	0.0000	0.7130	0.0000	0.0348	0.3130	0.0000	0.0348	0.0087	0.0000	0.0087	0.0000	0.0174	0.3478	0.0435	0.0261	0.7742	0.6247	0.0000	0.0000	0.0000	0.0005	0.0000	10.0883	-21.1587	-123.6356
JAWUDU010000018.1	111	1	0	0	11	0.2273	0.8919	0.3333	0.0000	0.6667	0.0000	0.0450	0.3153	0.0180	0.0360	0.0000	0.0000	0.0090	0.0000	0.0090	0.3784	0.0360	0.0180	0.7783	0.5959	0.0000	0.0000	0.0000	0.0000	0.0000	16.8732	-28.3427	-122.7705
JAWUDU010000019.1	115	24	1	0	11	0.2544	0.8123	0.2348	0.0000	0.7652	0.0000	0.1826	0.2261	0.0783	0.0000	0.0087	0.0000	0.0087	0.0000	0.0261	0.4870	0.0087	0.0348	0.9640	0.0000	0.0000	0.0000	0.0033	0.0000	0.0087	55.6807	-79.5256	-119.2129
