seq_name	n_genes	n_uscg	n_plasmid_hallmarks	n_virus_hallmarks	genetic_code	strand_switch_rate	coding_density	no_rbs_freq	sd_bacteroidetes_rbs_freq	sd_canonical_rbs_freq	tatata_rbs_freq	cc_marker_freq	cp_marker_freq	cv_marker_freq	pc_marker_freq	pp_marker_freq	pv_marker_freq	vc_marker_freq	vp_marker_freq	vv_marker_freq	c_marker_freq	p_marker_freq	v_marker_freq	median_c_spm	median_p_spm	median_v_spm	v_vs_c_score_logistic	v_vs_p_score_logistic	p_vs_c_score_logistic	gv_marker_freq	marker_enrichment_c	marker_enrichment_p	marker_enrichment_v
JBHJBS010000001.1	479	3	1	0	11	0.3117	0.8631	0.3006	0.0000	0.6994	0.0000	0.0814	0.2965	0.0292	0.0355	0.0021	0.0000	0.0146	0.0000	0.0104	0.4071	0.0376	0.0251	0.8003	0.5654	0.0000	0.0000	0.0000	0.0000	0.0063	105.4866	-173.7515	-542.3407
JBHJBS010000002.1	273	1	1	1	11	0.3713	0.8373	0.3187	0.0000	0.6813	0.0000	0.0366	0.1905	0.0293	0.0659	0.0037	0.0000	0.0220	0.0073	0.0183	0.2564	0.0696	0.0476	0.7541	0.5831	0.0000	0.0000	0.0000	0.0000	0.0037	9.2260	-68.7756	-217.4615
JBHJBS010000003.1	257	0	0	0	11	0.3281	0.8370	0.2490	0.0000	0.7510	0.0000	0.0584	0.3113	0.0039	0.0700	0.0078	0.0000	0.0039	0.0000	0.0039	0.3735	0.0778	0.0078	0.7592	0.6492	0.0000	0.0000	0.0000	0.0000	0.0000	29.7348	-37.7797	-319.1679
JBHJBS010000004.1	223	4	0	0	11	0.2477	0.8733	0.3543	0.0000	0.6457	0.0000	0.0717	0.3094	0.0314	0.0717	0.0000	0.0045	0.0179	0.0000	0.0090	0.4126	0.0762	0.0269	0.7963	0.5882	0.0000	0.0000	0.0000	0.0000	0.0000	37.8697	-69.8193	-284.3681
JBHJBS010000005.1	208	2	0	0	11	0.2899	0.8345	0.2788	0.0000	0.7212	0.0000	0.0385	0.3173	0.0144	0.0577	0.0048	0.0000	0.0144	0.0000	0.0144	0.3702	0.0625	0.0288	0.7714	0.6232	0.0000	0.0000	0.0000	0.0000	0.0000	21.8198	-49.1450	-242.4656
JBHJBS010000006.1	199	1	5	0	11	0.2980	0.8667	0.3568	0.0000	0.6432	0.0000	0.0804	0.3417	0.0251	0.0452	0.0251	0.0000	0.0101	0.0000	0.0000	0.4472	0.0704	0.0101	0.8017	0.5852	0.0000	0.0000	0.0000	0.0000	0.0000	43.7478	-57.7442	-269.1591
JBHJBS010000007.1	194	5	1	0	11	0.2642	0.8501	0.2732	0.0000	0.7268	0.0000	0.0258	0.2835	0.0309	0.0361	0.0103	0.0000	0.0052	0.0000	0.0155	0.3402	0.0464	0.0206	0.7816	0.6207	0.0000	0.0000	0.0000	0.0000	0.0000	23.9736	-46.6128	-195.7843
JBHJBS010000008.1	200	5	3	1	11	0.2965	0.8864	0.3050	0.0000	0.6950	0.0000	0.0300	0.3000	0.0300	0.0400	0.0150	0.0050	0.0100	0.0050	0.0000	0.3600	0.0600	0.0150	0.7934	0.5937	0.0000	0.0000	0.0000	0.0000	0.0000	25.3734	-48.2906	-220.9583
JBHJBS010000009.1	194	2	1	1	11	0.2850	0.8594	0.3196	0.0000	0.6804	0.0000	0.0825	0.2268	0.0155	0.0567	0.0000	0.0000	0.0103	0.0052	0.0309	0.3247	0.0567	0.0464	0.7572	0.5105	0.0000	0.0000	0.0000	0.0000	0.0052	22.8287	-60.8042	-179.6239
JBHJBS010000010.1	171	2	0	1	11	0.3471	0.8575	0.2398	0.0000	0.7602	0.0000	0.0702	0.2690	0.0351	0.0585	0.0175	0.0000	0.0175	0.0000	0.0058	0.3743	0.0760	0.0234	0.7775	0.6151	0.0000	0.0000	0.0000	0.0000	0.0000	24.9548	-49.2467	-194.7586
JBHJBS010000011.1	155	0	0	0	11	0.1818	0.8784	0.2903	0.0000	0.7097	0.0000	0.0194	0.3161	0.0258	0.0774	0.0000	0.0000	0.0065	0.0065	0.0129	0.3613	0.0774	0.0258	0.7744	0.6267	0.0000	0.0000	0.0000	0.0000	0.0000	11.0311	-31.1179	-187.2402
JBHJBS010000012.1	175	29	0	1	11	0.2586	0.8152	0.2629	0.0000	0.7371	0.0000	0.1371	0.2114	0.0914	0.0057	0.0000	0.0000	0.0114	0.0000	0.0229	0.4400	0.0057	0.0343	0.9502	0.0000	0.0000	0.0000	0.0040	0.0000	0.0057	73.5473	-117.7378	-159.6329
JBHJBS010000013.1	141	7	5	0	11	0.1643	0.9034	0.2199	0.0000	0.7801	0.0000	0.0780	0.2979	0.0496	0.0496	0.0142	0.0000	0.0142	0.0000	0.0000	0.4255	0.0638	0.0142	0.8077	0.5623	0.0000	0.0000	0.0000	0.0000	0.0000	33.6463	-50.3482	-176.4296
JBHJBS010000014.1	142	3	0	0	11	0.2624	0.8627	0.2817	0.0000	0.7183	0.0000	0.0493	0.2324	0.0423	0.0211	0.0141	0.0070	0.0282	0.0000	0.0211	0.3239	0.0423	0.0493	0.8249	0.5206	0.0000	0.0000	0.0000	0.0000	0.0000	18.3551	-54.2159	-123.0269
JBHJBS010000015.1	119	0	2	3	11	0.3220	0.8529	0.2605	0.0000	0.7395	0.0000	0.0168	0.2605	0.0420	0.0504	0.0084	0.0000	0.0252	0.0000	0.0252	0.3193	0.0588	0.0504	0.7966	0.5652	0.0000	0.0000	0.0000	0.0000	0.0000	8.3093	-37.0855	-113.0696
JBHJBS010000016.1	99	1	0	0	11	0.1837	0.8712	0.2929	0.0000	0.7071	0.0000	0.0505	0.3939	0.0101	0.0505	0.0000	0.0000	0.0000	0.0000	0.0000	0.4545	0.0505	0.0000	0.7732	0.6341	0.0000	0.0000	0.0000	0.0001	0.0000	17.2056	-19.6107	-140.2107
JBHJBS010000017.1	111	1	0	0	11	0.2273	0.8927	0.3333	0.0000	0.6667	0.0000	0.0450	0.3153	0.0180	0.0360	0.0000	0.0000	0.0090	0.0000	0.0090	0.3784	0.0360	0.0180	0.7783	0.5959	0.0000	0.0000	0.0000	0.0000	0.0000	16.8732	-28.3427	-122.7705
JBHJBS010000018.1	101	0	2	0	11	0.3000	0.8860	0.2574	0.0000	0.7426	0.0000	0.0693	0.2178	0.0297	0.0495	0.0396	0.0000	0.0000	0.0000	0.0099	0.3168	0.0891	0.0099	0.7757	0.6242	0.0000	0.0000	0.0000	0.0021	0.0000	8.4483	-19.1077	-101.1443
JBHJBS010000019.1	89	1	0	0	11	0.3977	0.8575	0.2697	0.0000	0.7303	0.0000	0.0449	0.2135	0.0449	0.0787	0.0000	0.0000	0.0000	0.0000	0.0112	0.3034	0.0787	0.0112	0.7499	0.6347	0.0000	0.0000	0.0000	0.0019	0.0000	8.9804	-18.7043	-87.8165
JBHJBS010000020.1	97	0	18	0	11	0.1979	0.8881	0.1753	0.0000	0.8247	0.0000	0.0000	0.0825	0.0000	0.2990	0.1237	0.0103	0.0000	0.0103	0.0000	0.0825	0.4330	0.0103	0.3520	0.9354	0.0000	0.0000	0.0000	1.0000	0.0000	-54.6247	48.6840	-125.6754
JBHJBS010000021.1	81	0	0	0	11	0.4250	0.8175	0.3086	0.0000	0.6914	0.0000	0.0494	0.2469	0.0123	0.0247	0.0247	0.0000	0.0000	0.0123	0.0000	0.3086	0.0494	0.0123	0.7582	0.6495	0.0000	0.0000	0.0000	0.0211	0.0000	4.8873	-10.6551	-76.7464
JBHJBS010000022.1	75	1	0	0	11	0.2838	0.8327	0.3333	0.0000	0.6667	0.0000	0.0133	0.1600	0.0133	0.1467	0.0267	0.0000	0.0133	0.0000	0.0000	0.1867	0.1733	0.0133	0.6054	0.7702	0.0000	0.0000	0.0000	0.7964	0.0000	-4.6895	-0.8886	-72.9697
