seq_name	chromosome_score	plasmid_score	virus_score
JAJIWC010000009.1	0.4990	0.4944	0.0066
JAJIWC010000010.1	0.9700	0.0275	0.0025
JAJIWC010000011.1	0.9438	0.0520	0.0042
JAJIWC010000012.1	0.9441	0.0512	0.0047
JAJIWC010000013.1	0.3105	0.2449	0.4445
JAJIWC010000014.1	0.9557	0.0408	0.0035
JAJIWC010000015.1	0.3417	0.0514	0.6069
JAJIWC010000016.1	0.8567	0.1103	0.0329
JAJIWC010000017.1	0.9098	0.0852	0.0050
JAJIWC010000018.1	0.0477	0.9432	0.0091
JAJIWC010000001.1	0.4937	0.4581	0.0482
JAJIWC010000019.1	0.9752	0.0229	0.0019
JAJIWC010000020.1	0.0083	0.9734	0.0182
JAJIWC010000021.1	0.6069	0.3450	0.0481
JAJIWC010000022.1	0.0002	0.9996	0.0002
JAJIWC010000023.1	0.9736	0.0229	0.0035
JAJIWC010000024.1	0.0000	1.0000	0.0000
JAJIWC010000025.1	0.9854	0.0133	0.0014
JAJIWC010000026.1	0.8806	0.1119	0.0075
JAJIWC010000027.1	0.9753	0.0226	0.0021
JAJIWC010000028.1	0.0148	0.9808	0.0044
JAJIWC010000002.1	0.9370	0.0582	0.0047
JAJIWC010000029.1	0.9708	0.0269	0.0022
JAJIWC010000030.1	0.3638	0.0274	0.6088
JAJIWC010000031.1	0.9786	0.0194	0.0019
JAJIWC010000032.1	0.9918	0.0071	0.0010
JAJIWC010000033.1	0.9322	0.0631	0.0047
JAJIWC010000034.1	0.0000	0.9999	0.0001
JAJIWC010000035.1	0.0002	0.9997	0.0001
JAJIWC010000036.1	0.9416	0.0542	0.0042
JAJIWC010000037.1	0.8921	0.1029	0.0050
JAJIWC010000038.1	0.9679	0.0297	0.0024
JAJIWC010000003.1	0.9729	0.0247	0.0024
JAJIWC010000039.1	0.0001	0.9998	0.0001
JAJIWC010000040.1	0.7530	0.0487	0.1982
JAJIWC010000041.1	0.9809	0.0172	0.0019
JAJIWC010000042.1	0.0000	1.0000	0.0000
JAJIWC010000043.1	0.1829	0.8125	0.0046
JAJIWC010000044.1	0.5531	0.3179	0.1290
JAJIWC010000045.1	0.0000	1.0000	0.0000
JAJIWC010000046.1	0.3037	0.4532	0.2431
JAJIWC010000047.1	0.9710	0.0266	0.0023
JAJIWC010000048.1	0.4310	0.4737	0.0953
JAJIWC010000004.1	0.9669	0.0299	0.0032
JAJIWC010000049.1	0.0000	0.9999	0.0001
JAJIWC010000050.1	0.0000	1.0000	0.0000
JAJIWC010000051.1	0.9868	0.0119	0.0012
JAJIWC010000052.1	0.6593	0.0631	0.2776
JAJIWC010000053.1	0.9329	0.0629	0.0042
JAJIWC010000054.1	0.8595	0.0556	0.0849
JAJIWC010000055.1	0.9513	0.0446	0.0041
JAJIWC010000056.1	0.9681	0.0296	0.0024
JAJIWC010000057.1	0.3143	0.6730	0.0126
JAJIWC010000058.1	0.0000	1.0000	0.0000
JAJIWC010000059.1	0.5378	0.2217	0.2405
JAJIWC010000060.1	0.9579	0.0391	0.0030
JAJIWC010000061.1	0.9693	0.0283	0.0024
JAJIWC010000062.1	0.0914	0.8909	0.0177
JAJIWC010000063.1	0.1363	0.7860	0.0777
JAJIWC010000064.1	0.9253	0.0694	0.0053
JAJIWC010000065.1	0.0000	1.0000	0.0000
JAJIWC010000066.1	0.9672	0.0303	0.0024
JAJIWC010000067.1	0.9734	0.0249	0.0018
JAJIWC010000005.1	0.0000	1.0000	0.0000
JAJIWC010000068.1	0.9384	0.0564	0.0052
JAJIWC010000069.1	0.0003	0.9996	0.0001
JAJIWC010000070.1	0.9637	0.0332	0.0031
JAJIWC010000071.1	0.0000	1.0000	0.0000
JAJIWC010000072.1	0.6430	0.2635	0.0935
JAJIWC010000073.1	0.0006	0.9993	0.0001
JAJIWC010000074.1	0.9561	0.0411	0.0028
JAJIWC010000075.1	0.9305	0.0653	0.0043
JAJIWC010000076.1	0.0004	0.9994	0.0002
JAJIWC010000077.1	0.9716	0.0262	0.0023
JAJIWC010000006.1	0.0024	0.9974	0.0003
JAJIWC010000078.1	0.9665	0.0307	0.0028
JAJIWC010000079.1	0.9979	0.0015	0.0006
JAJIWC010000080.1	0.0000	1.0000	0.0000
JAJIWC010000081.1	0.8808	0.0829	0.0363
JAJIWC010000082.1	0.0006	0.0026	0.9968
JAJIWC010000083.1	0.9423	0.0527	0.0049
JAJIWC010000084.1	0.0391	0.7119	0.2491
JAJIWC010000085.1	0.9302	0.0666	0.0032
JAJIWC010000086.1	0.9985	0.0013	0.0002
JAJIWC010000087.1	0.3940	0.4820	0.1240
JAJIWC010000007.1	0.9504	0.0464	0.0032
JAJIWC010000088.1	0.0000	1.0000	0.0000
JAJIWC010000089.1	0.9446	0.0519	0.0035
JAJIWC010000090.1	0.7929	0.1288	0.0782
JAJIWC010000091.1	0.9873	0.0115	0.0012
JAJIWC010000092.1	0.9337	0.0626	0.0037
JAJIWC010000093.1	0.6391	0.0946	0.2662
JAJIWC010000008.1	0.9682	0.0289	0.0029
