seq_name	chromosome_score	plasmid_score	virus_score
JBHJBT010000001.1	0.9624	0.0346	0.0030
JBHJBT010000002.1	0.9774	0.0206	0.0020
JBHJBT010000003.1	0.9270	0.0686	0.0045
JBHJBT010000004.1	0.9334	0.0618	0.0048
JBHJBT010000005.1	0.9658	0.0313	0.0028
JBHJBT010000006.1	0.9423	0.0534	0.0042
JBHJBT010000007.1	0.9180	0.0770	0.0051
JBHJBT010000008.1	0.9713	0.0264	0.0023
JBHJBT010000009.1	0.9592	0.0379	0.0029
JBHJBT010000010.1	0.9435	0.0526	0.0039
JBHJBT010000011.1	0.9660	0.0313	0.0027
JBHJBT010000012.1	0.9837	0.0148	0.0015
JBHJBT010000013.1	0.9670	0.0304	0.0025
JBHJBT010000014.1	0.8967	0.0972	0.0061
JBHJBT010000015.1	0.9734	0.0242	0.0024
JBHJBT010000016.1	0.9732	0.0248	0.0021
JBHJBT010000017.1	0.9024	0.0891	0.0085
JBHJBT010000018.1	0.9723	0.0255	0.0022
JBHJBT010000019.1	0.0000	0.9999	0.0000
JBHJBT010000020.1	0.9362	0.0590	0.0048
JBHJBT010000021.1	0.8945	0.0988	0.0068
JBHJBT010000022.1	0.0027	0.9969	0.0004
JBHJBT010000023.1	0.9580	0.0382	0.0038
JBHJBT010000024.1	0.9271	0.0685	0.0043
JBHJBT010000025.1	0.9052	0.0892	0.0056
JBHJBT010000026.1	0.0000	0.9999	0.0000
JBHJBT010000027.1	0.0000	1.0000	0.0000
JBHJBT010000028.1	0.0000	1.0000	0.0000
JBHJBT010000029.1	0.8197	0.1556	0.0248
JBHJBT010000030.1	0.9658	0.0315	0.0027
JBHJBT010000031.1	0.9292	0.0666	0.0041
JBHJBT010000032.1	0.0000	1.0000	0.0000
JBHJBT010000033.1	0.4861	0.5084	0.0055
JBHJBT010000034.1	0.9772	0.0206	0.0021
JBHJBT010000035.1	0.0000	1.0000	0.0000
JBHJBT010000036.1	0.9306	0.0631	0.0063
JBHJBT010000037.1	0.0000	1.0000	0.0000
JBHJBT010000038.1	0.0000	1.0000	0.0000
JBHJBT010000039.1	0.0000	0.9999	0.0000
JBHJBT010000040.1	0.0169	0.9786	0.0046
JBHJBT010000041.1	0.8998	0.0392	0.0610
JBHJBT010000042.1	0.0000	0.9999	0.0001
JBHJBT010000043.1	0.0000	1.0000	0.0000
JBHJBT010000044.1	0.0000	0.9999	0.0001
JBHJBT010000045.1	0.2178	0.7286	0.0536
JBHJBT010000046.1	0.0218	0.8501	0.1281
JBHJBT010000047.1	0.0000	1.0000	0.0000
JBHJBT010000048.1	0.0000	1.0000	0.0000
JBHJBT010000049.1	0.9984	0.0013	0.0003
JBHJBT010000050.1	0.2601	0.5670	0.1729
JBHJBT010000051.1	0.0406	0.9510	0.0083
JBHJBT010000052.1	0.0686	0.9208	0.0106
JBHJBT010000053.1	0.0000	1.0000	0.0000
JBHJBT010000054.1	0.0001	0.0027	0.9972
JBHJBT010000055.1	0.0001	0.9988	0.0011
JBHJBT010000056.1	0.4658	0.4706	0.0636
JBHJBT010000057.1	0.3253	0.3875	0.2871
JBHJBT010000058.1	0.1003	0.8892	0.0105
JBHJBT010000059.1	0.0339	0.9404	0.0257
JBHJBT010000060.1	0.6127	0.2866	0.1006
JBHJBT010000061.1	0.0652	0.0021	0.9327
JBHJBT010000062.1	0.0985	0.0021	0.8994
JBHJBT010000063.1	0.0001	0.0006	0.9994
JBHJBT010000064.1	0.0644	0.0086	0.9271
JBHJBT010000065.1	0.3930	0.5036	0.1034
JBHJBT010000066.1	0.8402	0.1324	0.0274
JBHJBT010000067.1	0.5286	0.3334	0.1380
JBHJBT010000068.1	0.0759	0.8051	0.1190
JBHJBT010000069.1	0.7755	0.1486	0.0760
JBHJBT010000070.1	0.5504	0.1100	0.3395
JBHJBT010000071.1	0.2249	0.7502	0.0250
JBHJBT010000072.1	0.3198	0.5085	0.1717
JBHJBT010000073.1	0.0626	0.9308	0.0066
JBHJBT010000074.1	0.0005	0.9991	0.0004
JBHJBT010000075.1	0.0494	0.7177	0.2329
JBHJBT010000076.1	0.0002	0.9997	0.0001
JBHJBT010000077.1	0.9784	0.0093	0.0123
JBHJBT010000078.1	0.8491	0.1283	0.0226
JBHJBT010000079.1	0.1453	0.6315	0.2232
JBHJBT010000080.1	0.9431	0.0437	0.0133
JBHJBT010000081.1	0.6329	0.3028	0.0643
JBHJBT010000082.1	0.8707	0.0350	0.0943
JBHJBT010000083.1	0.7148	0.2133	0.0719
JBHJBT010000084.1	0.0001	0.9998	0.0001
JBHJBT010000085.1	0.4647	0.2728	0.2625
JBHJBT010000086.1	0.0001	0.0011	0.9988
JBHJBT010000087.1	0.0555	0.8125	0.1320
JBHJBT010000088.1	0.0027	0.0052	0.9921
JBHJBT010000089.1	0.0033	0.0027	0.9940
JBHJBT010000090.1	0.0003	0.9996	0.0002
JBHJBT010000091.1	0.8720	0.0672	0.0608
JBHJBT010000092.1	0.5291	0.0879	0.3830
JBHJBT010000093.1	0.7123	0.1529	0.1347
JBHJBT010000094.1	0.7435	0.0578	0.1987
JBHJBT010000095.1	0.4219	0.3139	0.2642
JBHJBT010000096.1	0.8681	0.0414	0.0905
JBHJBT010000097.1	0.4354	0.2790	0.2857
JBHJBT010000098.1	0.1096	0.0817	0.8087
