[2025-08-19 14:09:05] INFO: CheckM v1.2.4
[2025-08-19 14:09:05] INFO: checkm qa --out_format 5 checkm_out/Xanthomonas.ms checkm_out
[2025-08-19 14:09:05] INFO: CheckM data: /data/djs217/miniconda3/envs/checkm_env/checkm_data
[2025-08-19 14:09:05] INFO: [CheckM - qa] Tabulating genome statistics.
[2025-08-19 14:09:05] INFO: Calculating AAI between multi-copy marker genes.
[2025-08-19 14:09:05] INFO: Reading HMM info from file.
[2025-08-19 14:09:07] INFO: Parsing HMM hits to marker genes:
Bin Id	Marker Id	Gene Id
GCA_000009165.1_ASM916v1_genomic	TIGR01258	AM039952.1_2999
GCA_000009165.1_ASM916v1_genomic	TIGR01262	AM039952.1_3687
GCA_000009165.1_ASM916v1_genomic	TIGR01418	AM039952.1_2185
GCA_000009165.1_ASM916v1_genomic	TIGR02204	AM039952.1_1563
GCA_000009165.1_ASM916v1_genomic	TIGR00974	AM039952.1_1606
GCA_000009165.1_ASM916v1_genomic	TIGR00233	AM039952.1_4039
GCA_000009165.1_ASM916v1_genomic	TIGR03558	AM039952.1_1729
GCA_000009165.1_ASM916v1_genomic	TIGR00713	AM039952.1_3492
GCA_000009165.1_ASM916v1_genomic	TIGR00962	AM039952.1_3724
GCA_000009165.1_ASM916v1_genomic	TIGR00539	AM039952.1_3475
GCA_000009165.1_ASM916v1_genomic	TIGR00186	AM039952.1_1600
GCA_000009165.1_ASM916v1_genomic	TIGR03838	AM039952.1_2574
GCA_000009165.1_ASM916v1_genomic	TIGR00676	AM039952.1_836
GCA_000009165.1_ASM916v1_genomic	TIGR01667	AM039952.1_527
GCA_000009165.1_ASM916v1_genomic	TIGR00422	AM039952.1_3640
GCA_000009165.1_ASM916v1_genomic	TIGR01854	AM039952.1_1053
GCA_000009165.1_ASM916v1_genomic	TIGR01142	AM039952.1_1256
GCA_000009165.1_ASM916v1_genomic	TIGR02457	AM039952.1_137
GCA_000009165.1_ASM916v1_genomic	TIGR01473	AM039952.1_3946
GCA_000009165.1_ASM916v1_genomic	TIGR03594	AM039952.1_2052
GCA_000009165.1_ASM916v1_genomic	TIGR01981	AM039952.1_3052
GCA_000009165.1_ASM916v1_genomic	TIGR02168	AM039952.1_1655
GCA_000009165.1_ASM916v1_genomic	TIGR02071	AM039952.1_3208
GCA_000009165.1_ASM916v1_genomic	TIGR00987	AM039952.1_2763
GCA_000009165.1_ASM916v1_genomic	TIGR01085	AM039952.1_820
GCA_000009165.1_ASM916v1_genomic	TIGR01824	AM039952.1_1138
