seq_name	chromosome_score	plasmid_score	virus_score
JAJITJ010000097.1	0.9970	0.0026	0.0004
JAJITJ010000098.1	0.9889	0.0100	0.0011
JAJITJ010000099.1	0.9661	0.0313	0.0025
JAJITJ010000100.1	0.7969	0.1150	0.0881
JAJITJ010000101.1	0.0000	1.0000	0.0000
JAJITJ010000102.1	0.9779	0.0202	0.0020
JAJITJ010000103.1	0.9606	0.0362	0.0032
JAJITJ010000104.1	0.4810	0.3525	0.1664
JAJITJ010000105.1	0.9275	0.0684	0.0041
JAJITJ010000106.1	0.0002	0.9997	0.0001
JAJITJ010000009.1	0.9147	0.0804	0.0049
JAJITJ010000107.1	0.9134	0.0652	0.0214
JAJITJ010000108.1	0.9986	0.0013	0.0002
JAJITJ010000109.1	0.9458	0.0496	0.0046
JAJITJ010000110.1	0.2079	0.7578	0.0343
JAJITJ010000111.1	0.0000	1.0000	0.0000
JAJITJ010000112.1	0.9075	0.0871	0.0054
JAJITJ010000113.1	0.9340	0.0613	0.0047
JAJITJ010000114.1	0.1749	0.4632	0.3619
JAJITJ010000115.1	0.1491	0.8406	0.0103
JAJITJ010000010.1	0.9679	0.0291	0.0029
JAJITJ010000011.1	0.8497	0.1435	0.0068
JAJITJ010000012.1	0.9589	0.0383	0.0028
JAJITJ010000013.1	0.9734	0.0247	0.0020
JAJITJ010000014.1	0.5118	0.3529	0.1353
JAJITJ010000015.1	0.0015	0.9984	0.0001
JAJITJ010000016.1	0.0070	0.9899	0.0030
JAJITJ010000017.1	0.0341	0.9510	0.0148
JAJITJ010000018.1	0.9437	0.0517	0.0047
JAJITJ010000001.1	0.0000	1.0000	0.0000
JAJITJ010000019.1	0.9918	0.0075	0.0007
JAJITJ010000020.1	0.0083	0.9734	0.0182
JAJITJ010000021.1	0.9568	0.0394	0.0039
JAJITJ010000022.1	0.6069	0.3450	0.0481
JAJITJ010000023.1	0.0002	0.9996	0.0002
JAJITJ010000024.1	0.9654	0.0320	0.0027
JAJITJ010000025.1	0.9352	0.0584	0.0064
JAJITJ010000026.1	0.0000	1.0000	0.0000
JAJITJ010000027.1	0.9848	0.0138	0.0014
JAJITJ010000028.1	0.8754	0.1170	0.0076
JAJITJ010000002.1	0.9444	0.0501	0.0055
JAJITJ010000029.1	0.8653	0.1258	0.0089
JAJITJ010000030.1	0.9753	0.0226	0.0021
JAJITJ010000031.1	0.9758	0.0223	0.0019
JAJITJ010000032.1	0.0095	0.9529	0.0377
JAJITJ010000033.1	0.9903	0.0088	0.0009
JAJITJ010000034.1	0.4942	0.4958	0.0100
JAJITJ010000035.1	0.0245	0.9742	0.0013
JAJITJ010000036.1	0.8433	0.1515	0.0051
JAJITJ010000037.1	0.1830	0.8051	0.0120
JAJITJ010000038.1	0.0233	0.9756	0.0011
JAJITJ010000003.1	0.2268	0.7583	0.0149
JAJITJ010000039.1	0.0000	0.9999	0.0000
JAJITJ010000040.1	0.9738	0.0242	0.0020
JAJITJ010000041.1	0.8530	0.1395	0.0074
JAJITJ010000042.1	0.9151	0.0801	0.0049
JAJITJ010000043.1	0.9412	0.0547	0.0042
JAJITJ010000044.1	0.9858	0.0128	0.0013
JAJITJ010000045.1	0.8484	0.0557	0.0958
JAJITJ010000046.1	0.9001	0.0949	0.0049
JAJITJ010000047.1	0.9741	0.0237	0.0022
JAJITJ010000048.1	0.1066	0.7825	0.1109
JAJITJ010000004.1	0.0000	0.9999	0.0001
JAJITJ010000049.1	0.9742	0.0240	0.0019
JAJITJ010000050.1	0.9779	0.0199	0.0022
JAJITJ010000051.1	0.0002	0.9998	0.0001
JAJITJ010000052.1	0.2297	0.7615	0.0089
JAJITJ010000053.1	0.9544	0.0426	0.0030
JAJITJ010000054.1	0.9693	0.0285	0.0022
JAJITJ010000055.1	0.9888	0.0096	0.0016
JAJITJ010000056.1	0.9824	0.0158	0.0017
JAJITJ010000057.1	0.0000	1.0000	0.0000
JAJITJ010000058.1	0.9413	0.0547	0.0040
JAJITJ010000059.1	0.0000	0.9999	0.0001
JAJITJ010000060.1	0.9964	0.0030	0.0006
JAJITJ010000061.1	0.5297	0.2001	0.2701
JAJITJ010000062.1	0.9742	0.0239	0.0019
JAJITJ010000063.1	0.0205	0.9785	0.0010
JAJITJ010000064.1	0.9292	0.0657	0.0051
JAJITJ010000065.1	0.0034	0.9962	0.0004
JAJITJ010000066.1	0.9763	0.0219	0.0018
JAJITJ010000067.1	0.9983	0.0013	0.0004
JAJITJ010000005.1	0.3175	0.0287	0.6537
JAJITJ010000068.1	0.9691	0.0283	0.0026
JAJITJ010000069.1	0.0000	1.0000	0.0000
JAJITJ010000070.1	0.9632	0.0337	0.0031
JAJITJ010000071.1	0.5629	0.4309	0.0062
JAJITJ010000072.1	0.9706	0.0272	0.0022
JAJITJ010000073.1	0.0000	0.9999	0.0000
JAJITJ010000074.1	0.0009	0.9990	0.0002
JAJITJ010000075.1	0.0000	1.0000	0.0000
JAJITJ010000076.1	0.9734	0.0249	0.0018
JAJITJ010000077.1	0.9378	0.0570	0.0052
JAJITJ010000006.1	0.0000	1.0000	0.0000
JAJITJ010000078.1	0.1698	0.8258	0.0045
JAJITJ010000079.1	0.9910	0.0081	0.0009
JAJITJ010000080.1	0.9410	0.0545	0.0045
JAJITJ010000081.1	0.9809	0.0174	0.0017
JAJITJ010000082.1	0.8543	0.1377	0.0080
JAJITJ010000083.1	0.6161	0.2970	0.0869
JAJITJ010000084.1	0.9061	0.0872	0.0067
JAJITJ010000085.1	0.9290	0.0671	0.0039
JAJITJ010000086.1	0.6354	0.1692	0.1954
JAJITJ010000087.1	0.9323	0.0635	0.0042
JAJITJ010000007.1	0.0001	0.9999	0.0001
JAJITJ010000088.1	0.9760	0.0220	0.0021
JAJITJ010000089.1	0.9683	0.0287	0.0030
JAJITJ010000090.1	0.1573	0.8260	0.0167
JAJITJ010000091.1	0.9886	0.0103	0.0011
JAJITJ010000092.1	0.9250	0.0707	0.0043
JAJITJ010000093.1	0.9429	0.0543	0.0028
JAJITJ010000094.1	0.8904	0.0464	0.0631
JAJITJ010000095.1	0.0007	0.0034	0.9959
JAJITJ010000096.1	0.0507	0.9430	0.0063
JAJITJ010000008.1	0.0001	0.9998	0.0001
