seq_name	chromosome_score	plasmid_score	virus_score
JBJGLB010000001.1	1.0000	0.0000	0.0000
JBJGLB010000002.1	0.9997	0.0003	0.0000
JBJGLB010000003.1	1.0000	0.0000	0.0000
JBJGLB010000004.1	1.0000	0.0000	0.0000
JBJGLB010000005.1	0.9997	0.0003	0.0000
JBJGLB010000006.1	1.0000	0.0000	0.0000
JBJGLB010000007.1	0.9994	0.0006	0.0000
JBJGLB010000008.1	0.0004	0.9996	0.0000
JBJGLB010000009.1	1.0000	0.0000	0.0000
JBJGLB010000010.1	1.0000	0.0000	0.0000
JBJGLB010000011.1	0.9999	0.0001	0.0000
JBJGLB010000012.1	0.9848	0.0152	0.0000
JBJGLB010000013.1	0.9998	0.0002	0.0000
JBJGLB010000014.1	1.0000	0.0000	0.0000
JBJGLB010000015.1	1.0000	0.0000	0.0000
JBJGLB010000016.1	0.9997	0.0003	0.0000
JBJGLB010000017.1	1.0000	0.0000	0.0000
JBJGLB010000018.1	1.0000	0.0000	0.0000
JBJGLB010000019.1	1.0000	0.0000	0.0000
JBJGLB010000020.1	0.9999	0.0001	0.0000
JBJGLB010000021.1	0.9997	0.0003	0.0000
JBJGLB010000022.1	0.9999	0.0001	0.0000
JBJGLB010000023.1	0.9998	0.0002	0.0000
JBJGLB010000024.1	1.0000	0.0000	0.0000
JBJGLB010000025.1	0.9468	0.0532	0.0000
JBJGLB010000026.1	0.9968	0.0032	0.0000
JBJGLB010000027.1	1.0000	0.0000	0.0000
JBJGLB010000028.1	0.9999	0.0001	0.0000
JBJGLB010000029.1	0.9994	0.0006	0.0000
JBJGLB010000030.1	0.9989	0.0011	0.0000
JBJGLB010000031.1	0.9998	0.0002	0.0000
JBJGLB010000032.1	1.0000	0.0000	0.0000
JBJGLB010000033.1	1.0000	0.0000	0.0000
JBJGLB010000034.1	1.0000	0.0000	0.0000
JBJGLB010000035.1	0.9984	0.0016	0.0000
JBJGLB010000036.1	1.0000	0.0000	0.0000
JBJGLB010000037.1	0.9998	0.0002	0.0000
JBJGLB010000038.1	0.9998	0.0002	0.0000
JBJGLB010000039.1	0.9530	0.0470	0.0000
JBJGLB010000040.1	0.9969	0.0031	0.0000
JBJGLB010000041.1	1.0000	0.0000	0.0000
JBJGLB010000042.1	1.0000	0.0000	0.0000
JBJGLB010000043.1	0.0124	0.9876	0.0000
JBJGLB010000044.1	1.0000	0.0000	0.0000
JBJGLB010000045.1	0.9989	0.0011	0.0000
JBJGLB010000046.1	0.9678	0.0322	0.0000
JBJGLB010000047.1	0.9978	0.0022	0.0000
JBJGLB010000048.1	1.0000	0.0000	0.0000
JBJGLB010000049.1	1.0000	0.0000	0.0000
JBJGLB010000050.1	0.0003	0.9997	0.0000
JBJGLB010000051.1	0.0003	0.9997	0.0000
JBJGLB010000052.1	0.9984	0.0015	0.0001
JBJGLB010000053.1	0.9999	0.0001	0.0000
JBJGLB010000054.1	0.9999	0.0001	0.0000
JBJGLB010000055.1	0.0110	0.9890	0.0000
JBJGLB010000056.1	1.0000	0.0000	0.0000
JBJGLB010000057.1	0.9997	0.0003	0.0000
JBJGLB010000058.1	1.0000	0.0000	0.0000
JBJGLB010000059.1	0.9375	0.0625	0.0000
JBJGLB010000060.1	1.0000	0.0000	0.0000
JBJGLB010000061.1	0.9999	0.0001	0.0000
JBJGLB010000062.1	1.0000	0.0000	0.0000
JBJGLB010000063.1	0.9686	0.0314	0.0000
JBJGLB010000064.1	0.9999	0.0001	0.0000
JBJGLB010000065.1	0.9708	0.0220	0.0073
JBJGLB010000066.1	0.5541	0.4459	0.0000
JBJGLB010000067.1	0.0029	0.9971	0.0000
JBJGLB010000068.1	0.1297	0.8702	0.0001
JBJGLB010000069.1	0.0001	0.9999	0.0000
JBJGLB010000070.1	0.9827	0.0172	0.0000
JBJGLB010000071.1	0.0005	0.9994	0.0000
JBJGLB010000072.1	0.0026	0.9974	0.0000
JBJGLB010000073.1	0.0005	0.0021	0.9974
JBJGLB010000074.1	0.0006	0.9994	0.0000
JBJGLB010000075.1	0.9998	0.0002	0.0000
JBJGLB010000076.1	1.0000	0.0000	0.0000
JBJGLB010000077.1	0.0018	0.9982	0.0000
JBJGLB010000078.1	0.8192	0.1798	0.0010
JBJGLB010000079.1	0.9572	0.0428	0.0000
JBJGLB010000080.1	0.0008	0.9992	0.0000
JBJGLB010000081.1	0.8880	0.1119	0.0001
JBJGLB010000082.1	0.0000	0.9999	0.0000
