seq_name	chromosome_score	plasmid_score	virus_score
JAUALM020000001.1	0.9688	0.0285	0.0026
JAUALM020000010.1	0.9477	0.0486	0.0037
JAUALM020000011.1	0.9512	0.0456	0.0032
JAUALM020000012.1	0.9701	0.0276	0.0022
JAUALM020000013.1	0.9846	0.0137	0.0017
JAUALM020000014.1	0.9843	0.0141	0.0016
JAUALM020000015.1	0.9744	0.0227	0.0029
JAUALM020000016.1	0.9494	0.0470	0.0036
JAUALM020000017.1	0.9413	0.0534	0.0053
JAUALM020000018.1	0.9722	0.0256	0.0021
JAUALM020000019.1	0.9730	0.0248	0.0022
JAUALM020000002.1	0.9313	0.0640	0.0046
JAUALM020000020.1	0.9384	0.0570	0.0047
JAUALM020000021.1	0.9496	0.0466	0.0038
JAUALM020000022.1	0.1988	0.7967	0.0046
JAUALM020000023.1	0.9504	0.0457	0.0039
JAUALM020000024.1	0.8904	0.1027	0.0069
JAUALM020000025.1	0.0001	0.9998	0.0001
JAUALM020000026.1	0.0001	0.9995	0.0004
JAUALM020000027.1	0.8910	0.1035	0.0055
JAUALM020000028.1	0.9190	0.0745	0.0066
JAUALM020000029.1	0.9318	0.0650	0.0032
JAUALM020000003.1	0.9295	0.0660	0.0045
JAUALM020000030.1	0.9620	0.0355	0.0025
JAUALM020000031.1	0.9745	0.0238	0.0018
JAUALM020000032.1	0.0000	1.0000	0.0000
JAUALM020000033.1	0.9501	0.0466	0.0033
JAUALM020000034.1	0.9658	0.0315	0.0027
JAUALM020000035.1	0.0000	1.0000	0.0000
JAUALM020000036.1	0.7474	0.2437	0.0089
JAUALM020000037.1	0.9541	0.0421	0.0038
JAUALM020000038.1	0.0000	1.0000	0.0000
JAUALM020000039.1	0.9508	0.0459	0.0033
JAUALM020000004.1	0.9769	0.0210	0.0021
JAUALM020000040.1	0.0004	0.0025	0.9971
JAUALM020000041.1	0.0000	1.0000	0.0000
JAUALM020000042.1	0.9811	0.0172	0.0017
JAUALM020000043.1	0.8326	0.1601	0.0073
JAUALM020000044.1	0.0000	1.0000	0.0000
JAUALM020000045.1	0.0000	1.0000	0.0000
JAUALM020000046.1	0.0000	0.9999	0.0000
JAUALM020000047.1	0.0000	1.0000	0.0000
JAUALM020000048.1	0.0410	0.9518	0.0072
JAUALM020000049.1	0.0000	1.0000	0.0000
JAUALM020000005.1	0.9692	0.0284	0.0024
JAUALM020000050.1	0.9848	0.0054	0.0099
JAUALM020000051.1	0.0001	0.9997	0.0002
JAUALM020000052.1	0.1322	0.8479	0.0199
JAUALM020000053.1	0.0218	0.8501	0.1281
JAUALM020000054.1	0.0000	1.0000	0.0000
JAUALM020000055.1	0.0017	0.9970	0.0013
JAUALM020000056.1	0.0000	0.9999	0.0001
JAUALM020000057.1	0.0000	1.0000	0.0000
JAUALM020000058.1	0.0000	0.9998	0.0001
JAUALM020000059.1	0.9369	0.0616	0.0015
JAUALM020000006.1	0.9600	0.0370	0.0029
JAUALM020000060.1	0.4306	0.4065	0.1629
JAUALM020000061.1	0.9173	0.0336	0.0492
JAUALM020000062.1	0.0295	0.9477	0.0229
JAUALM020000063.1	0.8783	0.0881	0.0337
JAUALM020000064.1	0.0000	1.0000	0.0000
JAUALM020000065.1	0.1629	0.8326	0.0045
JAUALM020000066.1	0.5625	0.3821	0.0554
JAUALM020000067.1	0.0000	0.9999	0.0001
JAUALM020000068.1	0.0153	0.9657	0.0190
JAUALM020000069.1	0.0000	1.0000	0.0000
JAUALM020000007.1	0.9537	0.0429	0.0034
JAUALM020000070.1	0.0001	0.9998	0.0001
JAUALM020000071.1	0.5731	0.3086	0.1183
JAUALM020000072.1	0.5990	0.3244	0.0765
JAUALM020000073.1	0.8714	0.1120	0.0166
JAUALM020000074.1	0.4660	0.1734	0.3606
JAUALM020000075.1	0.0000	0.9999	0.0000
JAUALM020000076.1	0.2249	0.7502	0.0250
JAUALM020000077.1	0.3309	0.4466	0.2225
JAUALM020000078.1	0.0518	0.9428	0.0055
JAUALM020000079.1	0.3005	0.5259	0.1736
JAUALM020000008.1	0.9572	0.0396	0.0032
JAUALM020000080.1	0.1872	0.7364	0.0764
JAUALM020000081.1	0.0080	0.0045	0.9875
JAUALM020000082.1	0.1453	0.6315	0.2232
JAUALM020000083.1	0.8079	0.0412	0.1509
JAUALM020000084.1	0.3528	0.5032	0.1440
JAUALM020000085.1	0.4242	0.2497	0.3261
JAUALM020000086.1	0.7508	0.1797	0.0695
JAUALM020000087.1	0.2629	0.3743	0.3628
JAUALM020000088.1	0.3384	0.3383	0.3232
JAUALM020000089.1	0.9111	0.0271	0.0618
JAUALM020000009.1	0.9840	0.0146	0.0015
JAUALM020000090.1	0.0003	0.9996	0.0001
JAUALM020000091.1	0.8993	0.0474	0.0534
JAUALM020000092.1	0.9050	0.0300	0.0650
JAUALM020000093.1	0.4227	0.1707	0.4065
JAUALM020000094.1	0.8112	0.0735	0.1153
JAUALM020000095.1	0.7123	0.1529	0.1347
JAUALM020000096.1	0.2768	0.1335	0.5897
JAUALM020000097.1	0.4386	0.2626	0.2988
JAUALM020000098.1	0.0001	0.9999	0.0000
