seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
JTEI01000166.1	9182	No terminal repeats	9	11	1.0000	NA	1	4.1647	NA	NA
JTEI01000106.1	13979	No terminal repeats	16	11	1.0000	NA	3	11.4351	B_traI;T_virB6;MOBH	NA
JTEI01000168.1	9142	No terminal repeats	9	11	1.0000	NA	2	6.8956	T_virB5	NA
JTEI01000120.1	12672	No terminal repeats	11	11	1.0000	NA	0	5.5738	NA	NA
JTEI01000351.1	1091	No terminal repeats	2	11	0.9999	NA	1	3.4366	T_virB6	NA
JTEI01000074.1	24340	No terminal repeats	22	11	0.9999	NA	1	14.1824	NA	NA
JTEI01000197.1	6960	No terminal repeats	7	11	0.9999	NA	2	5.1548	T_virB6;T_virB6	NA
JTEI01000031.1	41618	No terminal repeats	32	11	0.9998	NA	0	6.3270	NA	NA
JTEI01000068.1	17616	No terminal repeats	15	11	0.9998	NA	0	2.4361	NA	NA
JTEI01000198.1	6875	No terminal repeats	6	11	0.9998	NA	0	1.3688	NA	NA
JTEI01000001.1	94569	No terminal repeats	101	11	0.9998	NA	6	18.8559	I_traY;I_traK;I_traI;I_traN;traU	NA
JTEI01000077.1	16807	No terminal repeats	12	11	0.9997	NA	0	3.3768	NA	NA
JTEI01000178.1	8490	No terminal repeats	12	11	0.9996	NA	0	2.8795	NA	NA
JTEI01000060.1	18704	No terminal repeats	18	11	0.9993	NA	1	1.2243	NA	NA
JTEI01000143.1	12254	No terminal repeats	12	11	0.9993	NA	0	1.4806	NA	NA
JTEI01000125.1	11885	No terminal repeats	12	11	0.9993	NA	0	2.5829	NA	NA
JTEI01000132.1	11546	No terminal repeats	12	11	0.9990	NA	0	1.3469	NA	NA
JTEI01000135.1	11319	No terminal repeats	15	11	0.9989	NA	0	2.6142	I_traW	NA
JTEI01000151.1	10024	No terminal repeats	12	11	0.9985	NA	0	2.7248	NA	NA
JTEI01000196.1	7099	No terminal repeats	6	11	0.9981	NA	0	1.7183	NA	NA
JTEI01000138.1	11087	No terminal repeats	11	11	0.9968	NA	2	3.2584	T_virB8;T_virB9	NA
JTEI01000233.1	5372	No terminal repeats	5	11	0.9963	NA	0	1.1925	NA	NA
JTEI01000116.1	24950	No terminal repeats	21	11	0.9961	NA	0	2.8514	NA	NF012174
JTEI01000176.1	14568	No terminal repeats	19	11	0.9955	NA	0	2.6363	NA	NA
JTEI01000002.1	47318	No terminal repeats	28	11	0.9952	NA	0	3.0142	NA	NF000272
JTEI01000065.1	18863	No terminal repeats	19	11	0.9924	NA	0	0.3959	NA	NA
JTEI01000230.1	5531	No terminal repeats	6	11	0.9920	NA	0	1.5807	NA	NA
JTEI01000182.1	10195	No terminal repeats	10	11	0.9908	NA	3	1.3091	B_traI;B_traI;T_virB6	NA
JTEI01000101.1	14644	No terminal repeats	16	11	0.9907	NA	0	0.5447	NA	NA
JTEI01000206.1	18851	No terminal repeats	18	11	0.9895	NA	0	3.3872	NA	NA
JTEI01000100.1	14674	No terminal repeats	13	11	0.9882	NA	0	0.8771	NA	NA
JTEI01000234.1	5304	No terminal repeats	7	11	0.9863	NA	0	0.7375	NA	NA
JTEI01000207.1	8499	No terminal repeats	10	11	0.9798	NA	1	1.7224	I_trbA	NA
JTEI01000247.1	4621	No terminal repeats	4	11	0.9689	NA	0	1.2693	NA	NA
JTEI01000257.1	4105	No terminal repeats	4	11	0.9495	NA	0	0.9940	NA	NA
JTEI01000147.1	10551	No terminal repeats	7	11	0.9164	NA	0	2.5036	NA	NA
JTEI01000080.1	27509	No terminal repeats	28	11	0.8784	NA	1	0.5425	NA	NA
JTEI01000223.1	5734	No terminal repeats	5	11	0.8762	NA	0	0.8484	NA	NA
JTEI01000148.1	10591	No terminal repeats	8	11	0.8720	NA	0	0.4016	NA	NA
JTEI01000270.1	3500	No terminal repeats	4	11	0.8582	NA	0	1.0712	NA	NA
JTEI01000104.1	15881	No terminal repeats	11	11	0.8382	NA	0	2.7215	NA	NA
JTEI01000200.1	9354	No terminal repeats	10	11	0.8371	NA	0	1.4504	NA	NA
JTEI01000246.1	4585	No terminal repeats	4	11	0.8027	NA	0	0.2185	NA	NA
JTEI01000264.1	3713	No terminal repeats	3	11	0.7882	NA	0	1.2772	NA	NA
JTEI01000027.1	25117	No terminal repeats	20	11	0.7494	NA	0	0.7238	NA	NA
