seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
JAJITV010000038.1	2581	No terminal repeats	3	11	1.0000	NA	2	4.4475	T_virB5	NA
JAJITV010000121.1	19185	No terminal repeats	27	11	1.0000	NA	6	13.9186	I_traL;I_traK;I_traI;MOBP1	NA
JAJITV010000001.1	31328	No terminal repeats	41	11	1.0000	NA	11	25.6300	T_virB6;T_virB5;virb4;t4cp2;T_virB1;T_virB10;T_virB9;T_virB6	NA
JAJITV010000099.1	11826	No terminal repeats	12	11	1.0000	NA	2	6.8731	T_virB6;B_traI	NA
JAJITV010000077.1	33209	No terminal repeats	30	11	1.0000	NA	2	17.8362	NA	NA
JAJITV010000019.1	19743	No terminal repeats	20	11	0.9999	NA	6	19.3511	I_traY;I_traW;traU;I_traR;I_traQ;I_traP;I_traO;I_traN	NA
JAJITV010000070.1	41534	No terminal repeats	54	11	0.9999	NA	11	18.8977	T_virB10;T_virB9;T_virB8;T_virB6;T_virB5;T_virB3;T_virB2;I_traV	NA
JAJITV010000028.1	13406	No terminal repeats	13	11	0.9999	NA	2	7.8607	NA	NA
JAJITV010000098.1	48719	No terminal repeats	53	11	0.9999	NA	0	15.2682	NA	NA
JAJITV010000075.1	8637	No terminal repeats	9	11	0.9999	NA	0	4.9816	NA	NA
JAJITV010000032.1	3736	No terminal repeats	5	11	0.9998	NA	0	1.3688	NA	NA
JAJITV010000005.1	23164	No terminal repeats	20	11	0.9997	NA	2	11.7573	I_trbB;I_trbA	NA
JAJITV010000085.1	62489	No terminal repeats	61	11	0.9992	NA	0	0.6677	NA	NA
JAJITV010000030.1	12792	No terminal repeats	13	11	0.9992	NA	0	0.6240	NA	NA
JAJITV010000009.1	7114	No terminal repeats	5	11	0.9988	NA	0	1.3109	NA	NA
JAJITV010000074.1	22623	No terminal repeats	16	11	0.9987	NA	0	3.7441	NA	NA
JAJITV010000046.1	20438	No terminal repeats	15	11	0.9911	NA	0	1.1923	NA	NA
JAJITV010000048.1	19493	No terminal repeats	18	11	0.9911	NA	0	0.3959	NA	NA
JAJITV010000112.1	11640	No terminal repeats	9	11	0.9533	NA	0	0.3918	NA	NA
JAJITV010000045.1	33974	No terminal repeats	27	11	0.7377	NA	0	0.9635	NA	NF012174
