seq_name	chromosome_score	plasmid_score	virus_score
JAWUDR010000010.1	0.9862	0.0124	0.0013
JAWUDR010000011.1	0.9730	0.0248	0.0022
JAWUDR010000012.1	0.9381	0.0572	0.0047
JAWUDR010000013.1	0.9274	0.0678	0.0048
JAWUDR010000014.1	0.9191	0.0760	0.0049
JAWUDR010000015.1	0.9775	0.0203	0.0022
JAWUDR010000016.1	0.9844	0.0139	0.0018
JAWUDR010000017.1	0.9523	0.0442	0.0035
JAWUDR010000018.1	0.9225	0.0711	0.0064
JAWUDR010000019.1	0.9696	0.0282	0.0022
JAWUDR010000001.1	0.9679	0.0294	0.0027
JAWUDR010000020.1	0.9876	0.0112	0.0012
JAWUDR010000021.1	0.9266	0.0683	0.0051
JAWUDR010000022.1	0.9457	0.0497	0.0045
JAWUDR010000023.1	0.1650	0.8305	0.0045
JAWUDR010000024.1	0.8672	0.1249	0.0079
JAWUDR010000025.1	0.7766	0.2145	0.0089
JAWUDR010000026.1	0.9364	0.0599	0.0037
JAWUDR010000027.1	0.9522	0.0444	0.0033
JAWUDR010000028.1	0.0000	0.9999	0.0001
JAWUDR010000029.1	0.8999	0.0961	0.0039
JAWUDR010000002.1	0.9509	0.0458	0.0034
JAWUDR010000030.1	0.0001	0.9999	0.0000
JAWUDR010000031.1	0.9872	0.0115	0.0013
JAWUDR010000032.1	0.9770	0.0212	0.0018
JAWUDR010000033.1	0.9457	0.0497	0.0046
JAWUDR010000034.1	0.9557	0.0410	0.0033
JAWUDR010000035.1	0.0000	1.0000	0.0000
JAWUDR010000036.1	0.8377	0.1521	0.0102
JAWUDR010000037.1	0.0003	0.0019	0.9978
JAWUDR010000038.1	0.0000	0.9999	0.0001
JAWUDR010000039.1	0.0000	1.0000	0.0000
JAWUDR010000003.1	0.9759	0.0222	0.0020
JAWUDR010000040.1	0.9632	0.0337	0.0031
JAWUDR010000041.1	0.0003	0.9996	0.0002
JAWUDR010000042.1	0.0000	1.0000	0.0000
JAWUDR010000043.1	0.9763	0.0220	0.0017
JAWUDR010000044.1	0.0000	1.0000	0.0000
JAWUDR010000045.1	0.0000	1.0000	0.0000
JAWUDR010000046.1	0.0000	0.9999	0.0000
JAWUDR010000047.1	0.0195	0.9752	0.0053
JAWUDR010000048.1	0.0000	1.0000	0.0000
JAWUDR010000049.1	0.0005	0.9989	0.0006
JAWUDR010000004.1	0.9192	0.0757	0.0051
JAWUDR010000050.1	0.0000	0.9999	0.0001
JAWUDR010000051.1	0.0000	1.0000	0.0000
JAWUDR010000052.1	0.8674	0.1241	0.0085
JAWUDR010000053.1	0.0093	0.9581	0.0325
JAWUDR010000054.1	0.0000	1.0000	0.0000
JAWUDR010000055.1	0.9878	0.0112	0.0010
JAWUDR010000056.1	0.0000	1.0000	0.0000
JAWUDR010000057.1	0.9984	0.0013	0.0003
JAWUDR010000058.1	0.0632	0.9338	0.0030
JAWUDR010000059.1	0.3772	0.6072	0.0156
JAWUDR010000005.1	0.9727	0.0252	0.0021
JAWUDR010000060.1	0.0001	0.9998	0.0001
JAWUDR010000061.1	0.4182	0.4963	0.0855
JAWUDR010000062.1	0.0234	0.9578	0.0188
JAWUDR010000063.1	0.0001	0.9997	0.0002
JAWUDR010000064.1	0.9441	0.0465	0.0094
JAWUDR010000065.1	0.0003	0.9990	0.0008
JAWUDR010000066.1	0.0144	0.9747	0.0109
JAWUDR010000067.1	0.8977	0.0884	0.0140
JAWUDR010000068.1	0.2713	0.3354	0.3933
JAWUDR010000069.1	0.0930	0.8134	0.0936
JAWUDR010000006.1	0.9459	0.0503	0.0038
JAWUDR010000070.1	0.7673	0.2036	0.0291
JAWUDR010000071.1	0.1473	0.6864	0.1662
JAWUDR010000072.1	0.5358	0.3384	0.1258
JAWUDR010000073.1	0.0002	0.9998	0.0001
JAWUDR010000074.1	0.6878	0.1083	0.2039
JAWUDR010000075.1	0.2953	0.4782	0.2266
JAWUDR010000076.1	0.0626	0.9308	0.0066
JAWUDR010000077.1	0.0494	0.7177	0.2329
JAWUDR010000078.1	0.9792	0.0087	0.0121
JAWUDR010000079.1	0.4979	0.2751	0.2270
JAWUDR010000007.1	0.9484	0.0480	0.0036
JAWUDR010000080.1	0.1530	0.5829	0.2641
JAWUDR010000081.1	0.1453	0.6315	0.2232
JAWUDR010000082.1	0.5238	0.3848	0.0914
JAWUDR010000083.1	0.8720	0.0672	0.0608
JAWUDR010000084.1	0.8905	0.0692	0.0403
JAWUDR010000085.1	0.8229	0.0568	0.1203
JAWUDR010000086.1	0.8540	0.1451	0.0008
JAWUDR010000087.1	0.8110	0.1880	0.0010
JAWUDR010000088.1	0.6669	0.2683	0.0649
JAWUDR010000089.1	0.7046	0.0704	0.2250
JAWUDR010000008.1	0.9607	0.0363	0.0030
JAWUDR010000090.1	0.0003	0.9997	0.0000
JAWUDR010000009.1	0.9641	0.0330	0.0028
