seq_name	chromosome_score	plasmid_score	virus_score
JAJIVV010000098.1	0.7836	0.2149	0.0015
JAJIVV010000099.1	0.4406	0.5239	0.0354
JAJIVV010000100.1	0.2548	0.4311	0.3140
JAJIVV010000101.1	0.4660	0.4941	0.0399
JAJIVV010000102.1	0.1180	0.8156	0.0664
JAJIVV010000103.1	0.0020	0.9530	0.0450
JAJIVV010000104.1	0.4651	0.5216	0.0133
JAJIVV010000105.1	0.4879	0.4450	0.0672
JAJIVV010000106.1	0.4430	0.5389	0.0181
JAJIVV010000107.1	0.4859	0.5044	0.0097
JAJIVV010000009.1	0.4835	0.2522	0.2643
JAJIVV010000108.1	0.4229	0.5520	0.0251
JAJIVV010000109.1	0.3799	0.4519	0.1682
JAJIVV010000010.1	0.5078	0.4557	0.0365
JAJIVV010000011.1	0.4221	0.5487	0.0293
JAJIVV010000012.1	0.1665	0.4203	0.4132
JAJIVV010000013.1	0.4916	0.4838	0.0246
JAJIVV010000014.1	0.2333	0.3203	0.4464
JAJIVV010000015.1	0.4064	0.5151	0.0785
JAJIVV010000016.1	0.2456	0.6366	0.1178
JAJIVV010000017.1	0.3477	0.6487	0.0036
JAJIVV010000018.1	0.4389	0.5352	0.0259
JAJIVV010000001.1	0.0032	0.8727	0.1241
JAJIVV010000019.1	0.5703	0.4133	0.0164
JAJIVV010000020.1	0.1932	0.5398	0.2670
JAJIVV010000021.1	0.1469	0.7984	0.0547
JAJIVV010000022.1	0.2967	0.4306	0.2727
JAJIVV010000023.1	0.4125	0.3740	0.2135
JAJIVV010000024.1	0.5329	0.4531	0.0140
JAJIVV010000025.1	0.4536	0.4156	0.1307
JAJIVV010000026.1	0.0116	0.8382	0.1503
JAJIVV010000027.1	0.3387	0.6453	0.0160
JAJIVV010000002.1	0.4344	0.5087	0.0570
JAJIVV010000028.1	0.0139	0.7941	0.1920
JAJIVV010000029.1	0.5101	0.4646	0.0253
JAJIVV010000030.1	0.0895	0.8478	0.0627
JAJIVV010000031.1	0.4612	0.5230	0.0157
JAJIVV010000032.1	0.0976	0.8523	0.0501
JAJIVV010000033.1	0.5150	0.4750	0.0100
JAJIVV010000034.1	0.6236	0.3338	0.0426
JAJIVV010000035.1	0.0222	0.7965	0.1813
JAJIVV010000036.1	0.5103	0.4811	0.0086
JAJIVV010000037.1	0.4510	0.5338	0.0152
JAJIVV010000003.1	0.4803	0.5069	0.0128
JAJIVV010000038.1	0.6081	0.3332	0.0588
JAJIVV010000039.1	0.4091	0.5796	0.0113
JAJIVV010000040.1	0.0604	0.6381	0.3014
JAJIVV010000041.1	0.4657	0.5305	0.0038
JAJIVV010000042.1	0.5433	0.4464	0.0103
JAJIVV010000043.1	0.2794	0.4002	0.3204
JAJIVV010000044.1	0.6535	0.2255	0.1210
JAJIVV010000045.1	0.4560	0.5162	0.0277
JAJIVV010000046.1	0.3918	0.6013	0.0070
JAJIVV010000047.1	0.5636	0.4251	0.0113
JAJIVV010000004.1	0.4654	0.5272	0.0074
JAJIVV010000048.1	0.5065	0.4866	0.0070
JAJIVV010000049.1	0.3943	0.5665	0.0392
JAJIVV010000050.1	0.3320	0.5209	0.1472
JAJIVV010000051.1	0.4709	0.4797	0.0494
JAJIVV010000052.1	0.5503	0.2642	0.1855
JAJIVV010000053.1	0.5127	0.4505	0.0368
JAJIVV010000054.1	0.0006	0.9455	0.0539
JAJIVV010000055.1	0.5164	0.4781	0.0056
JAJIVV010000056.1	0.4272	0.5383	0.0345
JAJIVV010000057.1	0.4361	0.3869	0.1770
JAJIVV010000058.1	0.0116	0.8400	0.1485
JAJIVV010000059.1	0.3404	0.3619	0.2976
JAJIVV010000060.1	0.3233	0.3262	0.3505
JAJIVV010000061.1	0.4349	0.5265	0.0386
JAJIVV010000062.1	0.2232	0.5651	0.2117
JAJIVV010000063.1	0.0725	0.2184	0.7091
JAJIVV010000064.1	0.6615	0.2568	0.0817
JAJIVV010000065.1	0.4576	0.1483	0.3941
JAJIVV010000066.1	0.5699	0.2688	0.1613
JAJIVV010000067.1	0.4374	0.5077	0.0549
JAJIVV010000005.1	0.3902	0.5975	0.0123
JAJIVV010000068.1	0.7052	0.1033	0.1914
JAJIVV010000069.1	0.1580	0.6272	0.2148
JAJIVV010000070.1	0.0002	0.8565	0.1434
JAJIVV010000071.1	0.6158	0.3421	0.0422
JAJIVV010000072.1	0.4181	0.5817	0.0002
JAJIVV010000073.1	0.0877	0.5950	0.3173
JAJIVV010000074.1	0.0002	0.8223	0.1775
JAJIVV010000075.1	0.0041	0.8236	0.1724
JAJIVV010000076.1	0.2693	0.6099	0.1207
JAJIVV010000077.1	0.3933	0.6054	0.0012
JAJIVV010000006.1	0.5295	0.3376	0.1329
JAJIVV010000078.1	0.4527	0.5130	0.0343
JAJIVV010000079.1	0.1187	0.8023	0.0789
JAJIVV010000080.1	0.4107	0.3163	0.2730
JAJIVV010000081.1	0.5127	0.3904	0.0968
JAJIVV010000082.1	0.3474	0.6171	0.0356
JAJIVV010000083.1	0.5707	0.3405	0.0888
JAJIVV010000084.1	0.4930	0.4981	0.0089
JAJIVV010000085.1	0.5326	0.4515	0.0159
JAJIVV010000086.1	0.4539	0.5221	0.0240
JAJIVV010000087.1	0.0323	0.9408	0.0269
JAJIVV010000007.1	0.0089	0.9714	0.0197
JAJIVV010000088.1	0.5702	0.3511	0.0787
JAJIVV010000089.1	0.4948	0.4817	0.0235
JAJIVV010000090.1	0.1836	0.5556	0.2608
JAJIVV010000091.1	0.3339	0.3683	0.2978
JAJIVV010000092.1	0.2524	0.5754	0.1722
JAJIVV010000093.1	0.1895	0.7876	0.0230
JAJIVV010000094.1	0.4643	0.5234	0.0122
JAJIVV010000095.1	0.6579	0.3303	0.0118
JAJIVV010000096.1	0.3594	0.6287	0.0119
JAJIVV010000097.1	0.5325	0.4540	0.0134
JAJIVV010000008.1	0.4227	0.5614	0.0159
