seq_name	chromosome_score	plasmid_score	virus_score
JAWUDQ010000010.1	0.4518	0.5354	0.0129
JAWUDQ010000011.1	0.5097	0.4635	0.0268
JAWUDQ010000012.1	0.4068	0.5711	0.0221
JAWUDQ010000013.1	0.5030	0.4660	0.0309
JAWUDQ010000014.1	0.5768	0.4154	0.0078
JAWUDQ010000015.1	0.4738	0.4972	0.0290
JAWUDQ010000016.1	0.5351	0.4548	0.0102
JAWUDQ010000017.1	0.4993	0.4602	0.0406
JAWUDQ010000018.1	0.5339	0.4588	0.0073
JAWUDQ010000019.1	0.4940	0.4952	0.0109
JAWUDQ010000001.1	0.4898	0.4847	0.0255
JAWUDQ010000020.1	0.4189	0.5267	0.0544
JAWUDQ010000021.1	0.3513	0.6139	0.0348
JAWUDQ010000022.1	0.4153	0.5478	0.0369
JAWUDQ010000023.1	0.3260	0.6528	0.0213
JAWUDQ010000024.1	0.3531	0.5346	0.1122
JAWUDQ010000025.1	0.6878	0.2991	0.0131
JAWUDQ010000026.1	0.5193	0.4667	0.0140
JAWUDQ010000027.1	0.5130	0.4035	0.0835
JAWUDQ010000028.1	0.3492	0.6186	0.0323
JAWUDQ010000029.1	0.4591	0.5214	0.0195
JAWUDQ010000002.1	0.4291	0.5480	0.0229
JAWUDQ010000030.1	0.3090	0.6721	0.0189
JAWUDQ010000031.1	0.4995	0.4721	0.0284
JAWUDQ010000032.1	0.0153	0.7894	0.1953
JAWUDQ010000033.1	0.3208	0.6398	0.0394
JAWUDQ010000034.1	0.5678	0.3932	0.0391
JAWUDQ010000035.1	0.6111	0.3502	0.0387
JAWUDQ010000036.1	0.4751	0.5016	0.0233
JAWUDQ010000037.1	0.4688	0.4101	0.1210
JAWUDQ010000038.1	0.0033	0.9050	0.0917
JAWUDQ010000039.1	0.4560	0.5203	0.0236
JAWUDQ010000003.1	0.5122	0.4728	0.0150
JAWUDQ010000040.1	0.3049	0.5314	0.1636
JAWUDQ010000041.1	0.4125	0.5508	0.0368
JAWUDQ010000042.1	0.0017	0.8916	0.1067
JAWUDQ010000043.1	0.2145	0.5152	0.2703
JAWUDQ010000044.1	0.1003	0.7423	0.1574
JAWUDQ010000045.1	0.7092	0.2559	0.0349
JAWUDQ010000046.1	0.0005	0.9558	0.0437
JAWUDQ010000047.1	0.1281	0.7093	0.1626
JAWUDQ010000048.1	0.1178	0.8609	0.0212
JAWUDQ010000049.1	0.5358	0.4519	0.0124
JAWUDQ010000004.1	0.4239	0.5524	0.0238
JAWUDQ010000050.1	0.0033	0.8378	0.1589
JAWUDQ010000051.1	0.0673	0.8361	0.0966
JAWUDQ010000052.1	0.0072	0.8910	0.1018
JAWUDQ010000053.1	0.1805	0.7141	0.1054
JAWUDQ010000054.1	0.0000	0.9963	0.0037
JAWUDQ010000055.1	0.0008	0.8255	0.1737
JAWUDQ010000056.1	0.3409	0.6502	0.0089
JAWUDQ010000057.1	0.0434	0.8125	0.1441
JAWUDQ010000058.1	0.0646	0.9022	0.0332
JAWUDQ010000059.1	0.0128	0.9678	0.0194
JAWUDQ010000005.1	0.4681	0.5106	0.0213
JAWUDQ010000060.1	0.8864	0.0788	0.0348
JAWUDQ010000061.1	0.2428	0.7448	0.0124
JAWUDQ010000062.1	0.2894	0.5211	0.1895
JAWUDQ010000063.1	0.0074	0.1529	0.8397
JAWUDQ010000064.1	0.0074	0.7332	0.2595
JAWUDQ010000065.1	0.5102	0.3538	0.1361
JAWUDQ010000066.1	0.4884	0.3314	0.1802
JAWUDQ010000067.1	0.5315	0.4146	0.0539
JAWUDQ010000068.1	0.2333	0.7477	0.0190
JAWUDQ010000069.1	0.5016	0.4254	0.0730
JAWUDQ010000006.1	0.4893	0.4849	0.0258
JAWUDQ010000070.1	0.2268	0.5706	0.2026
JAWUDQ010000071.1	0.3422	0.4277	0.2301
JAWUDQ010000072.1	0.2930	0.5614	0.1457
JAWUDQ010000073.1	0.2018	0.6887	0.1095
JAWUDQ010000074.1	0.4370	0.2401	0.3229
JAWUDQ010000075.1	0.3018	0.4401	0.2582
JAWUDQ010000076.1	0.6349	0.2559	0.1093
JAWUDQ010000077.1	0.4061	0.4844	0.1095
JAWUDQ010000078.1	0.1663	0.4061	0.4276
JAWUDQ010000079.1	0.1864	0.6494	0.1641
JAWUDQ010000007.1	0.5252	0.4463	0.0285
JAWUDQ010000080.1	0.8634	0.0861	0.0505
JAWUDQ010000081.1	0.1963	0.4214	0.3823
JAWUDQ010000082.1	0.5805	0.3196	0.0999
JAWUDQ010000083.1	0.2402	0.5548	0.2049
JAWUDQ010000084.1	0.3514	0.3740	0.2746
JAWUDQ010000085.1	0.3248	0.4624	0.2129
JAWUDQ010000086.1	0.3821	0.1722	0.4457
JAWUDQ010000087.1	0.2587	0.2671	0.4742
JAWUDQ010000088.1	0.6172	0.1950	0.1878
JAWUDQ010000089.1	0.2780	0.3201	0.4019
JAWUDQ010000008.1	0.3927	0.5856	0.0217
JAWUDQ010000009.1	0.4632	0.5076	0.0292
