seq_name	chromosome_score	plasmid_score	virus_score
JBHJBY010000001.1	1.0000	0.0000	0.0000
JBHJBY010000002.1	0.9993	0.0007	0.0000
JBHJBY010000003.1	1.0000	0.0000	0.0000
JBHJBY010000004.1	0.9996	0.0004	0.0000
JBHJBY010000005.1	0.9999	0.0001	0.0000
JBHJBY010000006.1	0.9994	0.0006	0.0000
JBHJBY010000007.1	1.0000	0.0000	0.0000
JBHJBY010000008.1	0.9997	0.0003	0.0000
JBHJBY010000009.1	1.0000	0.0000	0.0000
JBHJBY010000010.1	0.9999	0.0001	0.0000
JBHJBY010000011.1	1.0000	0.0000	0.0000
JBHJBY010000012.1	1.0000	0.0000	0.0000
JBHJBY010000013.1	1.0000	0.0000	0.0000
JBHJBY010000014.1	1.0000	0.0000	0.0000
JBHJBY010000015.1	0.9999	0.0001	0.0000
JBHJBY010000016.1	0.9999	0.0001	0.0000
JBHJBY010000017.1	0.9999	0.0001	0.0000
JBHJBY010000018.1	0.9999	0.0001	0.0000
JBHJBY010000019.1	1.0000	0.0000	0.0000
JBHJBY010000020.1	0.9998	0.0002	0.0000
JBHJBY010000021.1	0.9999	0.0001	0.0000
JBHJBY010000022.1	0.6512	0.3488	0.0000
JBHJBY010000023.1	0.9998	0.0002	0.0000
JBHJBY010000024.1	1.0000	0.0000	0.0000
JBHJBY010000025.1	1.0000	0.0000	0.0000
JBHJBY010000026.1	0.9907	0.0092	0.0000
JBHJBY010000027.1	0.9989	0.0011	0.0000
JBHJBY010000028.1	0.1149	0.8851	0.0000
JBHJBY010000029.1	1.0000	0.0000	0.0000
JBHJBY010000030.1	0.0112	0.9888	0.0000
JBHJBY010000031.1	0.9691	0.0309	0.0000
JBHJBY010000032.1	0.9889	0.0111	0.0000
JBHJBY010000033.1	0.0003	0.9997	0.0000
JBHJBY010000034.1	1.0000	0.0000	0.0000
JBHJBY010000035.1	0.9933	0.0067	0.0000
JBHJBY010000036.1	1.0000	0.0000	0.0000
JBHJBY010000037.1	0.0001	0.0009	0.9990
JBHJBY010000038.1	1.0000	0.0000	0.0000
JBHJBY010000039.1	0.0003	0.9997	0.0000
JBHJBY010000040.1	0.0000	1.0000	0.0000
JBHJBY010000041.1	0.0038	0.9962	0.0000
JBHJBY010000042.1	0.0001	0.9999	0.0000
JBHJBY010000043.1	0.9480	0.0494	0.0027
JBHJBY010000044.1	0.0005	0.9995	0.0000
JBHJBY010000045.1	0.0001	0.9997	0.0002
JBHJBY010000046.1	0.0001	0.9999	0.0000
JBHJBY010000047.1	0.0029	0.9971	0.0000
JBHJBY010000048.1	0.0127	0.9873	0.0000
JBHJBY010000049.1	0.0001	0.9998	0.0001
JBHJBY010000050.1	0.0001	0.9997	0.0001
JBHJBY010000051.1	0.0008	0.9992	0.0000
JBHJBY010000052.1	0.0011	0.9988	0.0001
JBHJBY010000053.1	0.9888	0.0111	0.0001
JBHJBY010000054.1	0.6331	0.1372	0.2297
JBHJBY010000055.1	0.0048	0.9948	0.0005
JBHJBY010000056.1	0.0511	0.9488	0.0000
JBHJBY010000057.1	0.9819	0.0167	0.0014
JBHJBY010000058.1	0.7906	0.2090	0.0004
JBHJBY010000059.1	0.0022	0.9977	0.0000
JBHJBY010000060.1	0.8081	0.0683	0.1236
JBHJBY010000061.1	0.7140	0.0277	0.2583
JBHJBY010000062.1	0.4661	0.2182	0.3157
JBHJBY010000063.1	0.8127	0.1430	0.0443
JBHJBY010000064.1	0.9311	0.0372	0.0317
JBHJBY010000065.1	0.5449	0.2117	0.2434
JBHJBY010000066.1	0.7066	0.0299	0.2635
JBHJBY010000067.1	0.8951	0.0730	0.0319
JBHJBY010000068.1	0.6828	0.0272	0.2900
JBHJBY010000069.1	0.8281	0.1230	0.0490
JBHJBY010000070.1	0.9790	0.0206	0.0004
JBHJBY010000071.1	0.9177	0.0410	0.0413
JBHJBY010000072.1	0.7940	0.0696	0.1364
JBHJBY010000073.1	0.7193	0.0400	0.2408
JBHJBY010000074.1	0.0037	0.9963	0.0001
JBHJBY010000075.1	0.7014	0.0516	0.2470
JBHJBY010000076.1	0.8721	0.0685	0.0595
JBHJBY010000077.1	0.6828	0.0272	0.2900
JBHJBY010000078.1	0.6398	0.3581	0.0021
JBHJBY010000079.1	0.6828	0.0272	0.2900
JBHJBY010000080.1	0.6364	0.0281	0.3354
JBHJBY010000081.1	0.0105	0.9868	0.0027
JBHJBY010000082.1	0.6254	0.0049	0.3697
JBHJBY010000083.1	0.7618	0.2367	0.0015
JBHJBY010000084.1	0.5813	0.4175	0.0012
JBHJBY010000085.1	0.7594	0.1093	0.1313
JBHJBY010000086.1	0.9093	0.0642	0.0264
JBHJBY010000087.1	0.0248	0.0003	0.9748
JBHJBY010000088.1	0.6370	0.0273	0.3357
JBHJBY010000089.1	0.7096	0.0488	0.2416
JBHJBY010000090.1	0.0585	0.9409	0.0006
JBHJBY010000091.1	0.6516	0.1156	0.2329
JBHJBY010000092.1	0.6306	0.1432	0.2263
JBHJBY010000093.1	0.6014	0.1648	0.2338
JBHJBY010000094.1	0.0143	0.9840	0.0017
JBHJBY010000095.1	0.6650	0.0294	0.3056
JBHJBY010000096.1	0.6821	0.0706	0.2473
JBHJBY010000097.1	0.6650	0.0294	0.3056
JBHJBY010000098.1	0.5680	0.1944	0.2376
JBHJBY010000099.1	0.6619	0.0310	0.3071
JBHJBY010000100.1	0.6536	0.0306	0.3158
JBHJBY010000101.1	0.6097	0.0285	0.3618
JBHJBY010000102.1	0.6786	0.0324	0.2889
JBHJBY010000103.1	0.7116	0.2872	0.0012
JBHJBY010000104.1	0.7914	0.0481	0.1605
JBHJBY010000105.1	0.9605	0.0074	0.0321
JBHJBY010000106.1	0.6633	0.0290	0.3077
JBHJBY010000107.1	0.7323	0.0338	0.2338
JBHJBY010000108.1	0.6951	0.0577	0.2472
JBHJBY010000109.1	0.6828	0.0272	0.2900
JBHJBY010000110.1	0.6813	0.0326	0.2861
JBHJBY010000111.1	0.6295	0.0294	0.3410
JBHJBY010000112.1	0.4479	0.4238	0.1283
JBHJBY010000113.1	0.6786	0.0324	0.2889
