seq_name	chromosome_score	plasmid_score	virus_score
JAJIVQ010000010.1	0.7775	0.0931	0.1295
JAJIVQ010000011.1	0.9999	0.0001	0.0000
JAJIVQ010000012.1	1.0000	0.0000	0.0000
JAJIVQ010000013.1	1.0000	0.0000	0.0000
JAJIVQ010000014.1	1.0000	0.0000	0.0000
JAJIVQ010000015.1	0.0002	0.9998	0.0000
JAJIVQ010000016.1	1.0000	0.0000	0.0000
JAJIVQ010000017.1	0.9999	0.0001	0.0000
JAJIVQ010000018.1	0.0067	0.9932	0.0000
JAJIVQ010000001.1	1.0000	0.0000	0.0000
JAJIVQ010000019.1	1.0000	0.0000	0.0000
JAJIVQ010000020.1	0.9996	0.0004	0.0000
JAJIVQ010000021.1	1.0000	0.0000	0.0000
JAJIVQ010000022.1	0.9999	0.0001	0.0000
JAJIVQ010000023.1	0.9999	0.0001	0.0000
JAJIVQ010000024.1	0.0145	0.9840	0.0015
JAJIVQ010000025.1	0.6331	0.1372	0.2297
JAJIVQ010000026.1	0.9988	0.0012	0.0000
JAJIVQ010000027.1	0.9998	0.0002	0.0000
JAJIVQ010000028.1	0.4509	0.0039	0.5452
JAJIVQ010000002.1	0.7356	0.2395	0.0250
JAJIVQ010000029.1	0.5919	0.4057	0.0025
JAJIVQ010000030.1	0.8610	0.1390	0.0000
JAJIVQ010000031.1	0.0023	0.9977	0.0000
JAJIVQ010000032.1	0.0001	0.9999	0.0000
JAJIVQ010000033.1	1.0000	0.0000	0.0000
JAJIVQ010000034.1	0.7775	0.0931	0.1295
JAJIVQ010000035.1	0.0341	0.9646	0.0013
JAJIVQ010000036.1	0.9997	0.0003	0.0000
JAJIVQ010000037.1	0.9994	0.0006	0.0000
JAJIVQ010000038.1	1.0000	0.0000	0.0000
JAJIVQ010000003.1	0.9233	0.0437	0.0330
JAJIVQ010000039.1	0.9993	0.0007	0.0000
JAJIVQ010000040.1	0.8728	0.0204	0.1069
JAJIVQ010000041.1	0.9996	0.0004	0.0000
JAJIVQ010000042.1	0.6424	0.1171	0.2405
JAJIVQ010000043.1	1.0000	0.0000	0.0000
JAJIVQ010000044.1	0.0041	0.9959	0.0000
JAJIVQ010000045.1	0.0001	0.9999	0.0000
JAJIVQ010000046.1	0.7954	0.1587	0.0460
JAJIVQ010000047.1	0.4633	0.2193	0.3174
JAJIVQ010000048.1	0.0035	0.9964	0.0000
JAJIVQ010000004.1	0.0003	0.9996	0.0000
JAJIVQ010000049.1	0.9999	0.0001	0.0000
JAJIVQ010000050.1	0.6345	0.0410	0.3245
JAJIVQ010000051.1	0.9997	0.0003	0.0000
JAJIVQ010000052.1	0.9999	0.0000	0.0001
JAJIVQ010000053.1	0.8666	0.0770	0.0564
JAJIVQ010000054.1	1.0000	0.0000	0.0000
JAJIVQ010000055.1	0.9773	0.0224	0.0004
JAJIVQ010000056.1	0.9524	0.0456	0.0021
JAJIVQ010000057.1	0.9411	0.0585	0.0004
JAJIVQ010000058.1	1.0000	0.0000	0.0000
JAJIVQ010000005.1	1.0000	0.0000	0.0000
JAJIVQ010000059.1	0.7620	0.1062	0.1318
JAJIVQ010000060.1	1.0000	0.0000	0.0000
JAJIVQ010000061.1	0.9981	0.0019	0.0000
JAJIVQ010000062.1	0.9954	0.0046	0.0000
JAJIVQ010000063.1	0.3041	0.6946	0.0013
JAJIVQ010000064.1	0.6151	0.0308	0.3542
JAJIVQ010000065.1	1.0000	0.0000	0.0000
JAJIVQ010000066.1	0.0004	0.9995	0.0000
JAJIVQ010000067.1	0.9210	0.0528	0.0262
JAJIVQ010000068.1	0.9976	0.0024	0.0000
JAJIVQ010000006.1	0.9999	0.0001	0.0000
JAJIVQ010000069.1	0.9709	0.0244	0.0047
JAJIVQ010000070.1	0.7494	0.0668	0.1839
JAJIVQ010000071.1	0.9999	0.0001	0.0000
JAJIVQ010000072.1	0.9394	0.0295	0.0311
JAJIVQ010000073.1	0.9999	0.0001	0.0000
JAJIVQ010000074.1	0.6489	0.3511	0.0000
JAJIVQ010000075.1	0.9999	0.0001	0.0000
JAJIVQ010000076.1	0.7171	0.0422	0.2407
JAJIVQ010000077.1	0.9996	0.0004	0.0000
JAJIVQ010000078.1	0.9999	0.0001	0.0000
JAJIVQ010000007.1	0.9999	0.0001	0.0000
JAJIVQ010000079.1	1.0000	0.0000	0.0000
JAJIVQ010000008.1	0.9998	0.0002	0.0000
JAJIVQ010000009.1	0.7896	0.2104	0.0000
