seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
JBJGLE010000039.1	31455	DTR	41	11	1.0000	NA	10	24.4440	T_virB10;T_virB1;t4cp2;virb4;T_virB5;T_virB6;T_virB9	NA
JBJGLE010000052.1	14297	ITR	17	11	1.0000	NA	3	11.4351	MOBH;T_virB6;B_traI	NA
JBJGLE010000049.1	20197	ITR	25	11	1.0000	NA	4	12.8056	I_traV	NA
JBJGLE010000038.1	33529	ITR	32	11	1.0000	NA	2	19.5055	NA	NA
JBJGLE010000054.1	12418	ITR	11	11	0.9999	NA	0	4.9816	NA	NA
JBJGLE010000045.1	23063	ITR	31	11	0.9999	NA	8	12.2166	T_virB2;T_virB3;T_virB5;T_virB6;T_virB8;T_virB9;T_virB10	NA
JBJGLE010000034.1	41054	No terminal repeats	31	11	0.9999	NA	0	6.3270	NA	NA
JBJGLE010000019.1	116341	No terminal repeats	132	11	0.9997	NA	8	28.2101	I_trbA;traU;I_traN;I_traM;I_traI;I_traK;I_traY;I_traW	NA
JBJGLE010000050.1	19007	No terminal repeats	16	11	0.9993	NA	0	2.4283	NA	NF033135
JBJGLE010000047.1	22420	ITR	23	11	0.9898	NA	0	0.3959	NA	NA
JBJGLE010000051.1	14660	No terminal repeats	14	11	0.9871	NA	0	0.5447	NA	NA
JBJGLE010000058.1	5719	No terminal repeats	6	11	0.7697	NA	0	0.1657	NA	NA
