seq_name	chromosome_score	plasmid_score	virus_score
JAQRDV010000010.1	0.3854	0.5869	0.0276
JAQRDV010000011.1	0.5301	0.4427	0.0272
JAQRDV010000012.1	0.4957	0.4915	0.0128
JAQRDV010000013.1	0.5023	0.4669	0.0308
JAQRDV010000014.1	0.5648	0.4270	0.0082
JAQRDV010000015.1	0.4717	0.4976	0.0307
JAQRDV010000016.1	0.4598	0.5216	0.0186
JAQRDV010000017.1	0.5408	0.4497	0.0095
JAQRDV010000018.1	0.5136	0.4460	0.0404
JAQRDV010000019.1	0.5349	0.4575	0.0076
JAQRDV010000001.1	0.4051	0.5739	0.0211
JAQRDV010000020.1	0.4232	0.5492	0.0276
JAQRDV010000021.1	0.5540	0.4271	0.0189
JAQRDV010000022.1	0.3252	0.6535	0.0213
JAQRDV010000023.1	0.4196	0.5713	0.0091
JAQRDV010000024.1	0.3777	0.6160	0.0063
JAQRDV010000025.1	0.3844	0.5480	0.0676
JAQRDV010000026.1	0.4957	0.3897	0.1146
JAQRDV010000027.1	0.6726	0.2961	0.0313
JAQRDV010000028.1	0.5102	0.3976	0.0922
JAQRDV010000029.1	0.4934	0.4711	0.0355
JAQRDV010000002.1	0.4454	0.5213	0.0333
JAQRDV010000030.1	0.3492	0.6186	0.0323
JAQRDV010000031.1	0.4591	0.5214	0.0195
JAQRDV010000032.1	0.3654	0.6243	0.0104
JAQRDV010000033.1	0.5169	0.4765	0.0066
JAQRDV010000034.1	0.0159	0.7874	0.1968
JAQRDV010000035.1	0.3270	0.6352	0.0378
JAQRDV010000036.1	0.4974	0.4416	0.0610
JAQRDV010000037.1	0.6095	0.3518	0.0388
JAQRDV010000038.1	0.4560	0.5202	0.0238
JAQRDV010000039.1	0.4427	0.4858	0.0715
JAQRDV010000003.1	0.4389	0.5369	0.0242
JAQRDV010000040.1	0.3529	0.5078	0.1393
JAQRDV010000041.1	0.0075	0.8176	0.1749
JAQRDV010000042.1	0.4138	0.5586	0.0276
JAQRDV010000043.1	0.2246	0.5394	0.2360
JAQRDV010000044.1	0.0321	0.7788	0.1891
JAQRDV010000045.1	0.0637	0.7438	0.1925
JAQRDV010000046.1	0.7092	0.2559	0.0349
JAQRDV010000047.1	0.1167	0.8119	0.0714
JAQRDV010000048.1	0.0005	0.9614	0.0382
JAQRDV010000049.1	0.2285	0.6344	0.1370
JAQRDV010000004.1	0.4994	0.4839	0.0167
JAQRDV010000050.1	0.0782	0.8187	0.1030
JAQRDV010000051.1	0.1450	0.7132	0.1418
JAQRDV010000052.1	0.0212	0.9483	0.0305
JAQRDV010000053.1	0.0331	0.8072	0.1598
JAQRDV010000054.1	0.0646	0.9022	0.0332
JAQRDV010000055.1	0.0128	0.9678	0.0194
JAQRDV010000056.1	0.8864	0.0788	0.0348
JAQRDV010000057.1	0.8070	0.1891	0.0039
JAQRDV010000058.1	0.2802	0.5079	0.2119
JAQRDV010000059.1	0.3512	0.6198	0.0290
JAQRDV010000005.1	0.4737	0.5043	0.0220
JAQRDV010000060.1	0.0453	0.8914	0.0633
JAQRDV010000061.1	0.5580	0.2860	0.1560
JAQRDV010000062.1	0.2271	0.7431	0.0298
JAQRDV010000063.1	0.3361	0.4500	0.2139
JAQRDV010000064.1	0.2490	0.5538	0.1971
JAQRDV010000065.1	0.2417	0.5933	0.1650
JAQRDV010000066.1	0.2455	0.3695	0.3850
JAQRDV010000067.1	0.3965	0.4030	0.2006
JAQRDV010000068.1	0.4976	0.4080	0.0943
JAQRDV010000069.1	0.4954	0.4657	0.0389
JAQRDV010000006.1	0.4333	0.5564	0.0103
JAQRDV010000070.1	0.5304	0.3842	0.0854
JAQRDV010000071.1	0.6870	0.2291	0.0839
JAQRDV010000072.1	0.3398	0.4220	0.2382
JAQRDV010000073.1	0.1863	0.5134	0.3003
JAQRDV010000074.1	0.3006	0.3881	0.3113
JAQRDV010000075.1	0.2813	0.5241	0.1947
JAQRDV010000076.1	0.2046	0.4750	0.3205
JAQRDV010000077.1	0.8634	0.0861	0.0505
JAQRDV010000078.1	0.1963	0.4214	0.3823
JAQRDV010000079.1	0.2483	0.5714	0.1803
JAQRDV010000007.1	0.4770	0.5053	0.0177
JAQRDV010000080.1	0.5603	0.1376	0.3022
JAQRDV010000081.1	0.3571	0.3526	0.2903
JAQRDV010000082.1	0.4830	0.2063	0.3107
JAQRDV010000083.1	0.6674	0.2133	0.1194
JAQRDV010000084.1	0.6172	0.1950	0.1878
JAQRDV010000085.1	0.7088	0.1472	0.1441
JAQRDV010000086.1	0.6730	0.2086	0.1183
JAQRDV010000087.1	0.2971	0.3549	0.3480
JAQRDV010000088.1	0.5716	0.1677	0.2607
JAQRDV010000089.1	0.5831	0.1800	0.2368
JAQRDV010000008.1	0.4566	0.4992	0.0442
JAQRDV010000090.1	0.1879	0.3286	0.4835
JAQRDV010000009.1	0.4532	0.5201	0.0266
