seq_name	chromosome_score	plasmid_score	virus_score
JAJIUF010000093.1	0.0928	0.8967	0.0105
JAJIUF010000094.1	0.5071	0.4825	0.0104
JAJIUF010000095.1	0.9434	0.0530	0.0035
JAJIUF010000096.1	0.9006	0.0939	0.0055
JAJIUF010000097.1	0.9310	0.0463	0.0227
JAJIUF010000098.1	0.9390	0.0562	0.0048
JAJIUF010000099.1	0.0010	0.9982	0.0007
JAJIUF010000100.1	0.9376	0.0570	0.0054
JAJIUF010000101.1	0.8921	0.1007	0.0071
JAJIUF010000102.1	0.9180	0.0771	0.0048
JAJIUF010000009.1	0.9787	0.0193	0.0020
JAJIUF010000103.1	0.9414	0.0575	0.0011
JAJIUF010000104.1	0.0136	0.9274	0.0590
JAJIUF010000105.1	0.9705	0.0270	0.0025
JAJIUF010000106.1	0.0074	0.9917	0.0009
JAJIUF010000107.1	0.9527	0.0439	0.0034
JAJIUF010000108.1	0.9983	0.0013	0.0004
JAJIUF010000109.1	0.3336	0.6604	0.0061
JAJIUF010000110.1	0.9965	0.0031	0.0004
JAJIUF010000111.1	0.9369	0.0591	0.0040
JAJIUF010000112.1	0.9696	0.0282	0.0022
JAJIUF010000010.1	0.8757	0.1009	0.0234
JAJIUF010000113.1	0.0003	0.9996	0.0001
JAJIUF010000114.1	0.9365	0.0598	0.0037
JAJIUF010000115.1	0.9738	0.0245	0.0017
JAJIUF010000116.1	0.9346	0.0601	0.0053
JAJIUF010000117.1	0.9235	0.0721	0.0044
JAJIUF010000118.1	0.8546	0.1377	0.0076
JAJIUF010000119.1	0.0001	0.0012	0.9987
JAJIUF010000120.1	0.0365	0.9621	0.0014
JAJIUF010000121.1	0.9919	0.0074	0.0008
JAJIUF010000122.1	0.4987	0.4914	0.0098
JAJIUF010000011.1	0.2800	0.1451	0.5749
JAJIUF010000123.1	0.0125	0.4210	0.5665
JAJIUF010000124.1	0.6161	0.2970	0.0869
JAJIUF010000125.1	0.9568	0.0402	0.0030
JAJIUF010000126.1	0.9770	0.0203	0.0027
JAJIUF010000127.1	0.7565	0.1619	0.0816
JAJIUF010000128.1	0.9621	0.0351	0.0028
JAJIUF010000129.1	0.9260	0.0700	0.0040
JAJIUF010000130.1	0.0000	1.0000	0.0000
JAJIUF010000131.1	0.0223	0.9764	0.0013
JAJIUF010000132.1	0.0648	0.9323	0.0029
JAJIUF010000012.1	0.7870	0.2034	0.0096
JAJIUF010000133.1	0.9837	0.0148	0.0015
JAJIUF010000134.1	0.9630	0.0342	0.0027
JAJIUF010000135.1	0.6676	0.3224	0.0100
JAJIUF010000136.1	0.9273	0.0678	0.0049
JAJIUF010000137.1	0.9884	0.0104	0.0011
JAJIUF010000138.1	0.1549	0.6677	0.1774
JAJIUF010000139.1	0.8978	0.0985	0.0037
JAJIUF010000140.1	0.2651	0.7204	0.0145
JAJIUF010000141.1	0.0002	0.0055	0.9943
JAJIUF010000142.1	0.1821	0.7635	0.0544
JAJIUF010000013.1	0.9919	0.0074	0.0007
JAJIUF010000143.1	0.9703	0.0276	0.0022
JAJIUF010000144.1	0.0820	0.9111	0.0069
JAJIUF010000145.1	0.9253	0.0704	0.0042
JAJIUF010000146.1	0.0001	0.0025	0.9974
JAJIUF010000147.1	0.0000	1.0000	0.0000
JAJIUF010000148.1	0.9660	0.0315	0.0026
JAJIUF010000149.1	0.7414	0.2486	0.0100
JAJIUF010000150.1	0.0774	0.9173	0.0053
JAJIUF010000151.1	0.8239	0.1715	0.0046
JAJIUF010000152.1	0.8273	0.1624	0.0103
JAJIUF010000014.1	0.0001	0.0003	0.9996
JAJIUF010000153.1	0.9468	0.0494	0.0038
JAJIUF010000154.1	0.9870	0.0115	0.0015
JAJIUF010000155.1	0.9824	0.0162	0.0014
JAJIUF010000156.1	0.7071	0.2355	0.0574
JAJIUF010000157.1	0.1150	0.8787	0.0063
JAJIUF010000158.1	0.9467	0.0459	0.0074
JAJIUF010000159.1	0.9133	0.0807	0.0060
JAJIUF010000160.1	0.9542	0.0426	0.0032
JAJIUF010000161.1	0.1353	0.8547	0.0100
JAJIUF010000162.1	0.0001	0.9997	0.0002
JAJIUF010000163.1	0.9803	0.0178	0.0019
JAJIUF010000015.1	0.0001	0.0028	0.9971
JAJIUF010000016.1	0.2060	0.7666	0.0275
JAJIUF010000017.1	0.0000	1.0000	0.0000
JAJIUF010000001.1	0.0000	1.0000	0.0000
JAJIUF010000018.1	0.2591	0.5505	0.1904
JAJIUF010000019.1	0.9758	0.0194	0.0047
JAJIUF010000020.1	0.0000	0.9999	0.0000
JAJIUF010000021.1	0.9603	0.0368	0.0029
JAJIUF010000022.1	0.0945	0.9003	0.0053
JAJIUF010000023.1	0.9638	0.0330	0.0032
JAJIUF010000024.1	0.9195	0.0758	0.0047
JAJIUF010000025.1	0.9789	0.0193	0.0019
JAJIUF010000026.1	0.5581	0.3459	0.0961
JAJIUF010000002.1	0.0000	0.9999	0.0001
JAJIUF010000027.1	0.9580	0.0387	0.0033
JAJIUF010000028.1	0.0002	0.9997	0.0001
JAJIUF010000029.1	0.0084	0.9747	0.0169
JAJIUF010000030.1	0.9265	0.0690	0.0045
JAJIUF010000031.1	0.0002	0.9996	0.0002
JAJIUF010000032.1	0.9435	0.0527	0.0038
JAJIUF010000033.1	0.9310	0.0646	0.0044
JAJIUF010000034.1	0.9278	0.0420	0.0302
JAJIUF010000035.1	0.9479	0.0464	0.0056
JAJIUF010000036.1	0.5082	0.4563	0.0355
JAJIUF010000003.1	0.9476	0.0471	0.0053
JAJIUF010000037.1	0.9622	0.0348	0.0030
JAJIUF010000038.1	0.8658	0.1254	0.0088
JAJIUF010000039.1	0.0001	0.0003	0.9997
JAJIUF010000040.1	0.8427	0.1501	0.0072
JAJIUF010000041.1	0.9763	0.0218	0.0019
JAJIUF010000042.1	0.0003	0.9995	0.0002
JAJIUF010000043.1	0.9504	0.0462	0.0034
JAJIUF010000044.1	0.8784	0.1109	0.0107
JAJIUF010000045.1	0.9696	0.0281	0.0022
JAJIUF010000046.1	0.9866	0.0124	0.0010
JAJIUF010000004.1	0.9951	0.0044	0.0005
JAJIUF010000047.1	0.9785	0.0177	0.0038
JAJIUF010000048.1	0.8449	0.1500	0.0051
JAJIUF010000049.1	0.6373	0.2129	0.1498
JAJIUF010000050.1	0.6832	0.2717	0.0451
JAJIUF010000051.1	0.9793	0.0190	0.0016
JAJIUF010000052.1	0.0000	0.9999	0.0001
JAJIUF010000053.1	0.9668	0.0292	0.0039
JAJIUF010000054.1	0.5401	0.4507	0.0092
JAJIUF010000055.1	0.9914	0.0078	0.0009
JAJIUF010000005.1	0.9736	0.0240	0.0025
JAJIUF010000056.1	0.9804	0.0175	0.0021
JAJIUF010000057.1	0.9434	0.0529	0.0037
JAJIUF010000058.1	0.0005	0.9993	0.0002
JAJIUF010000059.1	0.9730	0.0245	0.0024
JAJIUF010000060.1	0.9733	0.0247	0.0020
JAJIUF010000061.1	0.3659	0.6276	0.0065
JAJIUF010000062.1	0.9549	0.0420	0.0031
JAJIUF010000063.1	0.9697	0.0283	0.0020
JAJIUF010000064.1	0.9277	0.0656	0.0067
JAJIUF010000065.1	0.0023	0.9976	0.0001
JAJIUF010000066.1	0.6168	0.3785	0.0047
JAJIUF010000067.1	0.9967	0.0028	0.0005
JAJIUF010000068.1	0.9501	0.0455	0.0044
JAJIUF010000069.1	0.0002	0.9997	0.0001
JAJIUF010000070.1	0.9542	0.0421	0.0038
JAJIUF010000071.1	0.9782	0.0199	0.0020
JAJIUF010000072.1	0.9612	0.0359	0.0029
JAJIUF010000073.1	0.9894	0.0091	0.0015
JAJIUF010000006.1	0.9792	0.0192	0.0016
JAJIUF010000074.1	0.9888	0.0100	0.0012
JAJIUF010000075.1	0.0010	0.9987	0.0002
JAJIUF010000076.1	0.1170	0.8263	0.0567
JAJIUF010000077.1	0.0002	0.9998	0.0001
JAJIUF010000078.1	0.0030	0.2300	0.7670
JAJIUF010000079.1	0.9944	0.0050	0.0006
JAJIUF010000080.1	0.0000	1.0000	0.0000
JAJIUF010000081.1	0.9993	0.0006	0.0001
JAJIUF010000082.1	0.0000	0.9999	0.0000
JAJIUF010000083.1	0.4330	0.5429	0.0241
JAJIUF010000007.1	0.9199	0.0750	0.0051
JAJIUF010000084.1	0.2928	0.4579	0.2493
JAJIUF010000085.1	0.0000	0.9998	0.0001
JAJIUF010000086.1	0.4310	0.4737	0.0953
JAJIUF010000087.1	0.0000	0.9999	0.0001
JAJIUF010000088.1	0.9967	0.0027	0.0005
JAJIUF010000089.1	0.9616	0.0350	0.0033
JAJIUF010000090.1	0.3165	0.0244	0.6590
JAJIUF010000091.1	0.9706	0.0274	0.0021
JAJIUF010000092.1	0.0003	0.0520	0.9477
JAJIUF010000008.1	0.0000	0.9999	0.0000
