Genome	Length(bp)
66b	5306942
DC99P1A1_contig	5302797
DC99P1B1_contig	5306535
Tu_10_contig	5126504
VTM10_contig	5172799
VTM12_contig	5193250
VTM15_contig	5172604
VTM16_contig	5244360
VTM4_contig	5176495
X13_contig	5279639
X22_contig	5099034
X31_contig	5095014
Xcv_DC_96_3_contig	5098207
Xcv_DC_96_5_contig	5101524
Xcv_DC_97_P1A_contig	5256227
