Assembly	GCA_030345955.2_ASM3034595v2_genomic	GCA_030345975.2_ASM3034597v2_genomic	GCA_030345985.2_ASM3034598v2_genomic
# contigs (>= 0 bp)	76	98	76
# contigs (>= 1000 bp)	62	83	63
# contigs (>= 5000 bp)	46	54	44
# contigs (>= 10000 bp)	39	49	37
# contigs (>= 25000 bp)	26	34	25
# contigs (>= 50000 bp)	20	26	18
Total length (>= 0 bp)	5095014	5279639	5099034
Total length (>= 1000 bp)	5085380	5268619	5089411
Total length (>= 5000 bp)	5055108	5207780	5054303
Total length (>= 10000 bp)	5011361	5173332	5008433
Total length (>= 25000 bp)	4803967	4947182	4829350
Total length (>= 50000 bp)	4577591	4659996	4574946
# contigs	75	98	76
Largest contig	588915	588902	588916
Total length	5094518	5279639	5099034
GC (%)	64.70	64.57	64.70
N50	244298	174751	294195
N90	45869	38538	45869
auN	276860.7	232428.5	308446.1
L50	7	9	6
L90	21	29	19
# N's per 100 kbp	0.00	0.00	0.00
