seq_name	n_genes	n_uscg	n_plasmid_hallmarks	n_virus_hallmarks	genetic_code	strand_switch_rate	coding_density	no_rbs_freq	sd_bacteroidetes_rbs_freq	sd_canonical_rbs_freq	tatata_rbs_freq	cc_marker_freq	cp_marker_freq	cv_marker_freq	pc_marker_freq	pp_marker_freq	pv_marker_freq	vc_marker_freq	vp_marker_freq	vv_marker_freq	c_marker_freq	p_marker_freq	v_marker_freq	median_c_spm	median_p_spm	median_v_spm	v_vs_c_score_logistic	v_vs_p_score_logistic	p_vs_c_score_logistic	gv_marker_freq	marker_enrichment_c	marker_enrichment_p	marker_enrichment_v
JBBIGG010000001.1	477	3	1	0	11	0.3151	0.8651	0.3061	0.0000	0.6939	0.0000	0.0818	0.2998	0.0294	0.0335	0.0021	0.0000	0.0147	0.0000	0.0105	0.4109	0.0356	0.0252	0.8003	0.5654	0.0000	0.0000	0.0000	0.0000	0.0063	105.7099	-173.9757	-542.3906
JBBIGG010000002.1	307	1	1	1	11	0.3464	0.8477	0.3029	0.0000	0.6971	0.0000	0.0326	0.2248	0.0195	0.0814	0.0033	0.0000	0.0163	0.0033	0.0163	0.2769	0.0847	0.0358	0.7606	0.6131	0.0000	0.0000	0.0000	0.0000	0.0033	9.2612	-60.0240	-287.5839
JBBIGG010000003.1	235	4	0	1	11	0.2564	0.8720	0.3404	0.0000	0.6596	0.0000	0.0723	0.3106	0.0298	0.0681	0.0000	0.0043	0.0213	0.0000	0.0085	0.4128	0.0723	0.0298	0.7963	0.5826	0.0000	0.0000	0.0000	0.0000	0.0000	39.7182	-75.4181	-296.7473
JBBIGG010000004.1	196	5	3	1	11	0.2974	0.8859	0.3112	0.0000	0.6888	0.0000	0.0306	0.3061	0.0306	0.0357	0.0153	0.0051	0.0102	0.0051	0.0000	0.3673	0.0561	0.0153	0.7943	0.5884	0.0000	0.0000	0.0000	0.0000	0.0000	25.9092	-48.8264	-217.9482
JBBIGG010000005.1	195	2	1	1	11	0.2887	0.8587	0.3179	0.0000	0.6821	0.0000	0.0821	0.2256	0.0154	0.0564	0.0000	0.0000	0.0103	0.0051	0.0308	0.3231	0.0564	0.0462	0.7572	0.5105	0.0000	0.0000	0.0000	0.0000	0.0051	22.8287	-60.8042	-179.6239
JBBIGG010000006.1	146	1	0	0	11	0.3724	0.8631	0.2671	0.0000	0.7329	0.0000	0.0616	0.2466	0.0274	0.0685	0.0000	0.0000	0.0000	0.0000	0.0205	0.3356	0.0685	0.0205	0.7577	0.6283	0.0000	0.0000	0.0000	0.0000	0.0000	15.9545	-32.9774	-153.4058
JBBIGG010000007.1	144	1	0	0	11	0.2448	0.8746	0.3472	0.0000	0.6528	0.0000	0.0417	0.3125	0.0139	0.0347	0.0000	0.0000	0.0069	0.0000	0.0069	0.3681	0.0347	0.0139	0.7783	0.6016	0.0000	0.0000	0.0000	0.0000	0.0000	20.7515	-32.2210	-156.2677
JBBIGG010000008.1	144	3	0	0	11	0.2587	0.8668	0.2778	0.0000	0.7222	0.0000	0.0486	0.2292	0.0417	0.0208	0.0139	0.0069	0.0278	0.0000	0.0208	0.3194	0.0417	0.0486	0.8249	0.5206	0.0000	0.0000	0.0000	0.0000	0.0000	18.3773	-54.2382	-123.0237
JBBIGG010000009.1	127	0	0	0	11	0.2143	0.8785	0.2913	0.0000	0.7087	0.0000	0.0157	0.2992	0.0315	0.0866	0.0000	0.0000	0.0079	0.0079	0.0157	0.3465	0.0866	0.0315	0.7669	0.6283	0.0000	0.0000	0.0000	0.0009	0.0000	5.1750	-25.2618	-149.0423
JBBIGG010000010.1	124	1	0	0	11	0.3008	0.8186	0.2742	0.0000	0.7258	0.0000	0.0484	0.3145	0.0161	0.0323	0.0081	0.0000	0.0161	0.0000	0.0161	0.3790	0.0403	0.0323	0.7795	0.5887	0.0000	0.0000	0.0000	0.0000	0.0000	16.8690	-35.4149	-136.0802
JBBIGG010000011.1	110	0	0	0	11	0.2936	0.8389	0.3000	0.0000	0.7000	0.0000	0.0455	0.3545	0.0091	0.0182	0.0091	0.0000	0.0091	0.0000	0.0000	0.4091	0.0273	0.0091	0.7609	0.6489	0.0000	0.0000	0.0000	0.0002	0.0000	15.9633	-20.5717	-135.3200
JBBIGG010000012.1	134	0	18	0	11	0.2256	0.8815	0.1269	0.0000	0.8731	0.0000	0.0075	0.0896	0.0075	0.3060	0.1343	0.0149	0.0000	0.0299	0.0000	0.1045	0.4552	0.0299	0.3535	0.9235	0.0000	0.0000	0.0000	1.0000	0.0000	-81.3212	60.9898	-182.3604
JBBIGG010000013.1	89	1	0	0	11	0.2045	0.8798	0.3146	0.0000	0.6854	0.0000	0.0449	0.3933	0.0112	0.0449	0.0000	0.0000	0.0000	0.0000	0.0000	0.4494	0.0449	0.0000	0.7722	0.6355	0.0000	0.0000	0.0000	0.0005	0.0000	14.3809	-16.7860	-123.2829
JBBIGG010000014.1	84	1	0	0	11	0.2771	0.8542	0.3095	0.0000	0.6905	0.0000	0.0238	0.3333	0.0119	0.0952	0.0000	0.0000	0.0119	0.0000	0.0119	0.3690	0.0952	0.0238	0.7684	0.6379	0.0000	0.0000	0.0000	0.0106	0.0000	5.4727	-14.2519	-109.4007
JBBIGG010000015.1	111	24	1	0	11	0.2455	0.8191	0.2523	0.0000	0.7477	0.0000	0.1802	0.2342	0.0811	0.0000	0.0090	0.0000	0.0090	0.0000	0.0180	0.4955	0.0090	0.0270	0.9640	0.0000	0.0000	0.0000	0.0014	0.0000	0.0090	55.6807	-76.0891	-119.2129
JBBIGG010000016.1	99	0	0	0	11	0.3265	0.8677	0.3535	0.0000	0.6465	0.0000	0.0606	0.3333	0.0404	0.0202	0.0000	0.0000	0.0707	0.0101	0.0101	0.4343	0.0202	0.0909	0.8155	0.4453	0.0000	0.0000	0.0011	0.0000	0.0000	23.8263	-60.8462	-111.0680
JBBIGG010000017.1	83	2	0	0	11	0.3659	0.8537	0.2410	0.0000	0.7590	0.0000	0.0482	0.2771	0.0482	0.0602	0.0241	0.0000	0.0000	0.0000	0.0120	0.3735	0.0843	0.0120	0.7758	0.6276	0.0000	0.0000	0.0000	0.0018	0.0000	9.2349	-18.5082	-97.0808
JBBIGG010000018.1	91	1	4	0	11	0.2333	0.8406	0.3846	0.0000	0.6154	0.0000	0.1319	0.3187	0.0440	0.0110	0.0440	0.0000	0.0000	0.0000	0.0000	0.4945	0.0549	0.0000	0.8388	0.5444	0.0000	0.0000	0.0000	0.0000	0.0000	29.8896	-34.9431	-121.3034
JBBIGG010000019.1	75	4	0	0	11	0.2027	0.8892	0.2800	0.0000	0.7200	0.0000	0.0400	0.2667	0.0533	0.0400	0.0000	0.0000	0.0267	0.0000	0.0000	0.3600	0.0400	0.0267	0.7610	0.6135	0.0000	0.0000	0.0001	0.0005	0.0000	11.4582	-23.5576	-79.4381
JBBIGG010000020.1	81	5	0	0	11	0.3125	0.8603	0.2840	0.0000	0.7160	0.0000	0.0370	0.3333	0.0617	0.0123	0.0000	0.0000	0.0000	0.0000	0.0000	0.4321	0.0123	0.0000	0.7840	0.6208	0.0000	0.0000	0.0000	0.0000	0.0000	20.7730	-27.6842	-93.5034
JBBIGG010000021.1	81	0	0	0	11	0.4250	0.8131	0.3086	0.0000	0.6914	0.0000	0.0494	0.2346	0.0123	0.0370	0.0247	0.0000	0.0000	0.0123	0.0000	0.2963	0.0617	0.0123	0.7561	0.6521	0.0000	0.0000	0.0000	0.0475	0.0000	3.2111	-8.9789	-76.1313
JBBIGG010000022.1	80	0	0	2	11	0.2532	0.8509	0.2750	0.0000	0.7250	0.0000	0.0250	0.2625	0.0625	0.0500	0.0125	0.0000	0.0250	0.0000	0.0375	0.3500	0.0625	0.0625	0.8045	0.5576	0.0000	0.0000	0.0009	0.0001	0.0000	7.7569	-32.7915	-79.2873
JBBIGG010000023.1	65	0	0	0	11	0.3125	0.8522	0.3231	0.0000	0.6769	0.0000	0.0154	0.2154	0.0154	0.0462	0.0154	0.0000	0.0154	0.0000	0.0154	0.2462	0.0615	0.0308	0.7618	0.6170	0.0000	0.0001	0.0012	0.0489	0.0000	2.3211	-10.9296	-52.4815
JBBIGG010000024.1	80	1	0	0	11	0.2658	0.8308	0.3625	0.0000	0.6375	0.0000	0.0125	0.1500	0.0125	0.1375	0.0250	0.0000	0.0125	0.0000	0.0000	0.1750	0.1625	0.0125	0.6054	0.7702	0.0000	0.0000	0.0000	0.7964	0.0000	-4.6895	-0.8886	-72.9697
JBBIGG010000025.1	74	0	0	0	11	0.3836	0.8295	0.2297	0.0000	0.7703	0.0000	0.0811	0.2838	0.0000	0.0946	0.0135	0.0000	0.0000	0.0000	0.0000	0.3649	0.1081	0.0000	0.7554	0.6552	0.0000	0.0000	0.0000	0.0435	0.0000	6.1794	-6.1794	-93.7512
JBBIGG010000026.1	70	0	2	0	11	0.3333	0.8749	0.1571	0.0000	0.8429	0.0000	0.0429	0.1571	0.0286	0.0714	0.0571	0.0000	0.0000	0.0000	0.0143	0.2286	0.1286	0.0143	0.7577	0.6434	0.0000	0.0000	0.0000	0.4126	0.0000	-2.6353	-6.2691	-59.7007
JBBIGG010000027.1	52	0	1	0	11	0.1569	0.8289	0.2115	0.0000	0.7885	0.0000	0.0192	0.2692	0.0000	0.0577	0.0192	0.0000	0.0000	0.0000	0.0385	0.2885	0.0769	0.0385	0.7552	0.6073	0.0000	0.0001	0.0013	0.0922	0.0000	0.8614	-7.9808	-49.8018
JBBIGG010000028.1	52	0	0	0	11	0.3922	0.8390	0.1923	0.0000	0.8077	0.0000	0.0000	0.1154	0.0000	0.1538	0.0000	0.0000	0.0000	0.0000	0.0000	0.1154	0.1538	0.0000	0.5924	0.8056	0.0000	0.0027	0.0002	0.9223	0.0000	-4.9482	4.9482	-41.9813
JBBIGG010000029.1	49	0	0	0	11	0.3333	0.8432	0.3469	0.0000	0.6531	0.0000	0.1224	0.2041	0.0204	0.0000	0.0000	0.0000	0.0408	0.0000	0.0000	0.3469	0.0000	0.0408	0.9005	0.2211	0.0000	0.0000	0.1456	0.0001	0.0000	15.4794	-24.9481	-38.0064
JBBIGG010000030.1	43	0	2	0	11	0.5000	0.8377	0.2791	0.0000	0.7209	0.0000	0.0233	0.2326	0.0000	0.0465	0.0000	0.0000	0.0000	0.0000	0.0000	0.2558	0.0465	0.0000	0.7885	0.6150	0.0000	0.0007	0.0034	0.1617	0.0000	3.2916	-3.2916	-36.5216
JBBIGG010000031.1	51	3	0	0	11	0.1400	0.9257	0.1765	0.0000	0.8235	0.0000	0.1569	0.4118	0.0588	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6275	0.0000	0.0000	0.8629	0.5053	0.0000	0.0000	0.0010	0.0000	0.0000	29.4725	-34.0750	-79.5252
JBBIGG010000032.1	45	5	0	0	11	0.2045	0.8685	0.2000	0.0000	0.8000	0.0000	0.0667	0.1556	0.1556	0.0000	0.0000	0.0000	0.0000	0.0000	0.0222	0.3778	0.0000	0.0222	0.9477	0.0000	0.1675	0.0000	0.7342	0.0000	0.0000	16.8756	-33.4709	-28.6679
JBBIGG010000033.1	30	0	1	0	11	0.4483	0.8571	0.2333	0.0000	0.7667	0.0000	0.0333	0.3333	0.0333	0.0000	0.0333	0.0000	0.0000	0.0000	0.0000	0.4000	0.0333	0.0000	0.7805	0.6252	0.0000	0.0006	0.0070	0.0828	0.0000	4.4152	-5.8234	-34.7334
