ID	Length	Coverage	# ORFs	RDS	Circular	Inc Type(s)	# Replication	# Mobilization	# OriT	# Conjugation	# AMRs	# rRNAs	# Plasmid Hits
JAUALK020000025.1	32629	NA	36	2.3	no	0	0	1	0	6	0	0	0
JAUALK020000029.1	21710	NA	25	1.1	no	0	0	1	0	5	0	0	0
JAUALK020000036.1	12880	NA	16	1.9	no	0	0	0	0	0	0	0	0
JAUALK020000038.1	10803	NA	12	0.9	no	0	0	0	0	0	0	0	0
JAUALK020000044.1	6087	NA	7	1.0	no	0	0	0	0	0	0	0	0
