seq_name	chromosome_score	plasmid_score	virus_score
JTEI01000001.1	0.0004	0.9996	0.0000
JTEI01000010.1	0.9998	0.0002	0.0000
JTEI01000100.1	0.4176	0.5824	0.0000
JTEI01000101.1	0.1595	0.8404	0.0002
JTEI01000102.1	0.9916	0.0082	0.0002
JTEI01000103.1	1.0000	0.0000	0.0000
JTEI01000104.1	0.6732	0.3267	0.0000
JTEI01000105.1	0.8889	0.1111	0.0000
JTEI01000106.1	0.0001	0.9999	0.0000
JTEI01000107.1	1.0000	0.0000	0.0000
JTEI01000108.1	0.9986	0.0014	0.0000
JTEI01000109.1	0.7550	0.2449	0.0000
JTEI01000011.1	1.0000	0.0000	0.0000
JTEI01000110.1	0.7990	0.2009	0.0000
JTEI01000111.1	1.0000	0.0000	0.0000
JTEI01000112.1	0.9994	0.0004	0.0002
JTEI01000113.1	1.0000	0.0000	0.0000
JTEI01000114.1	0.9688	0.0312	0.0001
JTEI01000115.1	0.8850	0.1150	0.0000
JTEI01000116.1	0.2916	0.7084	0.0000
JTEI01000117.1	1.0000	0.0000	0.0000
JTEI01000118.1	1.0000	0.0000	0.0000
JTEI01000119.1	0.9715	0.0278	0.0007
JTEI01000012.1	1.0000	0.0000	0.0000
JTEI01000120.1	0.0039	0.9961	0.0000
JTEI01000121.1	1.0000	0.0000	0.0000
JTEI01000122.1	0.9968	0.0032	0.0000
JTEI01000123.1	1.0000	0.0000	0.0000
JTEI01000124.1	1.0000	0.0000	0.0000
JTEI01000125.1	0.0323	0.9676	0.0001
JTEI01000126.1	0.9999	0.0001	0.0000
JTEI01000127.1	0.8987	0.1012	0.0000
JTEI01000128.1	1.0000	0.0000	0.0000
JTEI01000129.1	0.7194	0.2806	0.0000
JTEI01000013.1	0.9999	0.0001	0.0000
JTEI01000130.1	1.0000	0.0000	0.0000
JTEI01000131.1	0.9783	0.0217	0.0000
JTEI01000132.1	0.3235	0.6765	0.0000
JTEI01000133.1	0.9999	0.0001	0.0000
JTEI01000134.1	1.0000	0.0000	0.0000
JTEI01000135.1	0.0286	0.9712	0.0001
JTEI01000136.1	0.3478	0.6507	0.0015
JTEI01000137.1	0.9916	0.0083	0.0000
JTEI01000138.1	0.0586	0.9414	0.0001
JTEI01000139.1	0.9961	0.0039	0.0000
JTEI01000014.1	1.0000	0.0000	0.0000
JTEI01000140.1	1.0000	0.0000	0.0000
JTEI01000141.1	0.7425	0.1955	0.0620
JTEI01000142.1	0.9997	0.0003	0.0000
JTEI01000143.1	0.2145	0.7855	0.0000
JTEI01000144.1	0.9652	0.0348	0.0000
JTEI01000145.1	0.9713	0.0287	0.0000
JTEI01000146.1	0.8184	0.1816	0.0000
JTEI01000147.1	0.6433	0.3567	0.0000
JTEI01000148.1	0.7730	0.2270	0.0000
JTEI01000149.1	0.9618	0.0382	0.0000
JTEI01000015.1	0.7801	0.2199	0.0000
JTEI01000150.1	0.9256	0.0744	0.0000
JTEI01000151.1	0.1789	0.8211	0.0000
JTEI01000152.1	0.9978	0.0022	0.0000
JTEI01000153.1	1.0000	0.0000	0.0000
JTEI01000154.1	0.9991	0.0007	0.0002
JTEI01000155.1	0.9551	0.0449	0.0000
JTEI01000156.1	1.0000	0.0000	0.0000
JTEI01000157.1	0.3734	0.2188	0.4078
JTEI01000158.1	0.9925	0.0075	0.0000
JTEI01000159.1	0.8016	0.1983	0.0000
JTEI01000016.1	0.9999	0.0001	0.0000
JTEI01000160.1	0.9834	0.0003	0.0163
JTEI01000161.1	0.9997	0.0003	0.0000
JTEI01000162.1	1.0000	0.0000	0.0000
JTEI01000163.1	0.9576	0.0424	0.0000
JTEI01000164.1	0.9999	0.0000	0.0000
JTEI01000165.1	0.9999	0.0001	0.0000
JTEI01000166.1	0.0068	0.9932	0.0000
JTEI01000167.1	1.0000	0.0000	0.0000
JTEI01000168.1	0.0028	0.9972	0.0000
JTEI01000169.1	0.9035	0.0965	0.0000
JTEI01000017.1	1.0000	0.0000	0.0000
JTEI01000170.1	0.8706	0.1294	0.0000
JTEI01000171.1	0.9416	0.0580	0.0004
JTEI01000172.1	1.0000	0.0000	0.0000
JTEI01000173.1	0.9528	0.0472	0.0000
JTEI01000174.1	0.9921	0.0079	0.0000
JTEI01000175.1	0.9950	0.0049	0.0001
JTEI01000176.1	0.0866	0.9134	0.0000
JTEI01000177.1	0.8854	0.1146	0.0000
JTEI01000178.1	0.0080	0.9919	0.0000
JTEI01000179.1	0.9100	0.0900	0.0000
JTEI01000018.1	0.9986	0.0014	0.0000
JTEI01000180.1	0.9843	0.0157	0.0000
JTEI01000181.1	0.9997	0.0003	0.0000
JTEI01000182.1	0.3399	0.6600	0.0000
JTEI01000183.1	0.6060	0.2695	0.1245
JTEI01000184.1	0.9999	0.0001	0.0000
JTEI01000185.1	0.9997	0.0003	0.0000
JTEI01000186.1	1.0000	0.0000	0.0000
JTEI01000187.1	0.1177	0.0050	0.8773
JTEI01000188.1	1.0000	0.0000	0.0000
JTEI01000189.1	0.9700	0.0292	0.0008
JTEI01000019.1	0.9905	0.0095	0.0000
JTEI01000190.1	0.9779	0.0221	0.0000
JTEI01000191.1	0.7514	0.2486	0.0000
JTEI01000192.1	0.9810	0.0190	0.0000
JTEI01000193.1	0.7959	0.2041	0.0000
JTEI01000194.1	0.9369	0.0631	0.0000
JTEI01000195.1	0.9752	0.0247	0.0000
JTEI01000196.1	0.0003	0.9996	0.0001
JTEI01000197.1	0.0003	0.9997	0.0000
JTEI01000198.1	0.1411	0.8559	0.0029
JTEI01000199.1	0.9998	0.0002	0.0000
JTEI01000002.1	0.3640	0.6360	0.0000
JTEI01000020.1	0.9995	0.0005	0.0000
JTEI01000200.1	0.6307	0.3692	0.0000
JTEI01000201.1	0.9997	0.0003	0.0000
JTEI01000202.1	0.9994	0.0001	0.0005
JTEI01000203.1	0.8406	0.1091	0.0503
JTEI01000204.1	0.9986	0.0014	0.0000
JTEI01000205.1	0.9998	0.0001	0.0001
JTEI01000206.1	0.2623	0.7376	0.0000
JTEI01000207.1	0.3401	0.6598	0.0002
JTEI01000208.1	0.9596	0.0100	0.0303
JTEI01000209.1	0.9911	0.0089	0.0000
JTEI01000021.1	0.9997	0.0003	0.0000
JTEI01000210.1	0.9997	0.0003	0.0000
JTEI01000211.1	0.9679	0.0321	0.0000
JTEI01000212.1	0.9790	0.0209	0.0000
JTEI01000213.1	0.9946	0.0053	0.0001
JTEI01000214.1	0.7309	0.0353	0.2338
JTEI01000215.1	0.0001	0.0005	0.9995
JTEI01000216.1	0.9355	0.0341	0.0305
JTEI01000217.1	0.9951	0.0049	0.0000
JTEI01000218.1	0.9791	0.0205	0.0004
JTEI01000219.1	0.9995	0.0004	0.0000
JTEI01000022.1	0.9999	0.0001	0.0000
JTEI01000220.1	1.0000	0.0000	0.0000
JTEI01000221.1	0.9858	0.0142	0.0000
