seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
JAWUDS010000055.1	8106	No terminal repeats	11	11	1.0000	NA	0	2.0162	NA	NA
JAWUDS010000038.1	31455	DTR	40	11	1.0000	NA	10	24.4440	t4cp2;T_virB1;T_virB10;T_virB9;T_virB6;T_virB5;virb4	NA
JAWUDS010000054.1	10529	No terminal repeats	11	11	1.0000	NA	1	9.5583	NA	NA
JAWUDS010000047.1	13073	No terminal repeats	20	11	1.0000	NA	0	3.7839	NA	NA
JAWUDS010000060.1	6499	No terminal repeats	10	11	1.0000	NA	0	4.2600	NA	NA
JAWUDS010000043.1	16240	No terminal repeats	19	11	1.0000	NA	3	11.5845	T_virB5;MOBP1	NA
JAWUDS010000046.1	13933	No terminal repeats	16	11	1.0000	NA	5	10.2921	t4cp2;T_virB9;T_virB8;T_virB6	NA
JAWUDS010000052.1	11536	No terminal repeats	14	11	1.0000	NA	2	6.8731	B_traI;T_virB6	NA
JAWUDS010000065.1	4678	No terminal repeats	5	11	1.0000	NA	0	5.0569	NA	NA
JAWUDS010000068.1	3291	No terminal repeats	2	11	1.0000	NA	0	1.7183	NA	NA
JAWUDS010000056.1	7190	No terminal repeats	11	11	1.0000	NA	1	2.7002	NA	NA
JAWUDS010000044.1	15041	No terminal repeats	14	11	1.0000	NA	1	4.1647	NA	NA
JAWUDS010000061.1	6341	No terminal repeats	9	11	1.0000	NA	0	2.1428	NA	NA
JAWUDS010000049.1	12418	ITR	10	11	1.0000	NA	0	4.9816	NA	NA
JAWUDS010000030.1	41202	No terminal repeats	48	11	0.9999	NA	10	18.0106	T_virB2;T_virB3;T_virB5;T_virB6;T_virB8;T_virB9;T_virB10	NA
JAWUDS010000051.1	11602	No terminal repeats	18	11	0.9999	NA	5	9.4377	T_virB5;virb4;T_virB3;T_virB1	NA
JAWUDS010000032.1	39973	No terminal repeats	31	11	0.9999	NA	0	6.3270	NA	NA
JAWUDS010000077.1	1390	No terminal repeats	4	11	0.9999	NA	1	2.8437	MOBH	NA
JAWUDS010000027.1	43985	No terminal repeats	30	11	0.9998	NA	0	3.8854	NA	NA
JAWUDS010000064.1	5098	ITR	6	11	0.9997	NA	0	1.0402	NA	NA
JAWUDS010000066.1	3884	No terminal repeats	4	11	0.9996	NA	0	1.3688	NA	NA
JAWUDS010000053.1	10854	ITR	10	11	0.9755	NA	0	0.3959	NA	NA
JAWUDS010000058.1	6638	No terminal repeats	9	11	0.9487	NA	0	0.7162	NA	NA
JAWUDS010000057.1	6885	No terminal repeats	4	11	0.8969	NA	0	1.4171	NA	NA
JAWUDS010000048.1	12734	No terminal repeats	13	11	0.7492	NA	0	0.1554	NA	NA
