JAJIUS010000020.1_tRNA1_Glu	70006	70081
JAJIUS010000020.1_tRNA2_Ala	70129	70204
JAJIUS010000020.1_tRNA3_Glu	70954	71029
JAJIUS010000020.1_tRNA4_Ala	71077	71152
JAJIUS010000033.1_tRNA1_Pro	15535	15611
JAJIUS010000034.1_tRNA1_Leu	65485	65571
JAJIUS010000041.1_tRNA1_Ser	38949	39041
JAJIUS010000056.1_tRNA1_Val	65445	65519
JAJIUS010000064.1_tRNA1_Ser	19477	19567
JAJIUS010000064.1_tRNA2_Asp	27256	27332
JAJIUS010000064.1_tRNA3_Asp	27427	27503
JAJIUS010000064.1_tRNA4_Val	27532	27606
JAJIUS010000064.1_tRNA5_Leu	34345	34429
JAJIUS010000064.1_tRNA6_Lys	36340	36415
JAJIUS010000064.1_tRNA7_His	36509	36585
JAJIUS010000064.1_tRNA8_Arg	36618	36694
JAJIUS010000064.1_tRNA9_Pro	36737	36813
JAJIUS010000085.1_tRNA1_Leu	127419	127498
