[2025-08-25 15:09:14] INFO: CheckM v1.2.4
[2025-08-25 15:09:14] INFO: checkm qa --out_format 7 checkm_out/Xanthomonas.ms checkm_out
[2025-08-25 15:09:14] INFO: CheckM data: /data/djs217/miniconda3/envs/checkm_env/checkm_data
[2025-08-25 15:09:14] INFO: [CheckM - qa] Tabulating genome statistics.
[2025-08-25 15:09:14] INFO: Calculating AAI between multi-copy marker genes.
[2025-08-25 15:09:14] INFO: Reading HMM info from file.
[2025-08-25 15:09:17] INFO: Parsing HMM hits to marker genes:
Bin Id	Marker Id	Gene Ids
GCA_000009165.1_ASM916v1_genomic	PF00308.13	AM039952.1_1,AM039952.1_3071
GCA_001854165.1_ASM185416v1_genomic	PF00308.13	CP017190.1_1608,CP017190.1_2961
GCA_001908795.1_ASM190879v1_genomic	PF00308.13	CP018467.1_3909,CP018467.1_947
GCA_040091395.1_ASM4009139v1_genomic	PF07732.10	JBBIGD010000013.1_17,JBBIGD010000013.1_31
GCA_040091415.1_ASM4009141v1_genomic	PF07732.10	JBBIGE010000012.1_119,JBBIGE010000012.1_133
GCA_040091435.1_ASM4009143v1_genomic	PF07732.10	JBBIGF010000017.1_18,JBBIGF010000017.1_32
GCA_040091455.1_ASM4009145v1_genomic	PF07732.10	JBBIGG010000012.1_103,JBBIGG010000012.1_117
GCA_040091475.1_ASM4009147v1_genomic	PF07732.10	JBBIGH010000020.1_18,JBBIGH010000020.1_32
GCA_040091495.1_ASM4009149v1_genomic	PF07732.10	JBBIGI010000017.1_18,JBBIGI010000017.1_32
GCA_040091515.1_ASM4009151v1_genomic	PF07732.10	JBBIGJ010000014.1_103,JBBIGJ010000014.1_117
GCA_040202735.2_ASM4020273v2_genomic	PF00308.13	CP167827.1_1,CP167827.1_2956
GCA_042448555.1_ASM4244855v1_genomic	PF00308.13	CP170252.1_1251,CP170252.1_4157
[2025-08-25 15:09:45] INFO: { Current stage: 0:00:30.372 || Total: 0:00:30.372 }
