seq_name	n_genes	n_uscg	n_plasmid_hallmarks	n_virus_hallmarks	genetic_code	strand_switch_rate	coding_density	no_rbs_freq	sd_bacteroidetes_rbs_freq	sd_canonical_rbs_freq	tatata_rbs_freq	cc_marker_freq	cp_marker_freq	cv_marker_freq	pc_marker_freq	pp_marker_freq	pv_marker_freq	vc_marker_freq	vp_marker_freq	vv_marker_freq	c_marker_freq	p_marker_freq	v_marker_freq	median_c_spm	median_p_spm	median_v_spm	v_vs_c_score_logistic	v_vs_p_score_logistic	p_vs_c_score_logistic	gv_marker_freq	marker_enrichment_c	marker_enrichment_p	marker_enrichment_v
JBJGLH010000001.1	209	2	0	0	11	0.2885	0.8349	0.2871	0.0000	0.7129	0.0000	0.0383	0.3158	0.0144	0.0574	0.0048	0.0000	0.0144	0.0000	0.0144	0.3684	0.0622	0.0287	0.7714	0.6232	0.0000	0.0000	0.0000	0.0000	0.0000	21.8198	-49.1450	-242.4656
JBJGLH010000002.1	180	3	1	0	11	0.2626	0.8540	0.2556	0.0000	0.7444	0.0000	0.0278	0.2722	0.0278	0.0444	0.0111	0.0000	0.0056	0.0000	0.0167	0.3278	0.0556	0.0222	0.7721	0.6209	0.0000	0.0000	0.0000	0.0000	0.0000	17.4867	-39.2231	-181.0558
JBJGLH010000003.1	138	1	0	0	11	0.2920	0.8672	0.2609	0.0000	0.7391	0.0000	0.0652	0.3188	0.0217	0.0435	0.0000	0.0000	0.0145	0.0000	0.0072	0.4058	0.0435	0.0217	0.7833	0.6033	0.0000	0.0000	0.0000	0.0000	0.0000	24.2459	-40.4259	-165.9108
JBJGLH010000004.1	150	4	0	0	11	0.2550	0.8722	0.3400	0.0000	0.6600	0.0000	0.0600	0.3467	0.0333	0.0533	0.0000	0.0067	0.0267	0.0000	0.0000	0.4400	0.0600	0.0267	0.7963	0.5901	0.0000	0.0000	0.0000	0.0000	0.0000	26.7737	-48.2271	-200.0347
JBJGLH010000005.1	139	7	5	0	11	0.1667	0.9027	0.2086	0.0000	0.7914	0.0000	0.0791	0.3022	0.0504	0.0576	0.0144	0.0000	0.0144	0.0000	0.0000	0.4317	0.0719	0.0144	0.8077	0.5676	0.0000	0.0000	0.0000	0.0000	0.0000	33.0401	-49.7420	-179.4104
JBJGLH010000006.1	139	3	0	0	11	0.2464	0.8687	0.2878	0.0000	0.7122	0.0000	0.0504	0.2302	0.0432	0.0216	0.0144	0.0072	0.0288	0.0000	0.0216	0.3237	0.0432	0.0504	0.8261	0.5205	0.0000	0.0000	0.0000	0.0000	0.0000	18.5431	-54.4039	-119.9203
JBJGLH010000007.1	125	0	0	0	11	0.3871	0.8335	0.2080	0.0000	0.7920	0.0000	0.0480	0.2160	0.0000	0.1200	0.0080	0.0000	0.0000	0.0000	0.0000	0.2640	0.1280	0.0000	0.6559	0.7548	0.0000	0.0000	0.0000	0.3508	0.0000	1.2313	-1.2313	-135.7325
JBJGLH010000008.1	106	4	1	1	11	0.3429	0.8783	0.3113	0.0000	0.6887	0.0000	0.0189	0.3113	0.0283	0.0283	0.0094	0.0094	0.0189	0.0094	0.0000	0.3585	0.0472	0.0283	0.7814	0.5665	0.0000	0.0000	0.0000	0.0002	0.0000	9.7477	-27.0827	-112.8104
JBJGLH010000009.1	97	0	1	0	11	0.3958	0.8674	0.3402	0.0000	0.6598	0.0000	0.0309	0.3299	0.0103	0.0722	0.0103	0.0000	0.0103	0.0000	0.0000	0.3711	0.0825	0.0103	0.7805	0.6023	0.0000	0.0000	0.0000	0.0020	0.0000	10.3384	-15.7349	-122.6046
JBJGLH010000010.1	130	28	1	0	11	0.2326	0.8243	0.2077	0.0000	0.7923	0.0000	0.1692	0.2000	0.1077	0.0000	0.0077	0.0000	0.0077	0.0000	0.0231	0.4769	0.0077	0.0308	0.9613	0.0000	0.0000	0.0000	0.0131	0.0000	0.0077	62.0090	-95.4831	-125.5413
