seq_name	chromosome_score	plasmid_score	virus_score
JAJIWG010000094.1	0.5226	0.4483	0.0291
JAJIWG010000095.1	0.0389	0.9370	0.0242
JAJIWG010000096.1	0.5106	0.4844	0.0049
JAJIWG010000097.1	0.5414	0.4351	0.0236
JAJIWG010000098.1	0.4806	0.3195	0.2000
JAJIWG010000099.1	0.4993	0.4778	0.0229
JAJIWG010000100.1	0.2241	0.5809	0.1951
JAJIWG010000101.1	0.3339	0.3683	0.2978
JAJIWG010000102.1	0.2875	0.4298	0.2827
JAJIWG010000103.1	0.3543	0.4846	0.1611
JAJIWG010000010.1	0.0644	0.8833	0.0523
JAJIWG010000104.1	0.0357	0.8664	0.0978
JAJIWG010000105.1	0.3530	0.6417	0.0053
JAJIWG010000106.1	0.4186	0.5483	0.0332
JAJIWG010000107.1	0.5054	0.4802	0.0144
JAJIWG010000108.1	0.7949	0.2034	0.0017
JAJIWG010000109.1	0.0669	0.7660	0.1671
JAJIWG010000110.1	0.4798	0.5058	0.0144
JAJIWG010000111.1	0.2506	0.4348	0.3145
JAJIWG010000112.1	0.5195	0.4391	0.0414
JAJIWG010000113.1	0.1190	0.8143	0.0667
JAJIWG010000114.1	0.3093	0.4657	0.2250
JAJIWG010000115.1	0.5246	0.2982	0.1772
JAJIWG010000116.1	0.4179	0.5633	0.0188
JAJIWG010000117.1	0.4877	0.5026	0.0097
JAJIWG010000118.1	0.2744	0.6805	0.0451
JAJIWG010000011.1	0.3790	0.6173	0.0037
JAJIWG010000012.1	0.5364	0.4396	0.0240
JAJIWG010000013.1	0.4858	0.4967	0.0175
JAJIWG010000014.1	0.3145	0.5424	0.1431
JAJIWG010000015.1	0.0089	0.9714	0.0197
JAJIWG010000016.1	0.4840	0.5033	0.0127
JAJIWG010000017.1	0.5186	0.2244	0.2571
JAJIWG010000018.1	0.4346	0.5250	0.0404
JAJIWG010000001.1	0.4384	0.4450	0.1166
JAJIWG010000019.1	0.3670	0.6204	0.0126
JAJIWG010000020.1	0.3416	0.6496	0.0087
JAJIWG010000021.1	0.5390	0.1350	0.3260
JAJIWG010000022.1	0.1551	0.4611	0.3838
JAJIWG010000023.1	0.4645	0.5266	0.0089
JAJIWG010000024.1	0.3958	0.5254	0.0788
