seq_name	chromosome_score	plasmid_score	virus_score
JAUALK020000001.1	0.4863	0.4811	0.0326
JAUALK020000010.1	0.4858	0.4979	0.0162
JAUALK020000011.1	0.5436	0.4356	0.0209
JAUALK020000012.1	0.5897	0.3976	0.0127
JAUALK020000013.1	0.5015	0.4440	0.0545
JAUALK020000014.1	0.5339	0.4533	0.0128
JAUALK020000015.1	0.4871	0.4476	0.0653
JAUALK020000016.1	0.5322	0.4576	0.0102
JAUALK020000017.1	0.5288	0.4522	0.0190
JAUALK020000018.1	0.5047	0.4627	0.0326
JAUALK020000019.1	0.4444	0.4986	0.0570
JAUALK020000002.1	0.4293	0.5525	0.0182
JAUALK020000020.1	0.3436	0.6397	0.0167
JAUALK020000021.1	0.3597	0.6082	0.0321
JAUALK020000022.1	0.4410	0.5286	0.0305
JAUALK020000023.1	0.3969	0.4813	0.1218
JAUALK020000024.1	0.6053	0.3750	0.0198
JAUALK020000025.1	0.0516	0.8172	0.1312
JAUALK020000026.1	0.5156	0.4615	0.0229
JAUALK020000027.1	0.4336	0.5390	0.0274
JAUALK020000028.1	0.3179	0.4264	0.2558
JAUALK020000029.1	0.0071	0.7840	0.2089
JAUALK020000003.1	0.4048	0.5650	0.0302
JAUALK020000030.1	0.4272	0.5277	0.0451
JAUALK020000031.1	0.2526	0.5387	0.2087
JAUALK020000032.1	0.0441	0.6521	0.3038
JAUALK020000033.1	0.0650	0.7238	0.2112
JAUALK020000034.1	0.5285	0.3387	0.1328
JAUALK020000035.1	0.0764	0.8686	0.0550
JAUALK020000036.1	0.0004	0.9722	0.0274
JAUALK020000037.1	0.1440	0.7258	0.1302
JAUALK020000038.1	0.0114	0.9194	0.0692
JAUALK020000039.1	0.1566	0.7376	0.1058
JAUALK020000004.1	0.4284	0.5538	0.0178
JAUALK020000040.1	0.0586	0.5806	0.3608
JAUALK020000041.1	0.1126	0.7716	0.1158
JAUALK020000042.1	0.0300	0.7942	0.1758
JAUALK020000043.1	0.0746	0.9019	0.0235
JAUALK020000044.1	0.0138	0.9560	0.0302
JAUALK020000045.1	0.8902	0.1017	0.0082
JAUALK020000046.1	0.8004	0.1981	0.0015
JAUALK020000047.1	0.3578	0.5711	0.0712
JAUALK020000048.1	0.0564	0.8993	0.0442
JAUALK020000049.1	0.4182	0.3504	0.2313
JAUALK020000005.1	0.4943	0.4848	0.0209
JAUALK020000050.1	0.2787	0.7025	0.0188
JAUALK020000051.1	0.5755	0.3808	0.0437
JAUALK020000052.1	0.4487	0.5144	0.0369
JAUALK020000053.1	0.4742	0.3320	0.1938
JAUALK020000054.1	0.3228	0.4684	0.2088
JAUALK020000055.1	0.1698	0.4187	0.4115
JAUALK020000056.1	0.4022	0.4782	0.1195
JAUALK020000057.1	0.1863	0.5134	0.3003
JAUALK020000058.1	0.2082	0.3984	0.3934
JAUALK020000059.1	0.1564	0.5807	0.2629
JAUALK020000006.1	0.4189	0.5514	0.0297
JAUALK020000060.1	0.2839	0.5805	0.1356
JAUALK020000061.1	0.5178	0.2673	0.2149
JAUALK020000062.1	0.2483	0.5714	0.1803
JAUALK020000063.1	0.4827	0.3080	0.2093
JAUALK020000064.1	0.2952	0.2815	0.4233
JAUALK020000065.1	0.3365	0.4155	0.2480
JAUALK020000066.1	0.3438	0.4048	0.2514
JAUALK020000067.1	0.4517	0.2850	0.2633
JAUALK020000068.1	0.5867	0.3307	0.0827
JAUALK020000069.1	0.6404	0.2520	0.1076
JAUALK020000007.1	0.4092	0.5685	0.0224
JAUALK020000070.1	0.3397	0.2661	0.3942
JAUALK020000071.1	0.5887	0.2282	0.1831
JAUALK020000072.1	0.5106	0.2852	0.2042
JAUALK020000073.1	0.5723	0.1622	0.2655
JAUALK020000074.1	0.2846	0.2685	0.4470
JAUALK020000075.1	0.4270	0.1619	0.4111
JAUALK020000076.1	0.3399	0.1830	0.4771
JAUALK020000008.1	0.5152	0.4681	0.0167
JAUALK020000009.1	0.4796	0.4966	0.0238
