seq_name	n_genes	n_uscg	n_plasmid_hallmarks	n_virus_hallmarks	genetic_code	strand_switch_rate	coding_density	no_rbs_freq	sd_bacteroidetes_rbs_freq	sd_canonical_rbs_freq	tatata_rbs_freq	cc_marker_freq	cp_marker_freq	cv_marker_freq	pc_marker_freq	pp_marker_freq	pv_marker_freq	vc_marker_freq	vp_marker_freq	vv_marker_freq	c_marker_freq	p_marker_freq	v_marker_freq	median_c_spm	median_p_spm	median_v_spm	v_vs_c_score_logistic	v_vs_p_score_logistic	p_vs_c_score_logistic	gv_marker_freq	marker_enrichment_c	marker_enrichment_p	marker_enrichment_v
JAJIVW010000098.1	7	0	0	0	11	0.5000	0.7872	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5714	0.0000	0.0000	0.0000	0.0000	0.0000	0.5714	0.0000	0.0226	0.9995	0.0000	0.4884	0.0313	0.9673	0.0000	-6.7752	6.7752	-7.1188
JAJIVW010000099.1	1	0	0	0	11	0.0000	0.9940	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000
JAJIVW010000100.1	4	0	0	0	11	0.0000	0.9208	0.7500	0.0000	0.2500	0.0000	0.0000	0.2500	0.0000	0.2500	0.0000	0.0000	0.0000	0.0000	0.0000	0.2500	0.2500	0.0000	0.6111	0.7883	0.0000	0.3004	0.2312	0.5882	0.0000	-0.7129	0.7129	-6.1058
JAJIVW010000101.1	8	0	0	0	11	0.1429	0.8700	0.3750	0.0000	0.6250	0.0000	0.1250	0.5000	0.1250	0.1250	0.0000	0.0000	0.0000	0.0000	0.0000	0.7500	0.1250	0.0000	0.8087	0.5882	0.0000	0.0146	0.1070	0.1103	0.0000	3.7647	-5.2266	-17.9612
JAJIVW010000102.1	32	0	0	0	11	0.2903	0.8578	0.3125	0.0000	0.6875	0.0000	0.0312	0.4688	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0312	0.5000	0.0000	0.0312	0.7780	0.6218	0.0000	0.0002	0.0032	0.0490	0.0312	4.2131	-7.6497	-45.6035
JAJIVW010000103.1	1	0	0	0	11	0.0000	0.9387	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000
JAJIVW010000104.1	15	0	3	0	11	0.4286	0.8597	0.2667	0.0000	0.7333	0.0000	0.0000	0.0000	0.0000	0.0667	0.4000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4667	0.0000	0.0000	1.0000	0.0000	0.4473	0.0027	0.9967	0.0000	-11.4351	11.4351	-12.9374
JAJIVW010000105.1	42	0	0	0	11	0.4390	0.8653	0.4762	0.0000	0.5238	0.0000	0.0238	0.4048	0.0000	0.1190	0.0000	0.0000	0.0238	0.0000	0.0000	0.4286	0.1190	0.0238	0.7989	0.5866	0.0000	0.0000	0.0001	0.0329	0.0000	5.1818	-8.9354	-65.8335
JAJIVW010000106.1	30	0	0	0	11	0.2759	0.8371	0.2000	0.0000	0.8000	0.0000	0.0667	0.2000	0.0000	0.0000	0.0667	0.0000	0.0000	0.0000	0.0000	0.2667	0.0667	0.0000	0.6636	0.7481	0.0000	0.0088	0.0076	0.5355	0.0000	-0.2843	0.2843	-25.4554
JAJIVW010000010.1	40	0	0	1	11	0.3590	0.8711	0.1750	0.0000	0.8250	0.0000	0.0500	0.3250	0.0250	0.1250	0.0250	0.0000	0.0250	0.0000	0.0000	0.4000	0.1500	0.0250	0.6545	0.6661	0.0000	0.0000	0.0001	0.2550	0.0000	0.2405	-5.7904	-59.6714
