seq_name	chromosome_score	plasmid_score	virus_score
JSZH01000001.1	1.0000	0.0000	0.0000
JSZH01000010.1	1.0000	0.0000	0.0000
JSZH01000100.1	0.9999	0.0001	0.0000
JSZH01000101.1	0.9846	0.0151	0.0003
JSZH01000102.1	0.9936	0.0064	0.0000
JSZH01000103.1	0.9999	0.0001	0.0000
JSZH01000104.1	1.0000	0.0000	0.0000
JSZH01000105.1	0.0001	0.9999	0.0000
JSZH01000106.1	1.0000	0.0000	0.0000
JSZH01000107.1	0.1058	0.8941	0.0001
JSZH01000108.1	1.0000	0.0000	0.0000
JSZH01000109.1	1.0000	0.0000	0.0000
JSZH01000011.1	0.9999	0.0001	0.0000
JSZH01000110.1	0.0027	0.9973	0.0000
JSZH01000111.1	0.6835	0.2912	0.0254
JSZH01000112.1	0.9466	0.0534	0.0000
JSZH01000113.1	0.9677	0.0322	0.0000
JSZH01000114.1	0.9999	0.0001	0.0000
JSZH01000115.1	1.0000	0.0000	0.0000
JSZH01000116.1	0.9999	0.0001	0.0000
JSZH01000117.1	0.9999	0.0001	0.0000
JSZH01000118.1	0.9835	0.0165	0.0001
JSZH01000119.1	0.7769	0.1575	0.0656
JSZH01000012.1	1.0000	0.0000	0.0000
JSZH01000120.1	1.0000	0.0000	0.0000
JSZH01000121.1	0.5310	0.4690	0.0000
JSZH01000122.1	0.9783	0.0217	0.0000
JSZH01000123.1	0.0026	0.9974	0.0000
JSZH01000124.1	0.0742	0.9258	0.0000
JSZH01000125.1	0.4803	0.5197	0.0000
JSZH01000126.1	1.0000	0.0000	0.0000
JSZH01000127.1	0.9996	0.0004	0.0000
JSZH01000128.1	0.9972	0.0028	0.0000
JSZH01000129.1	1.0000	0.0000	0.0000
JSZH01000013.1	1.0000	0.0000	0.0000
JSZH01000130.1	1.0000	0.0000	0.0000
JSZH01000131.1	0.2695	0.7305	0.0000
JSZH01000132.1	0.9624	0.0376	0.0000
JSZH01000133.1	1.0000	0.0000	0.0000
JSZH01000134.1	1.0000	0.0000	0.0000
JSZH01000135.1	0.0825	0.9175	0.0001
JSZH01000136.1	0.9710	0.0289	0.0000
JSZH01000137.1	0.9996	0.0004	0.0000
JSZH01000138.1	0.9998	0.0000	0.0001
JSZH01000139.1	0.9958	0.0041	0.0000
JSZH01000014.1	0.0878	0.9122	0.0000
JSZH01000140.1	0.9995	0.0004	0.0000
JSZH01000141.1	1.0000	0.0000	0.0000
JSZH01000142.1	0.9931	0.0069	0.0000
JSZH01000143.1	0.3831	0.6169	0.0000
JSZH01000144.1	0.9997	0.0003	0.0000
JSZH01000145.1	1.0000	0.0000	0.0000
JSZH01000146.1	1.0000	0.0000	0.0000
JSZH01000147.1	0.9571	0.0429	0.0000
JSZH01000148.1	0.9988	0.0012	0.0000
JSZH01000149.1	1.0000	0.0000	0.0000
JSZH01000015.1	0.1480	0.8519	0.0000
JSZH01000150.1	0.9909	0.0091	0.0000
JSZH01000151.1	0.9938	0.0062	0.0000
JSZH01000152.1	0.5005	0.2194	0.2801
JSZH01000153.1	0.9998	0.0002	0.0000
JSZH01000154.1	0.9997	0.0003	0.0000
JSZH01000155.1	0.9780	0.0220	0.0000
JSZH01000156.1	1.0000	0.0000	0.0000
JSZH01000157.1	0.9931	0.0069	0.0000
JSZH01000158.1	0.9997	0.0001	0.0002
JSZH01000159.1	0.8724	0.1276	0.0000
JSZH01000016.1	0.9986	0.0014	0.0000
JSZH01000160.1	0.9899	0.0061	0.0041
JSZH01000161.1	0.0673	0.0037	0.9291
JSZH01000162.1	0.0301	0.9697	0.0002
JSZH01000163.1	1.0000	0.0000	0.0000
JSZH01000164.1	0.9976	0.0023	0.0001
JSZH01000165.1	1.0000	0.0000	0.0000
JSZH01000166.1	0.0040	0.9959	0.0000
JSZH01000167.1	0.8273	0.0534	0.1193
JSZH01000168.1	0.9997	0.0002	0.0000
JSZH01000169.1	0.9789	0.0211	0.0000
JSZH01000017.1	0.9763	0.0237	0.0000
JSZH01000170.1	0.9685	0.0315	0.0000
JSZH01000171.1	0.9932	0.0068	0.0000
JSZH01000172.1	0.0005	0.9995	0.0000
JSZH01000173.1	0.0642	0.0379	0.8979
JSZH01000174.1	0.9915	0.0085	0.0000
JSZH01000175.1	0.9999	0.0001	0.0000
JSZH01000176.1	0.9996	0.0004	0.0000
JSZH01000177.1	0.1010	0.8990	0.0000
JSZH01000178.1	1.0000	0.0000	0.0000
JSZH01000179.1	0.9982	0.0018	0.0000
JSZH01000018.1	0.9999	0.0001	0.0000
JSZH01000180.1	1.0000	0.0000	0.0000
JSZH01000181.1	0.9999	0.0000	0.0001
JSZH01000182.1	0.9987	0.0013	0.0000
JSZH01000183.1	0.9748	0.0245	0.0007
JSZH01000184.1	0.9998	0.0002	0.0000
JSZH01000185.1	0.9998	0.0002	0.0000
JSZH01000186.1	0.9998	0.0002	0.0000
JSZH01000187.1	0.9986	0.0014	0.0000
JSZH01000188.1	0.6347	0.1375	0.2278
JSZH01000189.1	0.9974	0.0021	0.0004
JSZH01000019.1	0.6604	0.3396	0.0000
JSZH01000190.1	0.9936	0.0064	0.0000
JSZH01000191.1	0.0000	0.9999	0.0001
JSZH01000192.1	0.1830	0.8169	0.0001
JSZH01000193.1	0.8577	0.1423	0.0000
JSZH01000194.1	0.9999	0.0000	0.0000
JSZH01000195.1	0.9999	0.0000	0.0000
JSZH01000196.1	0.9996	0.0004	0.0000
