seq_name	chromosome_score	plasmid_score	virus_score
JAJIUB010000096.1	0.4720	0.5215	0.0065
JAJIUB010000097.1	0.3978	0.6010	0.0012
JAJIUB010000098.1	0.5273	0.4448	0.0279
JAJIUB010000099.1	0.2666	0.3966	0.3368
JAJIUB010000100.1	0.0358	0.9389	0.0252
JAJIUB010000101.1	0.4149	0.5825	0.0026
JAJIUB010000102.1	0.6953	0.0842	0.2205
JAJIUB010000103.1	0.4810	0.5056	0.0134
JAJIUB010000104.1	0.5631	0.4275	0.0095
JAJIUB010000105.1	0.5653	0.4279	0.0068
JAJIUB010000008.1	0.2325	0.5689	0.1985
JAJIUB010000106.1	0.3977	0.5815	0.0209
JAJIUB010000107.1	0.2517	0.5713	0.1770
JAJIUB010000108.1	0.5184	0.4018	0.0798
JAJIUB010000109.1	0.3814	0.6132	0.0054
JAJIUB010000110.1	0.3541	0.6406	0.0053
JAJIUB010000111.1	0.5416	0.4415	0.0169
JAJIUB010000112.1	0.5140	0.4133	0.0727
JAJIUB010000113.1	0.1143	0.8278	0.0579
JAJIUB010000114.1	0.0081	0.9296	0.0623
JAJIUB010000115.1	0.4596	0.4838	0.0567
JAJIUB010000009.1	0.4170	0.5671	0.0159
JAJIUB010000116.1	0.4778	0.5044	0.0177
JAJIUB010000117.1	0.2737	0.7160	0.0103
JAJIUB010000118.1	0.7834	0.2152	0.0014
JAJIUB010000119.1	0.4113	0.5052	0.0834
JAJIUB010000120.1	0.4789	0.5061	0.0150
JAJIUB010000121.1	0.3939	0.4936	0.1125
JAJIUB010000122.1	0.2548	0.4311	0.3140
JAJIUB010000123.1	0.4440	0.4735	0.0825
JAJIUB010000124.1	0.2525	0.3010	0.4466
JAJIUB010000010.1	0.6790	0.3171	0.0038
JAJIUB010000125.1	0.5246	0.2982	0.1772
JAJIUB010000126.1	0.5188	0.4593	0.0219
JAJIUB010000127.1	0.3564	0.6382	0.0054
JAJIUB010000011.1	0.4394	0.2356	0.3250
JAJIUB010000012.1	0.3786	0.5690	0.0524
JAJIUB010000013.1	0.3677	0.6197	0.0127
JAJIUB010000014.1	0.2513	0.7389	0.0099
JAJIUB010000015.1	0.0881	0.8018	0.1101
JAJIUB010000016.1	0.4906	0.4721	0.0373
JAJIUB010000017.1	0.5390	0.1350	0.3260
JAJIUB010000001.1	0.0032	0.8727	0.1241
JAJIUB010000018.1	0.1665	0.4203	0.4132
JAJIUB010000019.1	0.4691	0.5210	0.0099
JAJIUB010000020.1	0.4436	0.4411	0.1153
JAJIUB010000021.1	0.5270	0.4562	0.0168
JAJIUB010000022.1	0.1932	0.5398	0.2670
JAJIUB010000023.1	0.4517	0.5266	0.0217
JAJIUB010000024.1	0.1469	0.7984	0.0547
JAJIUB010000025.1	0.2967	0.4306	0.2727
JAJIUB010000026.1	0.4125	0.3740	0.2135
JAJIUB010000027.1	0.3753	0.6158	0.0089
JAJIUB010000002.1	0.5319	0.1260	0.3421
JAJIUB010000028.1	0.0471	0.2637	0.6892
